"species","lon","lat","countryCode","gbifID"
"Liolaemus tenuis",-70.99114,-39.0935,"AR",1065607247
"Liolaemus tenuis",-71.69667,-39.42139,"CL",910575369
"Liolaemus tenuis",-70.53222,-34.20417,"CL",910575207
"Liolaemus tenuis",-73.01333,-37.81861,"CL",910575211
"Liolaemus tenuis",-73.16667,-36.75,"CL",657488654
"Liolaemus tenuis",-71.35046,-39.11819,"AR",382102214
"Liolaemus tenuis",-71.25942,-38.83662,"AR",382102218
"Liolaemus tenuis",-71.35492,-39.12282,"AR",382102209
"Liolaemus tenuis",-71.25068,-39.15107,"AR",382102359
"Liolaemus tenuis",-71.01611,-35.59139,"CL",910573766
"Liolaemus tenuis",-70.66,-33.45194,"CL",910574308
"Liolaemus tenuis",-73.14083,-40.57361,"CL",910573939
"Liolaemus tenuis",-70.68194,-33.44139,"CL",910573846
"Liolaemus tenuis",-70.49056,-33.5,"CL",910572249
"Liolaemus tenuis",-71.03333,-33.06666,"CL",1051033244
"Liolaemus tenuis",-70.1354818175725,-33.820408419098,"CL",1051033243
"Liolaemus tenuis",-71.93333,-39.41667,"CL",1051036139
"Liolaemus tenuis",-71.49139,-32.16056,"CL",910574463
"Liolaemus tenuis",-70.70611,-35.82639,"CL",910573497
"Liolaemus tenuis",-70.3,-33.61667,"CL",1051033205
"Liolaemus tenuis",-71.30614,-39.36911,"AR",382101612
"Liolaemus tenuis",-71.3754,-39.03553,"AR",382101716
"Liolaemus tenuis",-71.36587,-39.11298,"AR",382101877
"Liolaemus tenuis",-71.25894,-39.15269,"AR",382101686
"Liolaemus tenuis",-71.20711,-39.25143,"AR",382101867
"Liolaemus tenuis",-71.24811,-39.24633,"AR",382101639
"Liolaemus tenuis",-71.22229,-39.3629,"AR",382101629
"Liolaemus tenuis",-71.01069,-39.11196,"AR",382101751
"Liolaemus tenuis",-71.26519,-39.15243,"AR",382101691
"Liolaemus tenuis",-71.17944,-39.23766,"AR",382101692
"Liolaemus tenuis",-70.56667,-33.5,"CL",1051023354
"Liolaemus tenuis",-70.3854872535965,-33.3704027690167,"CL",1051023180
"Liolaemus tenuis",-71.22031,-39.36311,"AR",382102169
"Liolaemus tenuis",-71.26,-39.34,"AR",1051024397
"Liolaemus tenuis",-71.29763,-39.36741,"AR",382102171
"Liolaemus tenuis",-71.3,-39.36,"AR",1051024400
"Liolaemus tenuis",-70.91,-39.35,"AR",1051024402
"Liolaemus tenuis",-70.93329,-39.37414,"AR",382102184
"Liolaemus tenuis",-71.47972,-32.81778,"CL",910572981
"Liolaemus tenuis",-71.13306,-32.98222,"CL",910572095
"Liolaemus tenuis",-70.65222,-33.41611,"CL",910572126
"Liolaemus tenuis",-70.64333,-33.44,"CL",910572310
"Liolaemus tenuis",-71.13333,-32.95,"CL",1051029245
"Liolaemus tenuis",-70.69852,-38.8667,"AR",686888766
"Liolaemus tenuis",-71.20528,-37.78472,"CL",910572200
"Liolaemus tenuis",-71.54297,-35.67515,"CL",786136714
"Liolaemus tenuis",-71.17167,-34.46944,"CL",910571790
"Liolaemus tenuis",-72.11611,-39.53972,"CL",910571948
"Liolaemus tenuis",-72.93333,-37.16667,"CL",439750296
"Liolaemus tenuis",-73.05,-36.83333,"CL",439750308
"Liolaemus tenuis",-73.93333,-38.36667,"CL",439750290
"Liolaemus tenuis",-71.96667,-39.26667,"CL",439750251
"Liolaemus tenuis",-73.01667,-36.91667,"CL",439750299
"Liolaemus tenuis",-70.55,-33.36667,"CL",1050967645
"Liolaemus tenuis",-73.01943,-37.73315,"CL",543675889
"Liolaemus tenuis",-70.65494,-33.47666,"CL",543722234
"Liolaemus tenuis",-71.52324,-37.3325,"CL",543675307
"Liolaemus tenuis",-70.3188294476371,-33.6370646989266,"CL",1051033210
"Liolaemus tenuis",-71.19151,-39.23594,"AR",231019595
"Liolaemus tenuis",-71.28674,-39.13674,"AR",231019593
"Liolaemus tenuis",-73.03083,-36.83056,"CL",910573148
"Liolaemus tenuis",-71.38475,-39.11943,"AR",231019594
