"species","lon","lat","countryCode","gbifID"
"Liothyrella neozelanica",166.7533,-46.075,"NZ",80116600
"Liothyrella neozelanica",179.665,-43.5535,"NZ",80117038
"Liothyrella neozelanica",179.6567,-43.555,"NZ",80117033
"Liothyrella neozelanica",166.8917,-45.965,"NZ",80116123
"Liothyrella neozelanica",166.8033,-45.9967,"NZ",80116129
"Liothyrella neozelanica",166.7817,-46.0417,"NZ",80116134
"Liothyrella neozelanica",166.845,-45.9767,"NZ",80116126
"Liothyrella neozelanica",166.7867,-46.0167,"NZ",80116131
"Liothyrella neozelanica",167.7167,-47.1667,"NZ",80116140
"Liothyrella neozelanica",175.9433,-43.6183,"NZ",80116650
"Liothyrella neozelanica",173.5,-43.445,"NZ",80116684
"Liothyrella neozelanica",175.955,-43.5917,"NZ",80116646
"Liothyrella neozelanica",175.9617,-43.5667,"NZ",80116653
"Liothyrella neozelanica",175.255,-43.4617,"NZ",80116686
"Liothyrella neozelanica",173.6533,-42.6817,"NZ",80116688
"Liothyrella neozelanica",170.6617,-42.5983,"NZ",80116609
"Liothyrella neozelanica",167.685,-50.6783,"NZ",80116624
"Liothyrella neozelanica",167.68,-50.6833,"NZ",80116626
"Liothyrella neozelanica",166.7317,-45.73,"NZ",80116560
"Liothyrella neozelanica",166.8883,-45.6467,"NZ",80116562
"Liothyrella neozelanica",166.7883,-46.0533,"NZ",80116545
"Liothyrella neozelanica",179.5317,-42.4883,"NZ",80116097
"Liothyrella neozelanica",179.5817,-43.44,"NZ",80116096
"Liothyrella neozelanica",171.0833,-45.7167,"NZ",80116081
"Liothyrella neozelanica",-176.8333,-43.3333,"NZ",80115722
"Liothyrella neozelanica",-176.8417,-44.25,"NZ",80115734
"Liothyrella neozelanica",-176.6333,-43.575,"NZ",80115719
"Liothyrella neozelanica",-176.6667,-43.4167,"NZ",80115727
"Liothyrella neozelanica",-179.25,-43.9167,"NZ",80115708
"Liothyrella neozelanica",-179.2333,-43.9,"NZ",80115758
"Liothyrella neozelanica",-176.8167,-44.3833,"NZ",80115751
"Liothyrella neozelanica",-176.63,-43.6967,"NZ",80115729
"Liothyrella neozelanica",-175.9667,-44.4833,"NZ",80115747
"Liothyrella neozelanica",-176.75,-44.25,"NZ",80115737
"Liothyrella neozelanica",-175.8333,-44.3333,"NZ",80115744
"Liothyrella neozelanica",-179.1667,-43.95,"NZ",80115711
"Liothyrella neozelanica",-176.505,-44.2667,"NZ",80115739
"Liothyrella neozelanica",179.5833,-43.5167,"NZ",80116041
"Liothyrella neozelanica",179.3667,-43.45,"NZ",80116050
"Liothyrella neozelanica",-179.2167,-44.1167,"NZ",80116066
"Liothyrella neozelanica",179.8333,-43.5667,"NZ",80116032
"Liothyrella neozelanica",-179.4333,-44.0167,"NZ",80116027
"Liothyrella neozelanica",179.3667,-43.5167,"NZ",80116048
"Liothyrella neozelanica",-179.3333,-43,"NZ",80116062
"Liothyrella neozelanica",179.0167,-43.6667,"NZ",80116057
"Liothyrella neozelanica",179.3667,-43.5,"NZ",80116049
"Liothyrella neozelanica",-179.3333,-43.5667,"NZ",80116061
"Liothyrella neozelanica",179.7167,-43.55,"NZ",80116035
"Liothyrella neozelanica",179.6,-43.5167,"NZ",80116038
"Liothyrella neozelanica",179.8333,-43.55,"NZ",80116031
"Liothyrella neozelanica",179.0167,-43.5333,"NZ",80116055
"Liothyrella neozelanica",-179.7333,-43.7667,"NZ",80116029
"Liothyrella neozelanica",179.1167,-43.5833,"NZ",80116054
"Liothyrella neozelanica",-179.4667,-43.9167,"NZ",80116026
"Liothyrella neozelanica",179.5667,-43.5333,"NZ",80116040
"Liothyrella neozelanica",179.3667,-43.5667,"NZ",80116044
"Liothyrella neozelanica",179.3667,-43.5333,"NZ",80116047
"Liothyrella neozelanica",179.8,-43.6667,"NZ",80116034
"Liothyrella neozelanica",-179.2167,-43.9,"NZ",80116072
"Liothyrella neozelanica",-179.3333,-43.1333,"NZ",80116064
"Liothyrella neozelanica",-179.2167,-44.05,"NZ",80116069
"Liothyrella neozelanica",179.8333,-43.6167,"NZ",80116033
"Liothyrella neozelanica",-179.22,-44.12,"NZ",885743131
"Liothyrella neozelanica",-179.4,-44.1333,"NZ",80116028
"Liothyrella neozelanica",-179,-43.9667,"NZ",80116074
"Liothyrella neozelanica",167.6833,-32.35,"NF",80115917
"Liothyrella neozelanica",172.6833,-38.6333,"NZ",80115923
"Liothyrella neozelanica",168.1667,-34.0833,"NZ",80115920
"Liothyrella neozelanica",171.6667,-33.9833,"NZ",80115911
"Liothyrella neozelanica",172.2667,-33.8667,"NZ",80115900
"Liothyrella neozelanica",172.2833,-33.8833,"NZ",80115902
"Liothyrella neozelanica",179,-37.5,"NZ",80115979
"Liothyrella neozelanica",172.7833,-34.125,"NZ",80115992
"Liothyrella neozelanica",171.7667,-40.9667,"NZ",80116078
"Liothyrella neozelanica",178.5833,-37.55,"NZ",80115867
"Liothyrella neozelanica",166.8167,-46.5,"NZ",80115898
"Liothyrella neozelanica",166.745,-45.3333,"NZ",80115879
"Liothyrella neozelanica",173.65,-42.7667,"NZ",80116018
"Liothyrella neozelanica",174.35,-42.0667,"NZ",80116020
"Liothyrella neozelanica",173.6667,-42.7667,"NZ",80116016
"Liothyrella neozelanica",174.3333,-42.0667,"NZ",80116022
"Liothyrella neozelanica",158.6333,-54.85,"none",80115817
"Liothyrella neozelanica",172.75,-34.375,"NZ",80115845
"Liothyrella neozelanica",178.7,-37.53,"NZ",885647820
"Liothyrella neozelanica",178,-43.0833,"NZ",80115761
"Liothyrella neozelanica",-176,-44.5,"NZ",80115774
"Liothyrella neozelanica",-176.7417,-44.325,"NZ",80115789
"Liothyrella neozelanica",-177.75,-44.25,"NZ",80115783
"Liothyrella neozelanica",175.6667,-43.8333,"NZ",80115768
"Liothyrella neozelanica",173.5083,-41.0833,"NZ",80115686
"Liothyrella neozelanica",-176.25,-44.4167,"NZ",80115777
"Liothyrella neozelanica",-176.4167,-44.4167,"NZ",80115781
"Liothyrella neozelanica",171.9833,-44.9467,"NZ",80114716
"Liothyrella neozelanica",-179.1833,-43.975,"NZ",80114761
"Liothyrella neozelanica",-178.65,-43.0667,"NZ",80114752
"Liothyrella neozelanica",-179.25,-43.9333,"NZ",80114771
"Liothyrella neozelanica",172.2417,-34.6667,"NZ",80115486
"Liothyrella neozelanica",176.305,-37.3333,"NZ",80115501
"Liothyrella neozelanica",172.97,-44,"NZ",80115085
"Liothyrella neozelanica",166.9167,-46.5833,"NZ",80115184
"Liothyrella neozelanica",173.65,-42.6667,"NZ",80115066
"Liothyrella neozelanica",167.2,-46.675,"NZ",80115173
"Liothyrella neozelanica",166.65,-48.0033,"NZ",80115147
"Liothyrella neozelanica",172.5383,-40.2667,"NZ",80115264
"Liothyrella neozelanica",178.7383,-49.67,"NZ",80114690
"Liothyrella neozelanica",178.8083,-49.725,"NZ",80114677
"Liothyrella neozelanica",179.0667,-47.725,"NZ",80114674
"Liothyrella neozelanica",172,-39.3,"NZ",80115411
"Liothyrella neozelanica",-175.8667,-43.9583,"NZ",80115401
"Liothyrella neozelanica",173.63,-42.7,"NZ",80115449
"Liothyrella neozelanica",169.7833,-43.3333,"NZ",80114994
"Liothyrella neozelanica",166.1583,-46.65,"NZ",80115025
"Liothyrella neozelanica",166.7467,-45.7383,"NZ",80115032
"Liothyrella neozelanica",166.2383,-46.4783,"NZ",80115018
"Liothyrella neozelanica",166.1,-46.1467,"NZ",80115009
"Liothyrella neozelanica",176.005,-41.3583,"NZ",80115370
"Liothyrella neozelanica",177.0333,-40.6,"NZ",80115373
"Liothyrella neozelanica",171.4667,-39.2333,"NZ",80114984
"Liothyrella neozelanica",174.7667,-41.7583,"NZ",80115377
"Liothyrella neozelanica",174.475,-41.3263,"NZ",80115322
"Liothyrella neozelanica",174.5178,-41.3208,"NZ",80115319
"Liothyrella neozelanica",174.4792,-41.2878,"NZ",80115325
"Liothyrella neozelanica",174.4867,-41.2383,"NZ",80114490
"Liothyrella neozelanica",174.5,-41,"NZ",1101148950
"Liothyrella neozelanica",167.03334,-45.33333,"NZ",240722094
"Liothyrella neozelanica",167.04849,-45.34867,"NZ",240720854
"Liothyrella neozelanica",166.6267,-46.08,"NZ",885380951
"Liothyrella neozelanica",179.25,-43.93333,"NZ",240720150
"Liothyrella neozelanica",170,-45,"NZ",240721832
"Liothyrella neozelanica",167.7883,-46.0533,"NZ",884911825
"Liothyrella neozelanica",167.033,-45.333,"NZ",1055457127
"Liothyrella neozelanica",170.36667,-54.63433,"NZ",240721619
