"species","lon","lat","countryCode","gbifID"
"Littorina obtusata",8.69864,63.80062,"NO",1092466709
"Littorina obtusata",7.28831,58.03191,"NO",1092471889
"Littorina obtusata",7.95077,62.99814,"NO",1092471883
"Littorina obtusata",11.2753,58.476,"SE",1123353228
"Littorina obtusata",11.1154,58.8776,"SE",1123331734
"Littorina obtusata",11.6345,57.7203,"SE",1123448223
"Littorina obtusata",11.2682,58.4399,"SE",1135575458
"Littorina obtusata",11.6427,57.7147,"SE",1135383703
"Littorina obtusata",10.39301,59.06892,"NO",1049647046
"Littorina obtusata",10.49923,59.29008,"NO",1049645691
"Littorina obtusata",10.39272,59.07278,"NO",1049646257
"Littorina obtusata",8.63326,62.98921,"NO",1049647185
"Littorina obtusata",10.465,59.22491,"NO",1049645400
"Littorina obtusata",10.38149,59.2504,"NO",1049645901
"Littorina obtusata",10.44843,59.09212,"NO",1049645965
"Littorina obtusata",8.29277,62.92861,"NO",1049646925
"Littorina obtusata",7.06256,57.99036,"NO",1049647306
"Littorina obtusata",7.45325,62.92361,"NO",1049647316
"Littorina obtusata",7.44818,62.90617,"NO",1049647329
"Littorina obtusata",-9.66402,53.12105,"IE",1024180562
"Littorina obtusata",8.29572,62.93032,"NO",1049647234
"Littorina obtusata",-9.68198,52.5093,"IE",1134526747
"Littorina obtusata",8.47095,62.97187,"NO",1049647359
"Littorina obtusata",-9.63138,52.57471,"IE",1134526840
"Littorina obtusata",-10.14934,51.75929,"IE",1133925175
"Littorina obtusata",-6.05423,53.39001,"IE",1133931194
"Littorina obtusata",-6.06925,53.39026,"IE",1133930970
"Littorina obtusata",-3.9813,48.7265,"FR",930758127
"Littorina obtusata",-72.79676,41.279,"US",1039287474
"Littorina obtusata",7.50681,62.66325,"NO",1049648175
"Littorina obtusata",12.688,56.2325,"SE",997943467
"Littorina obtusata",8.0031,63.09487,"NO",1092466635
"Littorina obtusata",12.6805,56.2346,"SE",1036439548
"Littorina obtusata",-72.9706,41.24027,"US",1039230632
"Littorina obtusata",10.13824,59.00852,"NO",1049645800
"Littorina obtusata",-2.44162,59.29789,"GB",806004019
"Littorina obtusata",4.95049,60.80326,"NO",1049645287
"Littorina obtusata",6.10933,60.16926,"NO",1049645569
"Littorina obtusata",-72.76051,41.24212,"US",864869966
"Littorina obtusata",10.4601,59.16614,"NO",1049645396
"Littorina obtusata",8.29875,62.91987,"NO",1049645629
"Littorina obtusata",-2.24833,49.18033,"JE",856780188
"Littorina obtusata",-2.65673,49.45089,"GG",802488477
"Littorina obtusata",-2.2349,49.18504,"JE",856780189
"Littorina obtusata",-0.73358,54.52757,"GB",732465062
"Littorina obtusata",-5.72905,54.67243,"IE",1133906412
"Littorina obtusata",-0.74575,54.53399,"GB",732465034
"Littorina obtusata",-1.04745,54.62078,"GB",732465022
"Littorina obtusata",-0.1209,54.10337,"GB",732465084
"Littorina obtusata",-0.12094,54.10247,"GB",732465085
"Littorina obtusata",-6.22265,56.83242,"GB",803286734
"Littorina obtusata",-0.41836,54.32609,"GB",732465103
"Littorina obtusata",-4.39888,54.20292,"GB",802866991
"Littorina obtusata",-0.263,54.21698,"GB",732465010
"Littorina obtusata",-1.44477,55.07218,"GB",803220729
"Littorina obtusata",-0.08045,54.11802,"GB",732465137
"Littorina obtusata",11.3354,58.3475,"SE",750730226
"Littorina obtusata",-0.73201,54.52845,"GB",732465168
"Littorina obtusata",-0.11046,54.13108,"GB",732465117
"Littorina obtusata",-0.5253,54.43172,"GB",732465197
"Littorina obtusata",-0.10285,54.13006,"GB",732465205
"Littorina obtusata",-4.60692,54.07271,"GB",802862244
"Littorina obtusata",-4.60839,54.07178,"GB",802862661
"Littorina obtusata",-5.64087,54.49005,"IE",463393108
"Littorina obtusata",-0.11784,54.10332,"GB",776448364
"Littorina obtusata",-5.54013,54.47097,"IE",463393015
"Littorina obtusata",-0.52685,54.43174,"GB",732465236
"Littorina obtusata",-0.11627,54.1042,"GB",732465272
"Littorina obtusata",-0.74729,54.534,"GB",776448071
"Littorina obtusata",-0.34635,54.24242,"GB",732465276
"Littorina obtusata",-0.52409,54.42272,"GB",732465260
"Littorina obtusata",-0.11195,54.132,"GB",732465267
"Littorina obtusata",-5.29532,56.0395,"GB",803033490
"Littorina obtusata",8.5058,62.97096,"NO",682591102
"Littorina obtusata",-0.38672,54.26994,"GB",732465247
"Littorina obtusata",-1.09364,50.66461,"GB",802361593
"Littorina obtusata",-0.38379,54.2663,"GB",732465290
"Littorina obtusata",-6.42302,52.35301,"IE",1133912097
"Littorina obtusata",-5.57557,54.3935,"IE",463393242
"Littorina obtusata",-9.79043,53.94957,"IE",1133912129
"Littorina obtusata",-0.41614,54.30359,"GB",732465354
"Littorina obtusata",-5.45878,54.3893,"IE",463393409
"Littorina obtusata",-4.62088,53.27122,"GB",803357580
"Littorina obtusata",-6.18353,55.26767,"IE",463393578
"Littorina obtusata",-0.40542,54.30255,"GB",732465355
"Littorina obtusata",-5.36533,56.45481,"GB",806042192
"Littorina obtusata",-5.16226,56.84314,"GB",806042094
"Littorina obtusata",-0.11479,54.10327,"GB",732465431
"Littorina obtusata",-0.52714,54.42365,"GB",732465463
"Littorina obtusata",-5.63753,54.49448,"IE",463393846
"Littorina obtusata",-5.53713,54.49517,"IE",463394019
"Littorina obtusata",11.2683,58.4399,"SE",755269210
"Littorina obtusata",-5.64459,54.39846,"IE",463393911
"Littorina obtusata",-5.62604,54.45292,"IE",463393642
