"species","lon","lat","countryCode","gbifID"
"Margarites refulgens",164.19167,-74.82167,"AQ",986147998
"Margarites refulgens",170.29833,-72.28667,"AQ",857177619
"Margarites refulgens",170.65333,-71.28833,"AQ",986148234
"Margarites refulgens",170.48167,-71.30667,"AQ",857176946
"Margarites refulgens",164.30167,-74.81667,"AQ",986147964
"Margarites refulgens",170.44667,-72.30833,"AQ",986148153
"Margarites refulgens",170.48667,-71.31167,"AQ",857177422
"Margarites refulgens",170.21833,-72.28333,"AQ",986148033
"Margarites refulgens",170.45917,-71.32972,"AQ",683950091
"Margarites refulgens",170.36223,-72.31639,"AQ",683950093
"Margarites refulgens",170.11084,-71.53,"AQ",683950088
"Margarites refulgens",170.77444,-72.01333,"AQ",683950087
"Margarites refulgens",170.80251,-72.02222,"AQ",683950089
"Margarites refulgens",170.46001,-72.26833,"AQ",683950080
"Margarites refulgens",170.32834,-72.29833,"AQ",683950084
"Margarites refulgens",170.33167,-72.3,"AQ",683950083
"Margarites refulgens",170.33,-72.3,"AQ",683950081
"Margarites refulgens",170.94861,-71.79944,"AQ",683950085
"Margarites refulgens",-13.575,-71.53,"AQ",240911986
"Margarites refulgens",-11.54,-71.13833,"AQ",240911993
"Margarites refulgens",-12.73833,-71.685,"AQ",240911984
"Margarites refulgens",-21.17667,-73.37667,"AQ",240911994
"Margarites refulgens",-14.325,-71.48833,"AQ",240911990
"Margarites refulgens",-12.695,-71.67483,"AQ",240911989
"Margarites refulgens",-12.42333,-71.31,"AQ",240911992
"Margarites refulgens",-11.425,-71.05167,"AQ",240911983
"Margarites refulgens",-12.425,-71.525,"AQ",240911985
"Margarites refulgens",-12.285,-71.31167,"AQ",240911987
"Margarites refulgens",-13.72167,-71.45667,"AQ",240911988
"Margarites refulgens",-78.216,-68.6,"AQ",1100885921
"Margarites refulgens",170.5,-72.5,"AQ",80123992
"Margarites refulgens",163.9783,-75,"AQ",80121203
"Margarites refulgens",166.1667,-77.5833,"AQ",80121191
"Margarites refulgens",179.3333,-74.0792,"AQ",80121188
"Margarites refulgens",167.6,-76.9833,"AQ",80121172
"Margarites refulgens",166.55,-77.8333,"AQ",80121176
"Margarites refulgens",175.8333,-75.0333,"AQ",80121164
"Margarites refulgens",169.4667,-77.4167,"AQ",80121169
"Margarites refulgens",177.2,-77.0833,"AQ",80121156
"Margarites refulgens",166.5,-77.8333,"AQ",80121179
"Margarites refulgens",166.3333,-77.6167,"AQ",80121182
"Margarites refulgens",110.4667,-65.93,"AQ",889253988
"Margarites refulgens",166.6461,-77.8531,"AQ",50412066
"Margarites refulgens",173.9833,-73.0833,"AQ",50412077
"Margarites refulgens",-12.285,-71.3117,"AQ",50412384
"Margarites refulgens",49.6833,-66.1667,"AQ",50412725
"Margarites refulgens",166.325,-77.7017,"AQ",50412062
"Margarites refulgens",139.9167,-66.65,"none",50412847
"Margarites refulgens",-27.4833,-56.0316,"GS",50412070
"Margarites refulgens",-19.95,-72.9833,"AQ",50412527
"Margarites refulgens",-30.5667,-76.6167,"AQ",50412530
"Margarites refulgens",-163.4667,-76.3833,"AQ",50412078
"Margarites refulgens",-11.4972,-71.124,"AQ",50413177
"Margarites refulgens",166.6728,-77.0119,"AQ",50412064
"Margarites refulgens",166.6503,-77.8625,"AQ",50412065
"Margarites refulgens",-19.5167,-72.8667,"AQ",50412525
"Margarites refulgens",-12.3833,-71.3333,"AQ",50412538
"Margarites refulgens",163.4,-69.7167,"AQ",50412750
"Margarites refulgens",139.85,-66.6667,"AQ",50412851
"Margarites refulgens",163.9678,-75,"AQ",50412058
