"species","lon","lat","countryCode","gbifID"
"Meroles suborbitalis",18.53,-31.13,"ZA",1009252684
"Meroles suborbitalis",14.69,-22.23,NA,1009252665
"Meroles suborbitalis",20.41,-29.52,"ZA",1009252713
"Meroles suborbitalis",16.18056,-25.31878,NA,476769383
"Meroles suborbitalis",18.45,-29.46639,"ZA",476620090
"Meroles suborbitalis",16.59111,-26.21667,NA,476624131
"Meroles suborbitalis",19.01,-30.93,"ZA",1009252659
"Meroles suborbitalis",14.7275,-22.63722,NA,476647075
"Meroles suborbitalis",21.18611,-26.87222,"ZA",543568378
"Meroles suborbitalis",17.78283,-29.349,"ZA",543559934
"Meroles suborbitalis",16.68333,-27.76139,NA,543554366
"Meroles suborbitalis",16.66,-27.75889,NA,543554365
"Meroles suborbitalis",17.99083,-28.58083,NA,543554337
"Meroles suborbitalis",16.94694,-28.25083,"ZA",543552283
"Meroles suborbitalis",16.1275,-28.71222,"ZA",543552333
"Meroles suborbitalis",16.99389,-28.71528,"ZA",543552331
"Meroles suborbitalis",16.57917,-28.5575,"ZA",543552353
"Meroles suborbitalis",17.78867,-29.35033,"ZA",543544815
"Meroles suborbitalis",17.01817,-28.05533,"ZA",543544895
"Meroles suborbitalis",17.00917,-28.069,"ZA",543545163
"Meroles suborbitalis",16.943,-28.58683,"ZA",543537101
"Meroles suborbitalis",17.12133,-29.2175,"ZA",543537076
"Meroles suborbitalis",15.196,-22.05317,NA,543525836
"Meroles suborbitalis",16.13783,-26.63367,NA,543525871
"Meroles suborbitalis",19.58,-24.25,NA,1050972910
"Meroles suborbitalis",22.26667,-28.21667,"ZA",657424415
"Meroles suborbitalis",20.71667,-27.36667,"ZA",657424653
"Meroles suborbitalis",21.9,-27.28333,"ZA",657424376
"Meroles suborbitalis",21.41667,-27.36667,"ZA",657424561
"Meroles suborbitalis",20.71667,-26.38333,"BW",657424908
"Meroles suborbitalis",20.45,-27,"ZA",657424712
"Meroles suborbitalis",19.81667,-26.36667,NA,657424450
"Meroles suborbitalis",21.53333,-27.96667,"ZA",657424891
"Meroles suborbitalis",22.08333,-28.28333,"ZA",657424452
"Meroles suborbitalis",23.8585,-33.84083,"ZA",543469841
"Meroles suborbitalis",21.36133,-27.43617,"ZA",543470015
"Meroles suborbitalis",19.83333,-26.55,NA,657425146
"Meroles suborbitalis",22.1,-28.23333,"ZA",657426593
"Meroles suborbitalis",21.83333,-28.01667,"ZA",657424887
"Meroles suborbitalis",20.88333,-27.85,"ZA",657424823
"Meroles suborbitalis",20.88333,-26.8,"BW",657425136
"Meroles suborbitalis",19.93333,-27.23333,NA,657425149
"Meroles suborbitalis",20.73333,-25.75,"ZA",657424884
"Meroles suborbitalis",21.8,-27.06667,"ZA",657424859
"Meroles suborbitalis",21.816,-26.666,"BW",1100513666
"Meroles suborbitalis",20.33333,-25.23333,"ZA",1051158452
"Meroles suborbitalis",20.6,-25.41667,"ZA",1051158453
"Meroles suborbitalis",15.15,-26.63333,NA,287099832
"Meroles suborbitalis",18.16667,-27.41667,NA,287099836
"Meroles suborbitalis",18.65,-27.13333,NA,287099831
