"species","lon","lat","countryCode","gbifID"
"Morethia taeniopleura",144.16417,-19.45194,"AU",1066590679
"Morethia taeniopleura",142.71149950037,-18.2114559861144,"AU",1066591461
"Morethia taeniopleura",145.58028,-19.96778,"AU",1066587557
"Morethia taeniopleura",146.05861,-19.81722,"AU",1066587514
"Morethia taeniopleura",148.02111,-22.67306,"AU",1066586224
"Morethia taeniopleura",146.09056,-19.82833,"AU",1066588625
"Morethia taeniopleura",150.63222,-24.32639,"AU",1066585278
"Morethia taeniopleura",150.60889,-24.29694,"AU",1066585289
"Morethia taeniopleura",148.108113414877,-21.5578187480861,"AU",1066584566
"Morethia taeniopleura",153.03278,-25.38722,"AU",1066585328
"Morethia taeniopleura",150.36722,-23.63639,"AU",1066581576
"Morethia taeniopleura",150.36278,-23.63806,"AU",1066581583
"Morethia taeniopleura",144.058710577525,-19.5739482853775,"AU",1066583106
"Morethia taeniopleura",142.79,-13.61111,"AU",1066582740
"Morethia taeniopleura",144.16389,-19.45194,"AU",1066583369
"Morethia taeniopleura",144.1525,-19.39167,"AU",1066583328
"Morethia taeniopleura",144.15001,-19.39917,"AU",1066583361
"Morethia taeniopleura",148.48389,-21.35278,"AU",1066583595
"Morethia taeniopleura",143.97611,-19.55417,"AU",1066579985
"Morethia taeniopleura",149.07583,-24.13167,"AU",1066580324
"Morethia taeniopleura",147.88333,-21.21667,"AU",1066580566
"Morethia taeniopleura",148.58278,-25.25167,"AU",1066586005
"Morethia taeniopleura",145.34889,-18.30778,"AU",1066581140
"Morethia taeniopleura",143.18222,-13.90194,"AU",1066580942
"Morethia taeniopleura",147.8675,-19.86028,"AU",1066581314
"Morethia taeniopleura",146.92667,-21.7,"AU",1066581263
"Morethia taeniopleura",150.94027,-24.32582,"AU",500794863
"Morethia taeniopleura",144.42221,-20.38054,"AU",500795073
"Morethia taeniopleura",148.20694,-21.56194,"AU",500794954
"Morethia taeniopleura",150.91944,-24.79917,"AU",1066578889
"Morethia taeniopleura",146.3475,-22.89056,"AU",1066579566
"Morethia taeniopleura",146.32972,-22.87889,"AU",1066579272
"Morethia taeniopleura",148.41389,-22.95,"AU",1066579371
"Morethia taeniopleura",144.77111,-20.41056,"AU",1066575956
"Morethia taeniopleura",144.46555,-20.25277,"AU",500792575
"Morethia taeniopleura",144.51832,-20.16388,"AU",500792597
"Morethia taeniopleura",151.5,-25.63333,"AU",1066575605
"Morethia taeniopleura",149.89639,-22.98556,"AU",1066570701
"Morethia taeniopleura",149.89556,-22.98389,"AU",1066570716
"Morethia taeniopleura",148.41472,-21.74917,"AU",1066571003
"Morethia taeniopleura",149.86667,-23,"AU",1066570703
"Morethia taeniopleura",151.24583,-24.11028,"AU",1066571558
"Morethia taeniopleura",151.145,-23.77389,"AU",1066571039
"Morethia taeniopleura",151.66111,-24.21861,"AU",1066571521
"Morethia taeniopleura",150.13806,-23.235,"AU",1066572029
"Morethia taeniopleura",146.61277948191,-19.1677566285516,"AU",1066573711
"Morethia taeniopleura",145.59389,-22.74639,"AU",1066574793
"Morethia taeniopleura",151.13333,-23.78333,"AU",1066566076
"Morethia taeniopleura",151.56667,-25.61667,"AU",1066576001
"Morethia taeniopleura",150.30694,-23.49944,"AU",1066569551
"Morethia taeniopleura",152.06667,-24.95,"AU",1066569780
"Morethia taeniopleura",151.80080909101,-27.348545412865,"AU",1066564711
"Morethia taeniopleura",150,-25.18333,"AU",1066566781
"Morethia taeniopleura",151.53556,-24.92639,"AU",1066565086
"Morethia taeniopleura",152.42833,-25.35333,"AU",1066565095
"Morethia taeniopleura",151.9075,-26.37111,"AU",1066565487
"Morethia taeniopleura",148.21528,-25.05333,"AU",1066571338
"Morethia taeniopleura",149.96667,-25.2,"AU",1066571786
"Morethia taeniopleura",146.6,-19.18333,"AU",1066568646
"Morethia taeniopleura",152.34306,-25.71972,"AU",1066565579
"Morethia taeniopleura",153.06745296059,-25.9818720897205,"AU",1066565635
"Morethia taeniopleura",152.23528,-24.69306,"AU",1066569922
"Morethia taeniopleura",148.41667,-21.75,"AU",1066562923
"Morethia taeniopleura",147.467527909723,-25.5485682407423,"AU",1066564959
"Morethia taeniopleura",146.81667,-19.26667,"AU",1066563449
"Morethia taeniopleura",144.13333,-16.15,"AU",1066564080
"Morethia taeniopleura",150.03167,-25.29472,"AU",1066571335
"Morethia taeniopleura",148.70444,-21.95639,"AU",1066561280
"Morethia taeniopleura",147.86667,-20.46444,"AU",1066561305
"Morethia taeniopleura",144.34167,-17.74167,"AU",1066561752
"Morethia taeniopleura",147.86,-25.11417,"AU",1066571250
"Morethia taeniopleura",147.86667,-19.85833,"AU",1066565382
"Morethia taeniopleura",145.5186,-17.09471,"AU",482471718
"Morethia taeniopleura",145.52166,-17.09499,"AU",1100410150
"Morethia taeniopleura",147.91667,-20.16667,"AU",1066559880
"Morethia taeniopleura",152.10833,-27.25833,"AU",1066573600
"Morethia taeniopleura",145.48416,-17.07804,"AU",482495494
"Morethia taeniopleura",150.200812944697,-23.9152290695799,"AU",1066565030
"Morethia taeniopleura",144.5,-17.1875,"AU",1066561682
"Morethia taeniopleura",150.450806036079,-23.1652300902253,"AU",1066575563
"Morethia taeniopleura",151.55472,-26.88556,"AU",1066560703
"Morethia taeniopleura",151.75,-24.08333,"AU",1066558270
"Morethia taeniopleura",152.834125791772,-27.6485400731717,"AU",1066583208
"Morethia taeniopleura",142.77778,-15.47139,"AU",1066559731
"Morethia taeniopleura",141.84278,-12.46694,"AU",1066572395
"Morethia taeniopleura",145.52693,-17.1025,"AU",1100409437
"Morethia taeniopleura",145.52304,-17.09721,"AU",1100409463
"Morethia taeniopleura",145.51333,-17.083,"AU",482465992
"Morethia taeniopleura",141.995,-12.61861,"AU",1066569019
"Morethia taeniopleura",141.78139,-12.48222,"AU",1066569002
"Morethia taeniopleura",141.94083,-12.62111,"AU",1066572428
"Morethia taeniopleura",151.98333,-25.65,"AU",1066559828
"Morethia taeniopleura",151.96667,-26.11667,"AU",1066557280
"Morethia taeniopleura",147.43333,-24.78333,"AU",1066557271
"Morethia taeniopleura",144.91667,-18.48333,"AU",1066559928
"Morethia taeniopleura",150.43333,-23.53333,"AU",1066552482
"Morethia taeniopleura",146.475,-19.80833,"AU",1066562803
"Morethia taeniopleura",143.41667,-16.61667,"AU",1066548710
"Morethia taeniopleura",150.41667,-23.38333,"AU",1066547460
"Morethia taeniopleura",145.68333,-22.95,"AU",1066547465
"Morethia taeniopleura",148.05,-25.05,"AU",1066549354
"Morethia taeniopleura",152.01667,-26.86667,"AU",1066546775
"Morethia taeniopleura",151.91667,-26.96667,"AU",1066546812
"Morethia taeniopleura",145.35,-17.01667,"AU",1066546239
"Morethia taeniopleura",143.94167,-19.54167,"AU",1066577326
"Morethia taeniopleura",145.825,-19.075,"AU",1066577283
"Morethia taeniopleura",150.4,-23.583,"AU",482224618
"Morethia taeniopleura",146.916,-20.516,"AU",1100378025
"Morethia taeniopleura",145.733,-19.933,"AU",482225255
"Morethia taeniopleura",144.516,-17.15,"AU",1100378076
"Morethia taeniopleura",145.033,-20.833,"AU",482226755
"Morethia taeniopleura",144.733,-18.433,"AU",482228078
"Morethia taeniopleura",150.383,-23.6,"AU",482224438
"Morethia taeniopleura",146.766,-20.433,"AU",1100378037
"Morethia taeniopleura",144.9,-17.416,"AU",1100378046
