"species","lon","lat","countryCode","gbifID"
"Mulinia lateralis",-80.03652,26.79791,"US",899665406
"Mulinia lateralis",-76.5865,34.7135,"US",895404852
"Mulinia lateralis",-76.6176,34.6786,"US",895403899
"Mulinia lateralis",-80.32182,27.2716,"US",1065281391
"Mulinia lateralis",-79.94599,32.75317,"US",80172783
"Mulinia lateralis",-79.01247,33.57209,"US",80172813
"Mulinia lateralis",-79.95329,32.74576,"US",80172797
"Mulinia lateralis",-80.50104,32.44637,"US",80172867
"Mulinia lateralis",-79.97858,32.81349,"US",80172845
"Mulinia lateralis",-79.19398,33.32288,"US",80173067
"Mulinia lateralis",-80.51799,32.42354,"US",80172857
"Mulinia lateralis",-79.18284,33.3506,"US",80173358
"Mulinia lateralis",-79.19299,33.32846,"US",80173341
"Mulinia lateralis",-79.02396,33.5597,"US",80173478
"Mulinia lateralis",-79.89995,32.73725,"US",80173616
"Mulinia lateralis",-80.832,32.143,"US",244484234
"Mulinia lateralis",-81.007,32.102,"US",244484189
"Mulinia lateralis",-81.218,31.738,"none",244484265
"Mulinia lateralis",-97.705,27.271,"US",244484589
"Mulinia lateralis",-97.691,27.351,"US",244484593
"Mulinia lateralis",-94.815,29.528,"US",244484493
"Mulinia lateralis",-79.955,32.9,"US",244484655
"Mulinia lateralis",-94.805,29.64,"US",244484433
"Mulinia lateralis",-80.259,32.614,"US",244484249
"Mulinia lateralis",-80.61,32.307,"US",244484192
"Mulinia lateralis",-97.674,27.338,"US",244484591
"Mulinia lateralis",-95.892,28.658,"US",244484581
"Mulinia lateralis",-80.618,32.472,"US",244484730
"Mulinia lateralis",-94.767,29.749,"US",244484400
"Mulinia lateralis",-97.558,27.325,"US",244484574
"Mulinia lateralis",-97.642,27.275,"US",244484590
"Mulinia lateralis",-94.814,29.701,"US",244484397
"Mulinia lateralis",-94.935,29.622,"US",244484432
"Mulinia lateralis",-76.119,35.312,"US",244484231
"Mulinia lateralis",-88.32,30.37,"US",244484337
"Mulinia lateralis",-79.907,32.984,"US",244484664
"Mulinia lateralis",-80.217,32.686,"US",244484261
"Mulinia lateralis",-80.325,32.493,"US",244484273
"Mulinia lateralis",-76.398,35.032,"US",244484292
"Mulinia lateralis",-76.513,34.997,"US",244484291
"Mulinia lateralis",-76.153,35.262,"US",244484230
"Mulinia lateralis",-95.055,29.71,"US",244484458
"Mulinia lateralis",-80.129,32.786,"US",244484635
"Mulinia lateralis",-80.373,27.235,"US",244484315
"Mulinia lateralis",-80.509,32.541,"US",244484395
"Mulinia lateralis",-88.478,30.213,"US",244484612
"Mulinia lateralis",-97.408,26.608,"US",244484693
"Mulinia lateralis",-81.024,31.857,"US",244484345
"Mulinia lateralis",-76.44,35.067,"US",244484426
"Mulinia lateralis",-97.292,27.708,"US",244484634
"Mulinia lateralis",-97.325,27.525,"US",244484659
"Mulinia lateralis",-79.692,32.872,"US",244484366
"Mulinia lateralis",-88.428,30.329,"US",244484675
"Mulinia lateralis",-95.003,29.235,"US",244484640
"Mulinia lateralis",-88.541,30.261,"US",244484641
"Mulinia lateralis",-94.803,29.435,"US",244484611
"Mulinia lateralis",-88.592,30.411,"US",244484670
"Mulinia lateralis",-80.126,32.608,"US",244484372
"Mulinia lateralis",-75.686,35.656,"US",244484383
"Mulinia lateralis",-75.586,35.409,"US",244484405
"Mulinia lateralis",-94.857,29.31,"US",244484606
"Mulinia lateralis",-89.193,29.006,"US",244484700
"Mulinia lateralis",-89.381,30.219,"US",244484703
"Mulinia lateralis",-76.261,34.91,"US",244484434
"Mulinia lateralis",-76.125,36.031,"US",244484428
"Mulinia lateralis",-80.3317,27.56,"US",1065188212
"Mulinia lateralis",-80.715,32.395,"US",244484429
"Mulinia lateralis",-80.639,28.426,"US",244484718
"Mulinia lateralis",-90.739,29.056,"US",244484699
