"species","lon","lat","countryCode","gbifID"
"Myrmecocystus mimicus",-109.33358,36.73442,"US",863608136
"Myrmecocystus mimicus",-109.15381,31.96277,"US",919802437
"Myrmecocystus mimicus",-116.15334,33.98333,"US",865119511
"Myrmecocystus mimicus",-110.75033,33.288,"US",1037146467
"Myrmecocystus mimicus",-106.25771,31.83323,"US",919784061
"Myrmecocystus mimicus",-109.225,31.94167,"US",1044052991
"Myrmecocystus mimicus",-119.85833,35.10833,"US",1044053011
"Myrmecocystus mimicus",-111.725,34.675,"US",1044053120
"Myrmecocystus mimicus",-110.96967,33.72,"US",1060844311
"Myrmecocystus mimicus",-112.14567,34.21733,"US",1060844427
"Myrmecocystus mimicus",-109.03333,31.86667,"US",865438373
"Myrmecocystus mimicus",-121.86667,37.95,"US",892832014
"Myrmecocystus mimicus",-121.875,37.95833,"US",1044053171
"Myrmecocystus mimicus",-105.88167,32.4125,"US",436423017
"Myrmecocystus mimicus",-115.28376,30.84063,"MX",919807807
"Myrmecocystus mimicus",-105.9378,35.68697,"US",919790770
"Myrmecocystus mimicus",-109.01184,27.01871,"MX",919793942
"Myrmecocystus mimicus",-104.63636,29.21435,"MX",919793844
"Myrmecocystus mimicus",-100.99542,25.42672,"MX",919807990
"Myrmecocystus mimicus",-113.55898,28.94798,"MX",919807961
"Myrmecocystus mimicus",-114.68353,30.63106,"MX",919808134
"Myrmecocystus mimicus",-104.92081,27.27294,"MX",919807829
"Myrmecocystus mimicus",-117.38348,34.36129,"US",919800742
"Myrmecocystus mimicus",-112.75472,34.21541,"US",919800812
"Myrmecocystus mimicus",-95.43884,30.03731,"US",919783963
"Myrmecocystus mimicus",-119.41793,36.77826,"US",919800664
"Myrmecocystus mimicus",-106.40525,32.97887,"US",919790538
"Myrmecocystus mimicus",-107.92948,34.892,"US",919790585
"Myrmecocystus mimicus",-106.86586,33.91784,"US",919790779
"Myrmecocystus mimicus",-110.88009,31.72509,"US",919800788
"Myrmecocystus mimicus",-106.56532,32.42344,"US",919790677
"Myrmecocystus mimicus",-116.67918,33.81446,"US",919800691
"Myrmecocystus mimicus",-109.88618,31.35149,"US",919800766
"Myrmecocystus mimicus",-121.5,38.58333,"US",892831990
"Myrmecocystus mimicus",-112.4678,34.54,"US",872700561
"Myrmecocystus mimicus",-114.0522,35.1894,"US",872700553
"Myrmecocystus mimicus",-109.15,31.96,"US",893041690
"Myrmecocystus mimicus",-109.18085,32.00528,"US",892951538
"Myrmecocystus mimicus",-106.43363,35.1981,"US",919790636
"Myrmecocystus mimicus",-117.2742,32.8473,"US",1098722884
