"species","lon","lat","countryCode","gbifID"
"Nacella concinna",-60.95,-64.015,"AQ",684011057
"Nacella concinna",-58.391,-62.085,"AQ",684010877
"Nacella concinna",-58.35,-62.0066,"AQ",684010453
"Nacella concinna",-58.383,-62.0833,"AQ",684011066
"Nacella concinna",-59.6805,-62.483,"AQ",684010532
"Nacella concinna",-68.81,-54.96,"CL",14903582
"Nacella concinna",-64.0575,-64.8025,"AQ",885574662
"Nacella concinna",-37.395,-54.0467,"GS",888922860
"Nacella concinna",-64.0678,-64.7781,"AQ",888830650
"Nacella concinna",-64.06833,-64.775,"AQ",686214571
"Nacella concinna",-65.34167,-66.00417,"AQ",686214583
"Nacella concinna",-64.135,-65.17167,"AQ",686214584
"Nacella concinna",-69.36167,-67.07667,"AQ",686214582
"Nacella concinna",-64.09833,-64.77233,"AQ",686214609
"Nacella concinna",-64.105,-64.76817,"AQ",686214621
"Nacella concinna",-63.92333,-65.04,"AQ",686214610
"Nacella concinna",-64.06333,-64.77867,"AQ",686214612
"Nacella concinna",-64.11667,-64.78833,"AQ",686214575
"Nacella concinna",-64.06417,-64.7785,"AQ",686214622
"Nacella concinna",-58.5617,-62.2833,"AQ",888792741
"Nacella concinna",-60.6917,-62.96,"AQ",888768778
"Nacella concinna",-64.0525,-64.775,"AQ",888768604
"Nacella concinna",-64.13,-64.82,"AQ",888771301
"Nacella concinna",-64.0581,-64.7767,"AQ",888761160
"Nacella concinna",-63.9722,-64.3322,"AQ",888762036
"Nacella concinna",-27.27,-59.47,"GS",887919406
"Nacella concinna",-37.617,-53.858,"GS",887919429
"Nacella concinna",-37.45,-54,"GS",887919399
"Nacella concinna",-59.35,-62.892,"AQ",887919356
"Nacella concinna",-38.058,-54.042,"GS",887919372
"Nacella concinna",-57.5,-61.75,"AQ",215810534
"Nacella concinna",-37.05,-54.1333,"GS",50412668
"Nacella concinna",-68.1225,-67.564,"AQ",50412805
"Nacella concinna",-64.2,-65.2167,"AQ",50413021
"Nacella concinna",-62.7248,-64.5473,"AQ",50413025
"Nacella concinna",-61.2333,-62.7667,"none",50413031
"Nacella concinna",-36.4167,-54.25,"GS",50412678
"Nacella concinna",-64.2333,-65.2333,"AQ",50413018
"Nacella concinna",-61.1667,-62.7167,"none",50413034
"Nacella concinna",-61.1702,-62.7357,"AQ",50413035
"Nacella concinna",-36.50657,-54.28174,"AR",231043948
"Nacella concinna",-58.5,-62.25,"AQ",14903583
"Nacella concinna",-44.6425,-60.7283,"AQ",50412774
"Nacella concinna",-55.8,-63.6,"AQ",50412676
"Nacella concinna",-62.9177,-64.6087,"AQ",50413024
"Nacella concinna",-45.5667,-60.6833,"AQ",50413036
"Nacella concinna",-36.3667,-54.4,"GS",50412671
"Nacella concinna",-36.4667,-54.3667,"GS",50412672
"Nacella concinna",-36.6667,-54.1833,"GS",50412815
"Nacella concinna",-45.5,-60.5833,"AQ",203567078
"Nacella concinna",-36.4333,-54.3833,"GS",50412665
"Nacella concinna",-61.2425,-62.7672,"none",50413030
"Nacella concinna",-57,-64.3333,"AQ",50412677
"Nacella concinna",-61.2082,-62.7352,"none",50413028
"Nacella concinna",-60.57,-62.98,"AQ",14903584
"Nacella concinna",-68.188,-67.6042,"AQ",50412798
"Nacella concinna",-68.336,-67.592,"AQ",50412801
"Nacella concinna",-68.3242,-67.5962,"AQ",50412804
"Nacella concinna",-62.9067,-64.604,"AQ",50413023
"Nacella concinna",-62.9067,-64.561,"AQ",50413026
"Nacella concinna",-68.2108,-67.5982,"AQ",50412797
"Nacella concinna",-61.2,-62.7333,"none",50413027
"Nacella concinna",-45.6331,-60.7167,"AQ",240800813
"Nacella concinna",-45.6333,-60.7167,"AQ",50412808
"Nacella concinna",-45.5765,-60.699,"AQ",50413037
"Nacella concinna",-58.45,-62.1333,"AQ",50412709
"Nacella concinna",-36.9,-78.2167,"AQ",50412722
"Nacella concinna",-68.1268,-67.5728,"AQ",50412796
"Nacella concinna",-68,-68,"AQ",1012261346
"Nacella concinna",-45.6,-60.6667,"AQ",50413040
"Nacella concinna",-36.5167,-54.2333,"GS",50412661
"Nacella concinna",-56.75,-63.25,"AQ",50412674
"Nacella concinna",-35.0633,-74.6767,"AQ",50412724
"Nacella concinna",-65.4,-64.4,"AQ",50412675
"Nacella concinna",-64.2465,-65.2463,"AQ",50413017
"Nacella concinna",-45.5945,-60.7177,"AQ",50413039
"Nacella concinna",-68.188,-67.5943,"AQ",50412800
"Nacella concinna",-36.85101,-54.29462,"AR",231043798
"Nacella concinna",-52.8233,-76.5333,"AQ",50412723
"Nacella concinna",-68.3268,-67.595,"AQ",50412802
"Nacella concinna",-61.2338,-62.7708,"AQ",50413032
"Nacella concinna",-68.1087,-67.5678,"AQ",50412803
"Nacella concinna",-64.1,-64.7667,"AQ",50413022
"Nacella concinna",-59.43333,-61.01667,"AQ",215810573
"Nacella concinna",-68.1148,-67.5695,"AQ",50412799
"Nacella concinna",-64.2085,-65.2217,"AQ",50413020
"Nacella concinna",-61.1733,-62.7277,"none",50413033
"Nacella concinna",-45.6017,-60.6813,"AQ",50413041
"Nacella concinna",-61.2148,-62.7372,"none",50413029
"Nacella concinna",-36.45389,-54.22107,"AR",231043878
