"species","lon","lat","countryCode","gbifID"
"Niveoscincus metallicus",147.29184,-42.9972,"AU",1024182754
"Niveoscincus metallicus",145.96321,-41.65133,"AU",478645358
"Niveoscincus metallicus",146.066,-41.55,"AU",483222280
"Niveoscincus metallicus",147.76757,-40.049690039074,"AU",500723479
"Niveoscincus metallicus",147.760990075763,-40.0585972114288,"AU",500723477
"Niveoscincus metallicus",147.316,-42.883,"AU",482624143
"Niveoscincus metallicus",146.71665,-43.06665,"AU",500549327
"Niveoscincus metallicus",146.6,-43,"AU",500549329
"Niveoscincus metallicus",146.07,-38.68,"AU",478675183
"Niveoscincus metallicus",147.96665,-42.85,"AU",500548834
"Niveoscincus metallicus",147.36666,-41.28332,"AU",500546564
"Niveoscincus metallicus",145.91666,-43.41666,"AU",500548397
"Niveoscincus metallicus",147.1,-41.41666,"AU",1132258018
"Niveoscincus metallicus",144.75,-40.53332,"AU",500546606
"Niveoscincus metallicus",143.94999,-39.58332,"AU",500546577
"Niveoscincus metallicus",148,-40,"AU",500546627
"Niveoscincus metallicus",143.94999,-39.6,"AU",500546587
"Niveoscincus metallicus",147.221038835444,-42.7386176511111,"AU",500723185
"Niveoscincus metallicus",146.47,-38.4,"AU",478677556
"Niveoscincus metallicus",146.20283,-37.793,"AU",478667911
"Niveoscincus metallicus",147.883,-41.95,"AU",500786147
"Niveoscincus metallicus",148.033,-40.016,"AU",1100435517
"Niveoscincus metallicus",147.316,-42.9,"AU",482623091
"Niveoscincus metallicus",147.233,-42.9,"AU",1100435124
"Niveoscincus metallicus",147.316,-42.866,"AU",482622951
"Niveoscincus metallicus",150.833,-34.566,"AU",482622526
"Niveoscincus metallicus",146.783,-42.15,"AU",1100435341
"Niveoscincus metallicus",146.16667,-38.6525,"AU",478667308
"Niveoscincus metallicus",147.866,-42.6,"AU",482624987
"Niveoscincus metallicus",147.866,-42.566,"AU",1100419355
"Niveoscincus metallicus",147.883,-42.6,"AU",482527605
"Niveoscincus metallicus",147.333,-42.933,"AU",1100435144
"Niveoscincus metallicus",145.95,-41.633,"AU",482474293
"Niveoscincus metallicus",145.53,-38.42,"AU",478663027
"Niveoscincus metallicus",144.43333,-38.13333,"AU",478663856
"Niveoscincus metallicus",147.2697,-42.0428,"AU",223783700
"Niveoscincus metallicus",147.315,-39.4728,"AU",223783699
"Niveoscincus metallicus",146.2,-41.7333,"AU",223783317
"Niveoscincus metallicus",146.16667,-36.75,"AU",478669366
"Niveoscincus metallicus",146.586,-38.001,"AU",478655423
"Niveoscincus metallicus",147.131048861919,-43.2586219147278,"AU",500725226
"Niveoscincus metallicus",144.930621693958,-41.3513689194618,"AU",500725178
"Niveoscincus metallicus",146.071042592518,-41.8586221077399,"AU",500725147
"Niveoscincus metallicus",147.86666,-40.31665,"AU",500549057
"Niveoscincus metallicus",146.22,-37.73,"AU",478637611
"Niveoscincus metallicus",147.91666,-40.26666,"AU",500549085
"Niveoscincus metallicus",147.616,-42.766,"AU",482455385
"Niveoscincus metallicus",147.65,-42.816,"AU",1100407933
"Niveoscincus metallicus",147.733,-42.733,"AU",482455403
"Niveoscincus metallicus",147.35,-42.866,"AU",482455320
"Niveoscincus metallicus",146.8,-40.67467,"AU",478657097
"Niveoscincus metallicus",146.048702210488,-41.8128020110764,"AU",500725072
"Niveoscincus metallicus",146.047592128087,-41.8064919804894,"AU",500725047
"Niveoscincus metallicus",146.181065384098,-43.3486311248654,"AU",500725086
"Niveoscincus metallicus",148.111022677411,-42.6186090754277,"AU",500725092
"Niveoscincus metallicus",147.66666,-41.55,"AU",500548985
"Niveoscincus metallicus",146.19999,-41.75,"AU",500548963
"Niveoscincus metallicus",146.68333,-38.7,"AU",478664719
"Niveoscincus metallicus",148.0167,-40.1167,"AU",223782836
"Niveoscincus metallicus",146.27,-37.83,"AU",478634734
"Niveoscincus metallicus",147.08332,-41.33332,"AU",500548892
"Niveoscincus metallicus",146.38,-39.23,"AU",478640075
"Niveoscincus metallicus",145.53,-37.57,"AU",478638715
"Niveoscincus metallicus",145.52,-41.42,"AU",478639943
"Niveoscincus metallicus",148.18,-39.98,"AU",478640029
"Niveoscincus metallicus",147.82,-39.87,"AU",478640038
"Niveoscincus metallicus",146.17,-43.52,"AU",478639958
"Niveoscincus metallicus",147.38333,-39.45,"AU",500548867
"Niveoscincus metallicus",147.11666,-39.51666,"AU",500548855
"Niveoscincus metallicus",144.67,-37.92,"AU",478634650
"Niveoscincus metallicus",144.33332,-40.46665,"AU",1132258145
"Niveoscincus metallicus",146.26666,-43.66666,"AU",1132258137
