"species","lon","lat","countryCode","gbifID"
"Niveoscincus ocellatus",145.6,-41.83333,"AU",891102587
"Niveoscincus ocellatus",147.866,-42.6,"AU",482625622
"Niveoscincus ocellatus",147.16666,-41.45,"AU",500549265
"Niveoscincus ocellatus",148.33332,-41.36666,"AU",500548916
"Niveoscincus ocellatus",147.66666,-41.55,"AU",500545381
"Niveoscincus ocellatus",147.41666,-41.38333,"AU",500546560
"Niveoscincus ocellatus",147.9,-42.05,"AU",500787816
"Niveoscincus ocellatus",147.883,-41.95,"AU",500787807
"Niveoscincus ocellatus",147.866,-42.583,"AU",500787843
"Niveoscincus ocellatus",147.333,-42.933,"AU",1100419344
"Niveoscincus ocellatus",147.883,-42.6,"AU",482529005
"Niveoscincus ocellatus",147.866,-42.566,"AU",482622996
"Niveoscincus ocellatus",147.883,-42.05,"AU",1100410456
"Niveoscincus ocellatus",147.2697,-42.0428,"AU",223783660
"Niveoscincus ocellatus",146.041042261128,-41.8086220517896,"AU",500725153
"Niveoscincus ocellatus",147.233,-42.9,"AU",482456378
"Niveoscincus ocellatus",146.047592128087,-41.8064919804894,"AU",500725019
"Niveoscincus ocellatus",146.035262625698,-41.8262022152462,"AU",500725082
"Niveoscincus ocellatus",147.85,-42.07,"AU",478639764
"Niveoscincus ocellatus",148.2,-40,"AU",478639759
"Niveoscincus ocellatus",146.167745190829,-42.1153229106481,"AU",500723965
"Niveoscincus ocellatus",145.97104097136,-41.6586217113934,"AU",500724144
"Niveoscincus ocellatus",147.231041292946,-42.8986186139121,"AU",500724268
"Niveoscincus ocellatus",146.891043553495,-42.7086203793117,"AU",500724860
"Niveoscincus ocellatus",146.701029932425,-41.6653153768436,"AU",500724088
"Niveoscincus ocellatus",146.23333,-41.73333,"AU",500548499
"Niveoscincus ocellatus",146.31666,-41.68332,"AU",500548505
"Niveoscincus ocellatus",147.8,-40.29999,"AU",500548645
"Niveoscincus ocellatus",147.86666,-40.31665,"AU",500548637
"Niveoscincus ocellatus",148.05,-40.48333,"AU",500548623
"Niveoscincus ocellatus",148.11666,-40.29999,"AU",500548580
"Niveoscincus ocellatus",148,-40.36666,"AU",500548586
"Niveoscincus ocellatus",147.5,-41.16666,"AU",500548293
"Niveoscincus ocellatus",147.91666,-40.26666,"AU",500549156
"Niveoscincus ocellatus",147.10416,-41.4375,"AU",500548240
"Niveoscincus ocellatus",147.116,-41.45,"AU",482208721
"Niveoscincus ocellatus",147.25,-42.233,"AU",1100375936
"Niveoscincus ocellatus",146.9333,-41.9833,"AU",223782843
"Niveoscincus ocellatus",147.8,-40.3,"AU",478617894
"Niveoscincus ocellatus",148.266,-41.85,"AU",500754172
"Niveoscincus ocellatus",146.76667,-41.03333,"AU",500547679
"Niveoscincus ocellatus",145.94999,-41.65,"AU",500547502
"Niveoscincus ocellatus",146.766,-42.933,"AU",483150614
"Niveoscincus ocellatus",146.916,-42.983,"AU",483160018
"Niveoscincus ocellatus",146.5,-41.85,"AU",500547029
"Niveoscincus ocellatus",147.76666,-40.86666,"AU",500546989
"Niveoscincus ocellatus",146.63333,-41.03333,"AU",500547105
"Niveoscincus ocellatus",146.71665,-41.3,"AU",500547209
