"species","lon","lat","countryCode","gbifID"
"Onoba gelida",170.44667,-72.30833,"AQ",857177551
"Onoba gelida",170.48167,-71.30667,"AQ",986148121
"Onoba gelida",170.21833,-72.28333,"AQ",857177390
"Onoba gelida",170.115,-73.37833,"AQ",857177488
"Onoba gelida",164.19167,-74.82167,"AQ",986148028
"Onoba gelida",170.48667,-71.31167,"AQ",857177456
"Onoba gelida",170.20333,-72.28167,"AQ",857177542
"Onoba gelida",170.23333,-72.285,"AQ",986148097
"Onoba gelida",170.425,-71.31167,"AQ",857177639
"Onoba gelida",164.21833,-74.72,"AQ",857177467
"Onoba gelida",164.30167,-74.81667,"AQ",986147877
"Onoba gelida",164.08833,-74.83167,"AQ",683950031
"Onoba gelida",163.22444,-66.91361,"AQ",683950035
"Onoba gelida",-13.735,-71.535,"AQ",240912404
"Onoba gelida",-12.695,-71.67483,"AQ",240912405
"Onoba gelida",-11.5375,-71.13583,"AQ",240912403
"Onoba gelida",-12.285,-71.31167,"AQ",240912402
"Onoba gelida",-27.5833,-56.26,"GS",888929411
"Onoba gelida",63.50583,-64.82139,"AQ",888768746
"Onoba gelida",-63.08,-64.48,"AQ",888762220
"Onoba gelida",172.142,-72.083,"AQ",887974813
"Onoba gelida",172.508,-72.008,"AQ",887974943
"Onoba gelida",172.367,-72.058,"AQ",887974738
"Onoba gelida",176.867,-73.033,"AQ",887974971
"Onoba gelida",168.283,-76.167,"AQ",887974762
"Onoba gelida",170.183,-74.517,"AQ",887974713
"Onoba gelida",-54.717,-62.683,"AQ",887974868
"Onoba gelida",-56.15,-62.658,"AQ",887974663
"Onoba gelida",-56.217,-62.658,"AQ",887974637
"Onoba gelida",110.51833,-66.27472,"AQ",888956872
"Onoba gelida",-56.18,-61.27,"AQ",887974998
"Onoba gelida",110.63653,-66.22042,"AQ",888956492
"Onoba gelida",110.63444,-66.22569,"AQ",888956024
"Onoba gelida",164.65,-77.4867,"AQ",80137997
"Onoba gelida",179.3333,-74.0792,"AQ",80137981
"Onoba gelida",166.1667,-77.5833,"AQ",80137989
"Onoba gelida",167.6,-76.9833,"AQ",80137932
"Onoba gelida",179.7333,-76.7,"AQ",80137841
"Onoba gelida",179.6667,-74.5,"AQ",80137875
"Onoba gelida",166.55,-77.8333,"AQ",80137942
"Onoba gelida",177.2,-77.0833,"AQ",80137821
"Onoba gelida",166.3333,-77.6167,"AQ",80137958
"Onoba gelida",166.5,-77.8333,"AQ",80137952
"Onoba gelida",49.683,-66.166,"AQ",1100879599
"Onoba gelida",142.666,-66.9,"AQ",1101129579
"Onoba gelida",166.15,-77.55,"AQ",1100973094
"Onoba gelida",164.75,-76.916,"AQ",1100978686
"Onoba gelida",-36.3,-54.18333,"GS",1099397331
"Onoba gelida",110.4778,-66.2567,"AQ",50412127
"Onoba gelida",39.6,-69.0167,"AQ",50412352
"Onoba gelida",-11.5375,-71.1358,"AQ",50412393
"Onoba gelida",139.85,-66.6667,"AQ",50412869
"Onoba gelida",166.4333,-77.7717,"AQ",50412091
"Onoba gelida",93.015,-66.549,"AQ",50412126
"Onoba gelida",-58.217,-62,"AQ",50412494
"Onoba gelida",142.5,-67,"AQ",50412685
"Onoba gelida",167.4,-78.1333,"AQ",50412179
"Onoba gelida",62.8625,-67.6,"AQ",50412787
"Onoba gelida",139.9167,-66.65,"none",50412874
"Onoba gelida",3.207,-54.617,"BV",50413182
"Onoba gelida",-35.8333,-54.5,"GS",203567579
"Onoba gelida",-37.6333,-53.85,"GS",203567583
"Onoba gelida",163.755,-77.8,"AQ",38604837
"Onoba gelida",168.1667,-76.1167,"AQ",50412093
"Onoba gelida",-179.6667,-74.5,"AQ",50412097
"Onoba gelida",110.5133,-66.2772,"AQ",50412121
"Onoba gelida",170,-71.4167,"AQ",50412757
"Onoba gelida",166.6139,-77.8328,"AQ",50412108
"Onoba gelida",172.6333,-72.05,"AQ",50412117
"Onoba gelida",169.5,-77.4333,"AQ",50412130
"Onoba gelida",-12.695,-71.6748,"AQ",50412395
"Onoba gelida",-35.6833,-54.45,"GS",203567582
"Onoba gelida",164.65,-77.4837,"AQ",50412104
"Onoba gelida",110.6306,-66.2217,"AQ",50412122
"Onoba gelida",172.1667,-72.1333,"AQ",50412284
"Onoba gelida",-61.15,-62,"AQ",203567584
"Onoba gelida",166.5667,-77.8467,"AQ",50412129
"Onoba gelida",172.4667,-72,"AQ",50412119
"Onoba gelida",166.5,-77.5,"AQ",50412823
"Onoba gelida",-56.2167,-62.6667,"AQ",50412112
"Onoba gelida",176.9,-73.0333,"AQ",50412120
"Onoba gelida",166.6667,-77.7,"AQ",50412758
"Onoba gelida",3.2175,-54.5265,"BV",50413184
"Onoba gelida",-63.0018,-64.9002,"AQ",203567624
"Onoba gelida",166.6461,-77.8531,"AQ",50412107
"Onoba gelida",163.8333,-77.4333,"AQ",50412125
"Onoba gelida",170.3,-72.2778,"AQ",50412128
"Onoba gelida",166.6667,-77.85,"AQ",50412181
"Onoba gelida",49.6833,-66.1667,"AQ",50412729
"Onoba gelida",166.4667,-77.2333,"AQ",50412759
