"species","lon","lat","countryCode","gbifID"
"Ophionereis fasciata",172.69761,-43.63157,"none",1038311560
"Ophionereis fasciata",170.7,-45.8,"NZ",479245013
"Ophionereis fasciata",170.617,-45.717,"NZ",235887151
"Ophionereis fasciata",174.8,-36.3,"NZ",479226084
"Ophionereis fasciata",174.0983,-40.9167,"NZ",80143102
"Ophionereis fasciata",174.3583,-41.0533,"NZ",80143098
"Ophionereis fasciata",174.2967,-41.0467,"NZ",80143096
"Ophionereis fasciata",168.145,-46.9383,"NZ",80142667
"Ophionereis fasciata",-176.1733,-44.29,"NZ",80142820
"Ophionereis fasciata",173.7583,-40.9167,"NZ",80142897
"Ophionereis fasciata",173.98,-40.75,"NZ",80142891
"Ophionereis fasciata",170.8,-45.8833,"NZ",80142253
"Ophionereis fasciata",170.4,-46.15,"NZ",80142255
"Ophionereis fasciata",170.1967,-46.3283,"NZ",80142259
"Ophionereis fasciata",-176.5583,-43.6917,"NZ",80141853
"Ophionereis fasciata",173.733,-42.383,"NZ",1100722513
"Ophionereis fasciata",173.8167,-40.85,"NZ",80142050
"Ophionereis fasciata",172.2833,-33.9167,"NZ",80142025
"Ophionereis fasciata",176.1,-36.9667,"NZ",80142149
"Ophionereis fasciata",-176.6167,-43.9833,"NZ",80141847
"Ophionereis fasciata",178.9333,-37.45,"NZ",80142115
"Ophionereis fasciata",167.15,-48.5333,"NZ",80142054
"Ophionereis fasciata",174.3167,-41.0667,"NZ",80141936
"Ophionereis fasciata",174.8,-41.3333,"NZ",80141736
"Ophionereis fasciata",-176.6167,-43.9767,"NZ",80141859
"Ophionereis fasciata",-176.5317,-43.9267,"NZ",80141858
"Ophionereis fasciata",173.955,-41.0817,"NZ",80141725
"Ophionereis fasciata",178.94,-37.6667,"NZ",80141683
"Ophionereis fasciata",174.285,-41.2167,"NZ",80141709
"Ophionereis fasciata",173.845,-40.92,"NZ",80141707
"Ophionereis fasciata",169.3767,-46.6667,"NZ",80141455
"Ophionereis fasciata",166.5867,-48.0017,"NZ",80141447
"Ophionereis fasciata",167.5542,-44.7,"NZ",80141458
"Ophionereis fasciata",168.1633,-46.6667,"NZ",80141389
"Ophionereis fasciata",168.88,-46.6917,"NZ",80141410
"Ophionereis fasciata",168.28,-46.75,"NZ",80141392
"Ophionereis fasciata",168.1633,-46.8333,"NZ",80141387
"Ophionereis fasciata",168.3,-46.8333,"NZ",80141398
"Ophionereis fasciata",167.9167,-46.5833,"NZ",80141406
"Ophionereis fasciata",168.0417,-46.6667,"NZ",80141400
"Ophionereis fasciata",167.8,-46.6617,"NZ",80141403
"Ophionereis fasciata",168.5233,-46.7333,"NZ",80141415
"Ophionereis fasciata",174.62,-41.5,"NZ",80141550
"Ophionereis fasciata",174,-41,"NZ",80143322
"Ophionereis fasciata",174.4867,-41.2383,"NZ",80141066
"Ophionereis fasciata",177.135,-39.2,"NZ",80144444
"Ophionereis fasciata",177.1617,-39.4967,"NZ",80141374
"Ophionereis fasciata",177.145,-39.6133,"NZ",80141377
"Ophionereis fasciata",177.3917,-39.4617,"NZ",80141379
"Ophionereis fasciata",174.4617,-41.3167,"NZ",80141491
"Ophionereis fasciata",177.2167,-39.1467,"NZ",80141370
"Ophionereis fasciata",-176.35,-44,"NZ",80143374
"Ophionereis fasciata",-176.2,-44.3167,"NZ",80143370
"Ophionereis fasciata",-176.3583,-44.025,"NZ",80143373
"Ophionereis fasciata",-176.7117,-43.8133,"NZ",80143398
"Ophionereis fasciata",174.783,-41.283,"NZ",1100707333
