"species","lon","lat","countryCode","gbifID"
"Pachygrapsus marmoratus",28.7089,44.1212,"RO",1098923002
"Pachygrapsus marmoratus",28.65509,43.97738,"RO",922776329
"Pachygrapsus marmoratus",13.54531,43.6084,"IT",891019351
"Pachygrapsus marmoratus",12.22,41.76,"IT",786914617
"Pachygrapsus marmoratus",15.44898,43.92502,"HR",727955662
"Pachygrapsus marmoratus",12.76,37.31,"IT",1004197823
"Pachygrapsus marmoratus",3.091,47.47117,"FR",207934276
"Pachygrapsus marmoratus",13.6195,45.11967,"HR",1038275192
"Pachygrapsus marmoratus",13.6823,45.04748,"HR",207934250
"Pachygrapsus marmoratus",13.60297,45.08103,"HR",1038275202
"Pachygrapsus marmoratus",1.7001,53.45037,"GB",121869769
"Pachygrapsus marmoratus",12.65,37.5767,"IT",887784350
"Pachygrapsus marmoratus",13.70202,45.0204,"HR",346488793
"Pachygrapsus marmoratus",13.61075,45.07408,"HR",346488792
"Pachygrapsus marmoratus",13.73963,45.12885,"HR",346488794
"Pachygrapsus marmoratus",29.10578,41.20695,"TR",912716125
"Pachygrapsus marmoratus",35.78945,36.76622,"TR",912716025
"Pachygrapsus marmoratus",26.07428,39.83622,"TR",912716084
"Pachygrapsus marmoratus",12.5183,38.0083,"IT",887784107
"Pachygrapsus marmoratus",28.7187,44.12777,"RO",922681978
"Pachygrapsus marmoratus",10.3417,36.8583,"TN",887783765
"Pachygrapsus marmoratus",14.76667,44.75,"HR",251085136
"Pachygrapsus marmoratus",14.26667,40.83333,"IT",251645147
"Pachygrapsus marmoratus",28.96667,41.11667,"TR",1099416846
"Pachygrapsus marmoratus",23.7,40.66,"GR",115658178
"Pachygrapsus marmoratus",26.41,38.96,"GR",115658197
"Pachygrapsus marmoratus",-0.42303,38.4143,"ES",861919880
"Pachygrapsus marmoratus",-3.19179,48.72449,"FR",660586931
"Pachygrapsus marmoratus",3.92811,43.5701,"FR",660605415
"Pachygrapsus marmoratus",5.40116,43.27749,"FR",660605928
"Pachygrapsus marmoratus",-1.3246,45.92211,"FR",660607360
"Pachygrapsus marmoratus",-2.30373,46.69263,"FR",660609743
"Pachygrapsus marmoratus",-2.43428,46.68652,"FR",660586990
"Pachygrapsus marmoratus",6.37471,43.0714,"FR",660587597
"Pachygrapsus marmoratus",7.01852,43.49964,"FR",660612515
"Pachygrapsus marmoratus",-1.10195,44.66812,"FR",812103813
"Pachygrapsus marmoratus",23.78,40.59,"GR",115658161
"Pachygrapsus marmoratus",-3.30028,47.3647,"FR",812101904
"Pachygrapsus marmoratus",-3.0462,47.4685,"FR",660577910
"Pachygrapsus marmoratus",6.89508,43.50415,"FR",660586058
"Pachygrapsus marmoratus",-4.44289,47.92981,"FR",660602901
"Pachygrapsus marmoratus",6.36948,42.98155,"FR",660603331
"Pachygrapsus marmoratus",3.1822,42.49468,"FR",660625364
"Pachygrapsus marmoratus",22.89,40.4,"GR",115658057
"Pachygrapsus marmoratus",23.02,38.21,"GR",115658195
"Pachygrapsus marmoratus",20.18,39.61,"GR",115658311
"Pachygrapsus marmoratus",23.78,38.32,"GR",115658021
"Pachygrapsus marmoratus",23.55,37.76667,"GR",251645020
"Pachygrapsus marmoratus",-1.6282,43.38519,"FR",660595432
"Pachygrapsus marmoratus",7.27874,43.66989,"FR",660606565
"Pachygrapsus marmoratus",-3.15787,47.28205,"FR",812108773
"Pachygrapsus marmoratus",16.3833,43.5,"HR",1095144656
"Pachygrapsus marmoratus",-0.42622,38.32427,"ES",188197773
"Pachygrapsus marmoratus",-1.63543,43.475,"FR",660582451
"Pachygrapsus marmoratus",5.03511,43.37499,"FR",812103088
"Pachygrapsus marmoratus",5.39743,43.18758,"FR",812110368
"Pachygrapsus marmoratus",25.59,39.04,"GR",115658351
"Pachygrapsus marmoratus",-1.22335,46.28665,"FR",812114887
"Pachygrapsus marmoratus",-1.18891,45.83704,"FR",812114934
"Pachygrapsus marmoratus",-2.08895,48.59641,"FR",660582221
"Pachygrapsus marmoratus",-1.22793,44.66337,"FR",660626139
"Pachygrapsus marmoratus",15.0923,38.02361,"IT",22231930
"Pachygrapsus marmoratus",24.29,40.12,"GR",115658121
"Pachygrapsus marmoratus",25.79,40.84,"GR",115658167
"Pachygrapsus marmoratus",-2.498,47.31524,"FR",660587036
"Pachygrapsus marmoratus",-3.89761,47.87282,"FR",660588930
"Pachygrapsus marmoratus",-1.22119,44.57347,"FR",660606171
"Pachygrapsus marmoratus",-1.10851,44.75802,"FR",660617921
"Pachygrapsus marmoratus",0.18369,38.67907,"ES",862211422
"Pachygrapsus marmoratus",24.22,40.2,"GR",115658092
"Pachygrapsus marmoratus",27,37.01,"GR",115658200
"Pachygrapsus marmoratus",-0.26742,39.49185,"ES",862232037
"Pachygrapsus marmoratus",-4.62783,48.27953,"FR",660590947
"Pachygrapsus marmoratus",-4.03085,47.8649,"FR",660594341
"Pachygrapsus marmoratus",-3.74519,48.78469,"FR",660607991
"Pachygrapsus marmoratus",23.19,40.25,"GR",115658129
"Pachygrapsus marmoratus",-0.43256,38.1442,"ES",188197789
"Pachygrapsus marmoratus",3.80311,43.48112,"FR",660578620
"Pachygrapsus marmoratus",-2.44329,46.77634,"FR",660590020
"Pachygrapsus marmoratus",-3.46484,47.6266,"FR",660604758
"Pachygrapsus marmoratus",4.17373,43.47774,"FR",660611666
"Pachygrapsus marmoratus",-0.26388,39.58185,"ES",861949157
"Pachygrapsus marmoratus",8.77727,42.51834,"FR",660578920
"Pachygrapsus marmoratus",-3.61982,47.79854,"FR",660583834
"Pachygrapsus marmoratus",7.42693,43.73888,"MC",1100801882
"Pachygrapsus marmoratus",23.62,38.47,"GR",115658011
"Pachygrapsus marmoratus",22.86,40.43,"GR",115658056
"Pachygrapsus marmoratus",23.74,39.08,"GR",115658139
"Pachygrapsus marmoratus",-4.86926,48.08281,"FR",660579287
"Pachygrapsus marmoratus",6.76573,43.41865,"FR",660583676
"Pachygrapsus marmoratus",-1.46071,46.00701,"FR",660597895
"Pachygrapsus marmoratus",-2.19034,46.87829,"FR",660613253
"Pachygrapsus marmoratus",23.17,39.12,"GR",115658026
"Pachygrapsus marmoratus",22.96,38.83,"GR",115658047
"Pachygrapsus marmoratus",9.30054,42.84945,"FR",660594760
"Pachygrapsus marmoratus",-2.35695,47.23161,"FR",660604884
"Pachygrapsus marmoratus",-4.27476,48.66321,"FR",660607513
"Pachygrapsus marmoratus",5.03193,43.28507,"FR",812110659
"Pachygrapsus marmoratus",-0.54355,38.23668,"ES",188197785
"Pachygrapsus marmoratus",23.01,38.91,"GR",115658037
"Pachygrapsus marmoratus",23.85,40.78,"GR",115658138
"Pachygrapsus marmoratus",24.06,37.71,"GR",115658072
"Pachygrapsus marmoratus",23.01,40.32,"GR",115658091
"Pachygrapsus marmoratus",25.73,40.84,"GR",115658170
