"species","lon","lat","countryCode","gbifID"
"Paramoera walkeri",-36.3,-54.2667,"GS",144773485
"Paramoera walkeri",93.0167,-66.55,"AQ",144773473
"Paramoera walkeri",-36.4667,-54.2333,"GS",144773484
"Paramoera walkeri",-175,-75,"none",144773479
"Paramoera walkeri",166.41701,-77.2333,"AQ",144773493
"Paramoera walkeri",-36.5,-54.2833,"GS",144773486
"Paramoera walkeri",-62.8333,-64.25,"AQ",144773477
"Paramoera walkeri",170.233,-71.2833,"AQ",144773482
"Paramoera walkeri",45.83333,-67.66667,"AQ",144773475
"Paramoera walkeri",166.633,-77.85,"AQ",144773483
"Paramoera walkeri",-60.65,-62.95,"none",144773492
"Paramoera walkeri",-36.2167,-54.3667,"GS",144773490
"Paramoera walkeri",-68.5,-68.5,"AQ",144773476
"Paramoera walkeri",142.60001,-67,"AQ",144773472
"Paramoera walkeri",169.39999,-77.5167,"AQ",144773480
"Paramoera walkeri",-36.3028,-54.2833,"GS",144773491
"Paramoera walkeri",135.80499,-64.29333,"AQ",144773471
"Paramoera walkeri",139.91701,-66.65,"none",144773470
"Paramoera walkeri",165,-77.5,"AQ",144773478
"Paramoera walkeri",45.9667,-67.65,"AQ",144773474
"Paramoera walkeri",77.941,-68.58392,"none",122878087
"Paramoera walkeri",-77.941,-68.5839,"AQ",93983814
"Paramoera walkeri",-77.9563,-68.5717,"AQ",93983805
"Paramoera walkeri",77.95631,-68.57166,"none",122878082
"Paramoera walkeri",77.6837,-68.8596,"AQ",93983810
"Paramoera walkeri",-77.9516,-68.5755,"AQ",93983811
"Paramoera walkeri",77.8418,-68.6684,"AQ",93983802
"Paramoera walkeri",77.95161,-68.57548,"none",122878086
"Paramoera walkeri",-77.9355,-68.5929,"AQ",93983807
"Paramoera walkeri",77.84181,-68.66844,"AQ",122878080
"Paramoera walkeri",77.9598,-68.5013,"AQ",93983808
"Paramoera walkeri",77.68371,-68.85957,"AQ",122878085
"Paramoera walkeri",77.93548,-68.59286,"none",122878083
"Paramoera walkeri",77.95983,-68.50133,"AQ",122878084
"Paramoera walkeri",-60.5,-62.983,"AQ",203669074
"Paramoera walkeri",-77.9475,-68.5715,"AQ",93983816
"Paramoera walkeri",-77.9221,-68.5735,"AQ",93983817
"Paramoera walkeri",77.94754,-68.5715,"none",122878088
"Paramoera walkeri",-77.857,-68.6659,"AQ",93983804
"Paramoera walkeri",77.8852,-68.5753,"AQ",93983818
"Paramoera walkeri",78,-68.583,"none",1100788419
"Paramoera walkeri",77.92211,-68.57352,"none",122878089
"Paramoera walkeri",77.88516,-68.57528,"AQ",122878090
"Paramoera walkeri",77.85704,-68.66592,"none",122878081
