"species","lon","lat","countryCode","gbifID"
"Pardosa nigriceps",5.52016,58.72065,"NO",1092467321
"Pardosa nigriceps",5.96587,58.51169,"NO",1092467136
"Pardosa nigriceps",12.2199,57.1463,"SE",1064019268
"Pardosa nigriceps",12.2614,57.0794,"SE",1062222718
"Pardosa nigriceps",12.2501,57.1676,"SE",1064398796
"Pardosa nigriceps",5.86043,58.82376,"NO",1092467257
"Pardosa nigriceps",5.90709,58.93404,"NO",1092471855
"Pardosa nigriceps",5.53862,58.78393,"NO",1092467301
"Pardosa nigriceps",12.5654,56.1562,"SE",1123676809
"Pardosa nigriceps",12.4813,56.2906,"SE",1123627224
"Pardosa nigriceps",14.9959,56.1578,"SE",1135565831
"Pardosa nigriceps",11.7781,57.6525,"SE",1135267700
"Pardosa nigriceps",8.16646,58.17619,"NO",1049647063
"Pardosa nigriceps",13.7276,56.0994,"SE",896108534
"Pardosa nigriceps",5.99326,58.54422,"NO",1092471853
"Pardosa nigriceps",8.07536,58.19155,"NO",1049647299
"Pardosa nigriceps",-6.08467,53.38152,"IE",1133930880
"Pardosa nigriceps",5.86661,58.47169,"NO",1049647667
"Pardosa nigriceps",8.1067,58.1199,"NO",1049647514
"Pardosa nigriceps",6.19401,58.37727,"NO",1049647827
"Pardosa nigriceps",6.09101,58.60916,"NO",1049648483
"Pardosa nigriceps",18.5114,60.1933,"SE",1037407174
"Pardosa nigriceps",16.3535,56.7095,"SE",931927454
"Pardosa nigriceps",6.06675,58.54939,"NO",1049647772
"Pardosa nigriceps",8.0873,58.20812,"NO",1050058335
"Pardosa nigriceps",15.0064,56.1555,"SE",932445768
"Pardosa nigriceps",12.2981,57.1005,"SE",1055285039
"Pardosa nigriceps",5.57116,59.8509,"NO",1092466657
"Pardosa nigriceps",6.09073,58.77552,"NO",1092466815
"Pardosa nigriceps",12.945,55.8236,"SE",1046531822
"Pardosa nigriceps",5.59949,58.62567,"NO",1092466860
"Pardosa nigriceps",11.6,52.5,"DE",1122985738
"Pardosa nigriceps",13.6691,56.2659,"SE",875089650
"Pardosa nigriceps",-7.3725,54.35252,"IE",1133921405
"Pardosa nigriceps",6.40855,58.30873,"NO",1050057015
"Pardosa nigriceps",6.12574,58.58566,"NO",1050056652
"Pardosa nigriceps",4.90299,59.30091,"NO",1049644041
"Pardosa nigriceps",11.33721,59.22271,"NO",1049646424
"Pardosa nigriceps",6.15572,59.16623,"NO",1049644379
"Pardosa nigriceps",9.00947,61.87535,"NO",1049646699
"Pardosa nigriceps",17.729,62.3932,"SE",875227566
"Pardosa nigriceps",18.6081,60.3117,"SE",875421030
"Pardosa nigriceps",12.731,56.651,"SE",722927832
"Pardosa nigriceps",6.3107,58.34922,"NO",682597966
"Pardosa nigriceps",7.66513,49.06569,"DE",922553603
"Pardosa nigriceps",10.46481,59.08371,"NO",1049642605
"Pardosa nigriceps",-5.83215,57.35176,"GB",796700036
"Pardosa nigriceps",10.52532,59.53187,"NO",1049642875
"Pardosa nigriceps",0.56939,52.34472,"GB",792973682
"Pardosa nigriceps",5.35304,59.78994,"NO",682591618
"Pardosa nigriceps",14.2272,56.2727,"SE",746891939
"Pardosa nigriceps",5.37873,59.78798,"NO",682591483
"Pardosa nigriceps",9.30408,58.74763,"NO",682597580
"Pardosa nigriceps",12.98318,50.83717,"DE",922546231
"Pardosa nigriceps",6.13764,58.9972,"NO",682591711
"Pardosa nigriceps",5.44027,59.91661,"NO",682592073
"Pardosa nigriceps",12.98258,50.83717,"DE",922661940
"Pardosa nigriceps",10.39626,59.14475,"NO",682596051
"Pardosa nigriceps",5.8935,58.46775,"NO",682592185
"Pardosa nigriceps",10.40601,59.14939,"NO",682595749
"Pardosa nigriceps",6.21814,59.12078,"NO",682595804
"Pardosa nigriceps",-3.30946,58.89504,"GB",796698731
"Pardosa nigriceps",6.044,58.86192,"NO",682788579
"Pardosa nigriceps",0.19198,52.28488,"GB",686667616
"Pardosa nigriceps",-2.22125,52.55228,"GB",799645002
"Pardosa nigriceps",5.06016,60.3547,"NO",683447836
"Pardosa nigriceps",10.6824,59.31568,"NO",682587643
"Pardosa nigriceps",-7.34396,53.33803,"IE",417096146
"Pardosa nigriceps",-7.34994,53.33986,"IE",417096159
"Pardosa nigriceps",10.33372,63.44742,"NO",682593028
"Pardosa nigriceps",-7.93996,53.32634,"IE",417095825
"Pardosa nigriceps",5.76688,58.62369,"NO",682587362
"Pardosa nigriceps",8.07138,58.19097,"NO",682587467
"Pardosa nigriceps",7.45314,62.89726,"NO",682788363
"Pardosa nigriceps",-7.87708,53.27148,"IE",417096320
"Pardosa nigriceps",18.9021,57.9231,"SE",753769636
"Pardosa nigriceps",5.91455,58.45643,"NO",682587934
"Pardosa nigriceps",5.53796,58.87002,"NO",682587662
