"species","lon","lat","countryCode","gbifID"
"Petrolisthes gracilis",-110.38,24.53,"MX",218937705
"Petrolisthes gracilis",-111.176,26.026,"MX",235927158
"Petrolisthes gracilis",-106.614,21.433,"MX",370592454
"Petrolisthes gracilis",-106.672,21.674,"MX",370592415
"Petrolisthes gracilis",-106.557,21.517,"MX",370592470
"Petrolisthes gracilis",-114.06,27.97,"MX",218937285
"Petrolisthes gracilis",-109.18,27.94,"MX",218937286
"Petrolisthes gracilis",-112.46,31.34,"MX",218937666
"Petrolisthes gracilis",-110.95,25.68,"MX",218937654
"Petrolisthes gracilis",-110.78,25.92,"MX",218937821
"Petrolisthes gracilis",-111.87,27.22,"MX",218937824
"Petrolisthes gracilis",-109.38,24.89,"MX",218937826
"Petrolisthes gracilis",-109.66,24.47,"MX",218937825
"Petrolisthes gracilis",-112.31,28.75,"MX",218937587
"Petrolisthes gracilis",-112.85,29,"MX",218937586
"Petrolisthes gracilis",-106.538,21.583,"MX",370592365
"Petrolisthes gracilis",-110.882,27.844,"MX",235927048
"Petrolisthes gracilis",-113.612,31.355,"MX",235927044
"Petrolisthes gracilis",-114.695,30.81,"MX",235927041
"Petrolisthes gracilis",-113.55,29.53,"MX",218937612
