"species","lon","lat","countryCode","gbifID"
"Pimephales promelas",-81.6181,40.94434,"US",1098904686
"Pimephales promelas",-119.01517,34.216,"US",891781223
"Pimephales promelas",-96.6339,34.6099,"US",1037144205
"Pimephales promelas",-96.5725,34.6151,"US",1024563816
"Pimephales promelas",-96.5661,34.6007,"US",1024563804
"Pimephales promelas",-100.6712,46.4102,"US",1065434148
"Pimephales promelas",-95.02643,39.86151,"US",1078811901
"Pimephales promelas",-103.93424,42.5769,"US",1078813711
"Pimephales promelas",-96.6356,34.7035,"US",1051358889
"Pimephales promelas",-82.96629,35.50834,"US",1052610208
"Pimephales promelas",-100.6148,45.7348,"US",1065434134
"Pimephales promelas",-102.44101,42.42101,"US",1078813730
"Pimephales promelas",-102.29121,42.63095,"US",1078813586
"Pimephales promelas",-96.20961,39.55651,"US",1078810410
"Pimephales promelas",-101.54616,42.4872,"US",1078813649
"Pimephales promelas",-101.7165,42.50726,"US",1078813723
"Pimephales promelas",-101.80256,42.90203,"US",1078813757
"Pimephales promelas",-82.36829,29.63489,"US",1022641469
"Pimephales promelas",-82.7934,40.1897,"US",1064530428
"Pimephales promelas",-82.795,40.206,"US",1064530435
"Pimephales promelas",-101.68911,42.81276,"US",1078813545
"Pimephales promelas",-99.19286,42.90226,"US",1078813776
"Pimephales promelas",-99.71001,42.98323,"US",1078813582
"Pimephales promelas",-98.79553,42.61124,"US",1078813751
"Pimephales promelas",-98.43,42.82784,"US",1078813854
"Pimephales promelas",-98.18902,42.55039,"US",1078813471
"Pimephales promelas",-99.81555,42.59252,"US",1078813576
"Pimephales promelas",-100.11956,42.53944,"US",1078813431
"Pimephales promelas",-99.76809,42.67056,"US",1078813595
"Pimephales promelas",-99.0552,42.77382,"US",1078813806
"Pimephales promelas",-98.95911,42.96482,"US",1078813835
"Pimephales promelas",-98.06692,42.57041,"US",1078813836
"Pimephales promelas",-101.68542,37.94548,"US",1078812803
"Pimephales promelas",-99.86473,42.75377,"US",1078813752
"Pimephales promelas",-97.01165,41.43895,"US",1078813467
"Pimephales promelas",-84.96534,30.58188,"US",1064938793
"Pimephales promelas",-75.784,38.997,"US",888759629
"Pimephales promelas",-76.6928,38.8041,"US",889476555
"Pimephales promelas",-75.782,38.997,"US",888759596
"Pimephales promelas",-95.61569,37.20392,"US",1078808139
"Pimephales promelas",-100.42841,41.06037,"US",1078809583
"Pimephales promelas",-97.10872,40.37639,"US",1078807980
"Pimephales promelas",-98.21402,41.44552,"US",1078809727
"Pimephales promelas",-97.55111,41.35777,"US",1078811074
"Pimephales promelas",-98.61582,41.2928,"US",1078809465
"Pimephales promelas",-98.96667,41.5967,"US",1078809537
"Pimephales promelas",-97.68318,41.30787,"US",1078809448
"Pimephales promelas",-99.83174,40.6399,"US",1078809672
"Pimephales promelas",-97.68267,41.47447,"US",1078809717
"Pimephales promelas",-98.60709,40.83391,"US",1078809544
"Pimephales promelas",-98.68192,41.07533,"US",1078810034
"Pimephales promelas",-99.80626,40.83947,"US",1078809711
"Pimephales promelas",-99.82561,40.88618,"US",1078809538
"Pimephales promelas",-98.33568,41.92749,"US",1078809539
"Pimephales promelas",-97.8929,41.39411,"US",1078809553
"Pimephales promelas",-97.82468,41.5395,"US",1078811033
"Pimephales promelas",-106.7436,35.6699,"US",895528170
"Pimephales promelas",-98.82825,41.50898,"US",1078809536
"Pimephales promelas",-105.305,35.9694,"US",895528424
"Pimephales promelas",-97.5643,35.2417,"US",899129333
"Pimephales promelas",-101.22859,42.41785,"US",1078809701
"Pimephales promelas",-99.71696,41.63265,"US",1078809561
"Pimephales promelas",-100.83827,33.08654,"US",1054791791
"Pimephales promelas",-101.0965,41.85593,"US",1078809511
"Pimephales promelas",-101.52717,42.14872,"US",1078813647
"Pimephales promelas",-98.23435,41.61216,"US",1078813568
"Pimephales promelas",-96.74122,40.29198,"US",1078807861
"Pimephales promelas",-99.87551,42.18211,"US",1078813607
"Pimephales promelas",-98.51821,41.15776,"US",1078813646
"Pimephales promelas",-122.18943,47.78042,"US",1052757546
"Pimephales promelas",-99.96125,41.81882,"US",1078813498
"Pimephales promelas",-99.81456,41.92913,"US",1078813626
"Pimephales promelas",-98.69799,41.78426,"US",1078813712
"Pimephales promelas",-99.63617,41.6626,"US",1078809693
"Pimephales promelas",-101.51962,42.18526,"US",1078813670
"Pimephales promelas",-99.50129,41.34668,"US",1078809572
"Pimephales promelas",-79.19448,43.83548,"CA",911581155
"Pimephales promelas",-99.20508,41.18031,"US",1078809499
"Pimephales promelas",-100.3629,41.50941,"US",1078811068
"Pimephales promelas",-97.9948,37.6957,"US",1078808695
"Pimephales promelas",-79.11668,43.20896,"CA",911581132
"Pimephales promelas",-98.87323,41.03376,"US",1078813410
"Pimephales promelas",-97.3453,41.38172,"US",1078811150
"Pimephales promelas",-97.01194,41.43874,"US",1078813698
"Pimephales promelas",-81.22567,39.62868,"US",891019851
"Pimephales promelas",-99.31897,39.10047,"US",1078812788
"Pimephales promelas",-99.58948,39.13031,"US",1078812759
"Pimephales promelas",-99.57916,39.0444,"US",1078812753
"Pimephales promelas",-101.00649,38.87214,"US",1078813021
"Pimephales promelas",-100.99416,38.88739,"US",1078812763
"Pimephales promelas",-122.0744,42.1943,"US",812594758
"Pimephales promelas",-100.99103,38.83863,"US",1078812784
"Pimephales promelas",-98.13411,38.71402,"US",1078812894
"Pimephales promelas",-75.74186,39.62651,"US",1024551247
"Pimephales promelas",-98.41682,38.78047,"US",1078812958
"Pimephales promelas",-100.19954,39.14581,"US",1078812895
"Pimephales promelas",-98.26355,39.02553,"US",1078812908
"Pimephales promelas",-83.5874,40.2861,"US",868373149
"Pimephales promelas",-99.25147,38.81416,"US",1078812889
"Pimephales promelas",-98.7504,38.98688,"US",1078812936
"Pimephales promelas",-98.40776,38.78118,"US",1078812851
"Pimephales promelas",-98.90681,39.10009,"US",1078812829
"Pimephales promelas",-99.31998,38.85285,"US",1078812634
"Pimephales promelas",-98.209,39.03455,"US",1078812973
"Pimephales promelas",-76.693,38.804,"US",888957473
"Pimephales promelas",-98.56875,38.80668,"US",1078812912
"Pimephales promelas",-98.4647,38.99201,"US",1078812913
"Pimephales promelas",-83.588,40.2818,"US",868373198
"Pimephales promelas",-98.65728,38.72432,"US",1078812971
"Pimephales promelas",-98.06752,38.68171,"US",1078812866
"Pimephales promelas",-100.02454,39.15502,"US",1078812878
"Pimephales promelas",-96.16158,40.02544,"US",1024552308
"Pimephales promelas",-98.25763,37.64789,"US",1078813273
"Pimephales promelas",-98.03129,38.59639,"US",1078813153
"Pimephales promelas",-96.9811,40.42215,"US",1078808235
"Pimephales promelas",-96.22343,40.0009,"US",1024552097
"Pimephales promelas",-97.36855,40.80406,"US",1078807770
"Pimephales promelas",-115.51794,42.93491,"US",1024552029
"Pimephales promelas",-97.48304,40.53464,"US",1078807787
"Pimephales promelas",-97.28085,39.0512,"US",1078813015
"Pimephales promelas",-98.28619,37.64629,"US",1078813066
"Pimephales promelas",-98.22307,40.39784,"US",1078807859
"Pimephales promelas",-97.94908,40.72384,"US",1078808048
"Pimephales promelas",-98.28889,37.64381,"US",1078813113
"Pimephales promelas",-97.03611,38.71906,"US",1078813189
"Pimephales promelas",-107.25703,41.60445,"US",1024554267
"Pimephales promelas",-97.74944,38.526,"US",1078812994
"Pimephales promelas",-97.02473,40.73991,"US",1078807943
"Pimephales promelas",-97.2899,38.73915,"US",1078812982
"Pimephales promelas",-97.1455,40.91565,"US",1078807845
"Pimephales promelas",-97.23831,40.75783,"US",1078807757
"Pimephales promelas",-98.69268,38.95465,"US",1078813301
"Pimephales promelas",-96.62702,40.34927,"US",1078807766
"Pimephales promelas",-96.27488,40.01107,"US",1024553077
"Pimephales promelas",-100.78301,40.40085,"US",1078807801
"Pimephales promelas",-97.13562,40.08875,"US",1078807852
"Pimephales promelas",-96.86212,40.36298,"US",1078807795
"Pimephales promelas",-100.95535,38.82013,"US",1078813100
"Pimephales promelas",-99.45693,40.11439,"US",1078807726
"Pimephales promelas",-97.29388,40.20558,"US",1078807797
"Pimephales promelas",-97.5275,40.13241,"US",1078807710
"Pimephales promelas",-100.04945,40.45591,"US",1078807626
"Pimephales promelas",-101.68518,37.94548,"US",1078813370
"Pimephales promelas",-97.44444,40.0549,"US",1078807645
"Pimephales promelas",-101.11762,40.37311,"US",1078807738
"Pimephales promelas",-98.76112,40.08978,"US",1078807773
"Pimephales promelas",-97.53149,40.16127,"US",1078807842
"Pimephales promelas",-97.1605,40.07184,"US",1078808155
"Pimephales promelas",-97.57293,38.71407,"US",1078813327
"Pimephales promelas",-98.4447,40.11782,"US",1078807957
"Pimephales promelas",-98.49562,38.31266,"US",1078813423
"Pimephales promelas",-97.27435,40.06477,"US",1078807886
"Pimephales promelas",-97.40662,40.24047,"US",1078807948
"Pimephales promelas",-97.90594,40.22845,"US",1078808213
"Pimephales promelas",-97.0469,38.65392,"US",1078813231
"Pimephales promelas",-98.16667,40.35313,"US",1078807788
"Pimephales promelas",-97.33161,40.054,"US",1078807752
"Pimephales promelas",-98.33096,40.064,"US",1078808233
"Pimephales promelas",-82.06705,35.89518,"US",1052610224
"Pimephales promelas",-82.06728,35.89547,"US",814031720
"Pimephales promelas",-98.65138,40.07116,"US",1078807593
"Pimephales promelas",-82.0673,35.8955,"US",895527349
"Pimephales promelas",-97.12151,40.91632,"US",1078807684
"Pimephales promelas",-97.4773,35.1886,"US",899129312
"Pimephales promelas",-97.4053,35.4168,"US",899092530
"Pimephales promelas",-97.4135,35.4349,"US",899092555
"Pimephales promelas",-97.4111,35.4215,"US",899092527
"Pimephales promelas",-97.711,35.4351,"US",899092545
"Pimephales promelas",-97.3712,35.4423,"US",899092497
