"species","lon","lat","countryCode","gbifID"
"Pogonomyrmex californicus",-115.1229,33.01646,"US",1038340345
"Pogonomyrmex californicus",-111.44167,35.85886,"US",895365112
"Pogonomyrmex californicus",-116.53,32.8231,"US",919797535
"Pogonomyrmex californicus",-113.37352,35.76585,"US",872995641
"Pogonomyrmex californicus",-111.70918,35.92931,"US",895364835
"Pogonomyrmex californicus",-113.42487,35.66828,"US",872995615
"Pogonomyrmex californicus",-114.48833,34.785,"US",1085687936
"Pogonomyrmex californicus",-113.32769,35.83296,"US",872994813
"Pogonomyrmex californicus",-112.06358,36.39353,"US",895365157
"Pogonomyrmex californicus",-112.15309,36.10623,"US",872994789
"Pogonomyrmex californicus",-112.477,36.37365,"US",872994716
"Pogonomyrmex californicus",-111.86479,36.08678,"US",872993642
"Pogonomyrmex californicus",-111.84929,36.3868,"US",872996063
"Pogonomyrmex californicus",-111.8412,36.47037,"US",863612091
"Pogonomyrmex californicus",-113.3177,35.96746,"US",872994363
"Pogonomyrmex californicus",-112.23082,36.11683,"US",872994862
"Pogonomyrmex californicus",-113.08653,36.19571,"US",872994074
"Pogonomyrmex californicus",-111.87556,36.08181,"US",872995590
"Pogonomyrmex californicus",-116.6585,32.98917,"US",1044052611
"Pogonomyrmex californicus",-116.64367,32.99867,"US",1044052591
"Pogonomyrmex californicus",-109.26472,37.25972,"US",863610100
"Pogonomyrmex californicus",-111.60256,36.85494,"US",863612010
"Pogonomyrmex californicus",-111.40572,35.86667,"US",863610644
"Pogonomyrmex californicus",-111.19656,35.42946,"US",895365300
"Pogonomyrmex californicus",-111.64639,33.5475,"US",892927189
"Pogonomyrmex californicus",-111.57194,33.55361,"US",865172488
"Pogonomyrmex californicus",-111.6825,33.51389,"US",865172759
"Pogonomyrmex californicus",-111.57444,33.55583,"US",865172876
"Pogonomyrmex californicus",-116.635,33.28028,"US",892927110
"Pogonomyrmex californicus",-117.71806,33.55917,"US",892927143
"Pogonomyrmex californicus",-116.63528,33.28028,"US",892927182
"Pogonomyrmex californicus",-116.78944,33.38694,"US",865171899
"Pogonomyrmex californicus",-117.05222,35.01389,"US",865172668
"Pogonomyrmex californicus",-116.46778,32.72278,"US",892927120
"Pogonomyrmex californicus",-116.78917,33.38722,"US",892927315
"Pogonomyrmex californicus",-117.11944,34.88667,"US",865171945
"Pogonomyrmex californicus",-116.48361,32.72861,"US",865173008
"Pogonomyrmex californicus",-116.63889,33.27972,"US",892927168
"Pogonomyrmex californicus",-116.52306,32.85,"US",892927140
"Pogonomyrmex californicus",-116.48417,32.75833,"US",892927144
"Pogonomyrmex californicus",-117.71972,33.55139,"US",892927098
"Pogonomyrmex californicus",-116.6425,33.27972,"US",892927133
"Pogonomyrmex californicus",-117.01472,34.86167,"US",892927067
"Pogonomyrmex californicus",-116.52333,32.8525,"US",892927125
"Pogonomyrmex californicus",-116.4675,32.72333,"US",865172130
"Pogonomyrmex californicus",-116.46778,32.72333,"US",865172155
"Pogonomyrmex californicus",-116.52306,32.85278,"US",865172332
"Pogonomyrmex californicus",-112.15,36.1,"US",1050573197
"Pogonomyrmex californicus",-109.78183,32.22367,"US",1020054329
"Pogonomyrmex californicus",-119.6,37,"US",865076751
"Pogonomyrmex californicus",-116.56667,32.96667,"US",893242537
"Pogonomyrmex californicus",-116.86667,33.33333,"US",893242679
"Pogonomyrmex californicus",-120.43333,34.68333,"US",865343822
"Pogonomyrmex californicus",-106.4,31.7,"US",919802243
"Pogonomyrmex californicus",-114.839,29.859,"MX",919802219
"Pogonomyrmex californicus",-108.95966,26.13315,"MX",919793872
"Pogonomyrmex californicus",-114.621,33.216,"MX",919802231
"Pogonomyrmex californicus",-116.6,31.8,"MX",919802199
"Pogonomyrmex californicus",-113.2,29.1,"MX",919801955
"Pogonomyrmex californicus",-113.3,29.1,"MX",919801996
"Pogonomyrmex californicus",-113.35831,29.26412,"MX",919808114
"Pogonomyrmex californicus",-113.4,29.2,"MX",919801984
"Pogonomyrmex californicus",-114.68353,30.63106,"MX",919808287
"Pogonomyrmex californicus",-117.3,38,"US",919802283
"Pogonomyrmex californicus",-117.34,38.07,"US",919802267
"Pogonomyrmex californicus",-119.10205,39.0745,"US",919791715
"Pogonomyrmex californicus",-112.84882,31.85743,"MX",919793957
"Pogonomyrmex californicus",-116.07,35.29,"US",919813487
"Pogonomyrmex californicus",-113.65,37.13,"US",919813573
"Pogonomyrmex californicus",-116.41279,33.73974,"US",919789620
"Pogonomyrmex californicus",-101.6,34.9,"US",919802212
"Pogonomyrmex californicus",-115.99447,36.66051,"US",919794286
"Pogonomyrmex californicus",-116.61585,32.85283,"US",919791793
"Pogonomyrmex californicus",-106.33,32.79,"US",919813497
"Pogonomyrmex californicus",-117.9,33.7,"US",919813483
"Pogonomyrmex californicus",-116.03,34.12,"US",919813509
"Pogonomyrmex californicus",-113.54,32.78,"US",919802005
"Pogonomyrmex californicus",-118.107,34.097,"US",919801989
"Pogonomyrmex californicus",-110.75,31.53,"US",919802000
"Pogonomyrmex californicus",-114.838,32.816,"US",919813489
"Pogonomyrmex californicus",-116.3,34.13,"US",919813502
"Pogonomyrmex californicus",-116.54,33.82,"US",919826266
"Pogonomyrmex californicus",-115.5,33.1,"US",919813491
"Pogonomyrmex californicus",-116.97,33.75,"US",919813492
"Pogonomyrmex californicus",-120.88,38.11,"US",919801983
"Pogonomyrmex californicus",-116.87,36.45,"US",919802179
"Pogonomyrmex californicus",-117.5,32.2,"US",919813494
"Pogonomyrmex californicus",-116.97,33.74,"US",919802012
"Pogonomyrmex californicus",-112.1,36.09,"US",919802217
"Pogonomyrmex californicus",-111.41,35.87,"US",919802265
"Pogonomyrmex californicus",-112.1,36.1,"US",919813519
"Pogonomyrmex californicus",-112.095,36.105,"US",919802197
"Pogonomyrmex californicus",-103.3,29.27,"US",919813523
"Pogonomyrmex californicus",-118.14,34.14,"US",919801988
"Pogonomyrmex californicus",-106.3,32.7,"US",919813495
