"species","lon","lat","countryCode","gbifID"
"Prinerigone vagans",-0.71192,53.71426,"GB",688052727
"Prinerigone vagans",-1.32233,53.44958,"GB",688980216
"Prinerigone vagans",-1.47403,53.36045,"GB",688177991
"Prinerigone vagans",-1.47292,53.45034,"GB",688138187
"Prinerigone vagans",1.588,52.2282,"GB",791287862
"Prinerigone vagans",-1.32376,53.35969,"GB",688979663
"Prinerigone vagans",0.42271,52.34782,"GB",792370397
"Prinerigone vagans",0.57461,52.43454,"GB",792062580
"Prinerigone vagans",-2.94092,51.5385,"GB",800679376
"Prinerigone vagans",5.64136,51.88076,"NL",911815336
"Prinerigone vagans",-1.3209,53.53947,"GB",687722477
"Prinerigone vagans",5.35093,51.83609,"NL",911814002
"Prinerigone vagans",-4.0563,52.52113,"GB",800645349
"Prinerigone vagans",0.42764,52.43765,"GB",791287043
"Prinerigone vagans",-2.34029,52.78171,"GB",298057327
"Prinerigone vagans",0.29336,52.54375,"GB",298427018
"Prinerigone vagans",0.26296,52.52635,"GB",298427313
"Prinerigone vagans",0.0643,52.37711,"GB",298428834
"Prinerigone vagans",-1.9261,52.64237,"GB",788984874
"Prinerigone vagans",-0.2655,52.5663,"GB",297112355
"Prinerigone vagans",-0.47799,51.55803,"GB",298731322
"Prinerigone vagans",-1.12469,54.63035,"GB",298664878
"Prinerigone vagans",-0.8584,53.62135,"GB",297492960
"Prinerigone vagans",0.21638,51.49165,"GB",298513131
"Prinerigone vagans",-0.05283,51.54724,"GB",297323210
"Prinerigone vagans",0.31172,51.48216,"GB",297239643
"Prinerigone vagans",-0.04774,51.49769,"GB",298511836
"Prinerigone vagans",-1.27186,53.31893,"GB",297111163
"Prinerigone vagans",-3.03947,53.46496,"GB",795706326
"Prinerigone vagans",-1.79757,53.26704,"GB",297132705
"Prinerigone vagans",-1.16643,53.33622,"GB",298014299
"Prinerigone vagans",-1.1735,53.35875,"GB",688342885
"Prinerigone vagans",0.56419,52.2549,"GB",791543924
"Prinerigone vagans",-1.1968,53.31845,"GB",297996193
"Prinerigone vagans",-1.16998,52.72535,"GB",297646949
"Prinerigone vagans",-1.22871,52.67,"GB",297658010
"Prinerigone vagans",-1.29546,52.74954,"GB",297658138
"Prinerigone vagans",0.4115,51.46216,"GB",297214554
"Prinerigone vagans",-0.84035,53.09211,"GB",297896419
"Prinerigone vagans",-1.77829,52.64218,"GB",806858556
"Prinerigone vagans",4.106,51.064,"BE",891833953
"Prinerigone vagans",3.821,51.066,"BE",891834083
"Prinerigone vagans",3.68,51.202,"BE",891835495
"Prinerigone vagans",2.893,50.979,"BE",891847847
"Prinerigone vagans",4.033,50.975,"BE",891858410
"Prinerigone vagans",3.604,50.843,"BE",891876717
"Prinerigone vagans",3.819,50.976,"BE",891884455
"Prinerigone vagans",2.536,51.068,"BE",891887607
"Prinerigone vagans",3.958,50.795,"BE",891888812
"Prinerigone vagans",5.223,50.553,"BE",891896631
"Prinerigone vagans",4.616,51.373,"BE",891906776
"Prinerigone vagans",4.473,51.374,"BE",891908151
"Prinerigone vagans",3.606,51.022,"BE",891913890
"Prinerigone vagans",5.82,51.08,"BE",891956690
"Prinerigone vagans",4.941,50.558,"BE",891968903
"Prinerigone vagans",4.401,51.375,"BE",891972097
"Prinerigone vagans",5.682,51.173,"BE",892006191
"Prinerigone vagans",3.82,51.021,"BE",892018144
"Prinerigone vagans",4.397,51.241,"BE",892023499
"Prinerigone vagans",5.447,50.774,"BE",892031398
"Prinerigone vagans",4.402,51.42,"BE",892048921
"Prinerigone vagans",2.75,51.159,"BE",892068479
"Prinerigone vagans",3.675,50.842,"BE",892069090
"Prinerigone vagans",5.178,51.094,"BE",891838046
"Prinerigone vagans",5.596,50.905,"BE",891849715
"Prinerigone vagans",4.398,51.285,"BE",891855623
"Prinerigone vagans",5.672,50.993,"BE",891911970
"Prinerigone vagans",3.323,51.338,"BE",891943276
"Prinerigone vagans",5.743,50.992,"BE",891956697
"Prinerigone vagans",4.952,50.828,"BE",891960681
"Prinerigone vagans",4.956,50.918,"BE",891961254
"Prinerigone vagans",5.456,50.953,"BE",892009040
"Prinerigone vagans",5.378,50.82,"BE",892030909
"Prinerigone vagans",5.598,50.95,"BE",892065983
"Prinerigone vagans",5.031,51.006,"BE",891833250
"Prinerigone vagans",4.177,51.063,"BE",891833883
"Prinerigone vagans",2.607,51.113,"BE",891878967
"Prinerigone vagans",3.25,51.159,"BE",891884354
"Prinerigone vagans",3.323,51.383,"BE",891943262
"Prinerigone vagans",4.036,51.109,"BE",892013562
"Prinerigone vagans",2.68,50.889,"BE",892014234
"Prinerigone vagans",5.798,50.721,"BE",891793244
"Prinerigone vagans",4.255,51.287,"BE",891833506
"Prinerigone vagans",3.609,51.247,"BE",891835821
"Prinerigone vagans",5.597,49.646,"BE",891843600
"Prinerigone vagans",3.957,50.75,"BE",891848784
"Prinerigone vagans",4.738,50.786,"BE",891856004
"Prinerigone vagans",5.74,50.947,"BE",891956647
"Prinerigone vagans",4.96,51.008,"BE",891963664
"Prinerigone vagans",5.667,50.904,"BE",891839601
"Prinerigone vagans",4.83,51.324,"BE",891843238
"Prinerigone vagans",3.961,50.93,"BE",891846198
"Prinerigone vagans",3.888,50.841,"BE",891848861
"Prinerigone vagans",4.107,51.109,"BE",892004391
"Prinerigone vagans",3.318,50.664,"BE",892013669
"Prinerigone vagans",3.678,51.067,"BE",892069516
"Prinerigone vagans",3.465,51.158,"BE",891858426
"Prinerigone vagans",4.39,51.016,"BE",891845659
"Prinerigone vagans",3.251,51.249,"BE",891846056
"Prinerigone vagans",4.54,51.239,"BE",891885458
"Prinerigone vagans",4.034,51.019,"BE",892004287
"Prinerigone vagans",3.533,50.843,"BE",892014083
"Prinerigone vagans",2.964,50.889,"BE",892014504
