"species","lon","lat","countryCode","gbifID"
"Proceratium silaceum",-87.38683,31.68667,"US",1044052422
"Proceratium silaceum",-80.09439,35.36627,"US",872994446
"Proceratium silaceum",-78.78619,35.81865,"US",865190068
"Proceratium silaceum",-76.76667,34.76667,"US",893207322
"Proceratium silaceum",-83.144,35.021,"US",1051887613
"Proceratium silaceum",-73.44996,41.37184,"US",895367211
"Proceratium silaceum",-88.18333,40.1,"US",1037292280
"Proceratium silaceum",-82.01667,29.96667,"US",892871931
"Proceratium silaceum",-82.98333,29.6,"US",892871654
"Proceratium silaceum",-84.3,30.43333,"US",892871915
"Proceratium silaceum",-94.75735,31.49864,"US",919809408
"Proceratium silaceum",-85.21248,30.80829,"US",919791880
"Proceratium silaceum",-85.48202,34.83081,"US",919785626
"Proceratium silaceum",-86.9023,32.31823,"US",919789155
"Proceratium silaceum",-86.24173,34.88375,"US",919789176
"Proceratium silaceum",-86.20509,44.36361,"US",919789139
"Proceratium silaceum",-83.10554,34.86866,"US",919790932
"Proceratium silaceum",-86.10054,37.18699,"US",919795911
"Proceratium silaceum",-76.16907,36.71634,"US",919793177
"Proceratium silaceum",-86.08334,35.46667,"US",1037292278
"Proceratium silaceum",-86.0833,35.4667,"US",892795387
"Proceratium silaceum",-90.09755,38.59668,"US",436431599
"Proceratium silaceum",-83.51016,35.71426,"US",919791137
"Proceratium silaceum",-82.65,41.7667,"CA",872904077
"Proceratium silaceum",-86.58317,41.37849,"US",919795729
"Proceratium silaceum",-88.20727,40.11059,"US",919795359
"Proceratium silaceum",-87.78013,40.08299,"US",436431601
"Proceratium silaceum",-88.43611,37.58028,"US",436431597
"Proceratium silaceum",-82.65915,41.77449,"CA",919793309
"Proceratium silaceum",-82.22586,29.64092,"US",919800871
"Proceratium silaceum",-78.1364,35.1161,"US",872904137
"Proceratium silaceum",-88.1833,40.1,"US",1085648275
