"species","lon","lat","countryCode","gbifID"
"Prochilodus lineatus",-57.61255,-30.26098,"UY",1024557248
"Prochilodus lineatus",-57.85896,-31.0635,"UY",1024557131
"Prochilodus lineatus",-56.4417,-21.4342,"BR",857002167
"Prochilodus lineatus",-57.61505,-30.27567,"UY",1024551585
"Prochilodus lineatus",-60.9,-34.17,"AR",1006700209
"Prochilodus lineatus",-56.4396,-21.1626,"BR",857002308
"Prochilodus lineatus",-57.86499,-28.60864,"AR",891096985
"Prochilodus lineatus",-46.49,-21.29,"BR",1003912128
"Prochilodus lineatus",-53.09,-22.65,"BR",1003912153
"Prochilodus lineatus",-53.35,-22.79,"BR",1003912103
"Prochilodus lineatus",-41.33,-22,"BR",1008183695
"Prochilodus lineatus",-55.6394,-20.0819,"BR",666698779
"Prochilodus lineatus",-56.9236,-19.6122,"BR",666704239
"Prochilodus lineatus",-57.9833,-20.6667,"PY",666712070
"Prochilodus lineatus",-57.9167,-20.9,"PY",666709332
"Prochilodus lineatus",-57.9167,-21.45,"PY",666711339
"Prochilodus lineatus",-57.267,-22.233,"PY",197185117
"Prochilodus lineatus",-57.933,-20.8,"PY",197185185
"Prochilodus lineatus",-58.7,-24.6,"PY",189268192
"Prochilodus lineatus",-63.5,-21.25,"BO",208009803
"Prochilodus lineatus",-63.2,-20.02,"BO",884616795
"Prochilodus lineatus",-63.47,-21.28,"BO",884616998
"Prochilodus lineatus",-64.5333,-22.45,"BO",884617015
"Prochilodus lineatus",-47.33,-21.42,"BR",884617080
"Prochilodus lineatus",-57.33,-25.33,"PY",888685536
"Prochilodus lineatus",-54.25,-24.08333,"BR",891273803
"Prochilodus lineatus",-58.52006,-34.64966,"AR",607714306
"Prochilodus lineatus",-58.45,-34.6,"AR",208009799
"Prochilodus lineatus",-58.16756,-20.22914,"PY",473332661
"Prochilodus lineatus",-58.5,-34.66667,"AR",477279834
"Prochilodus lineatus",-47.42738,-21.98313,"BR",473333213
"Prochilodus lineatus",-47.65814,-22.72355,"BR",473367632
"Prochilodus lineatus",-64.25312,-27.77332,"AR",607789542
"Prochilodus lineatus",-57.67113,-25.30565,"PY",473368187
"Prochilodus lineatus",-47.33333,-21.41667,"BR",864636656
"Prochilodus lineatus",-54.58333,-25.38333,"BR",864636693
"Prochilodus lineatus",-56.08333,-15.86667,"BR",864636667
"Prochilodus lineatus",-47.38333,-21.91667,"BR",864636714
"Prochilodus lineatus",-54.26667,-24.06667,"BR",864636688
"Prochilodus lineatus",-46.9,-21.58333,"BR",864636731
"Prochilodus lineatus",-63.2,-20.01667,"BO",864636637
"Prochilodus lineatus",-46.63333,-23.55,"BR",864636715
"Prochilodus lineatus",-58.8392,-24.7425,"PY",864636680
"Prochilodus lineatus",-46.68333,-22.66667,"BR",864636712
"Prochilodus lineatus",-57.0322,-23.0522,"PY",103017
"Prochilodus lineatus",-58.1614,-20.2167,"PY",102954
"Prochilodus lineatus",-58.8361,-24.7425,"PY",103106
"Prochilodus lineatus",-44.95479,-17.33615,"BR",472916885
"Prochilodus lineatus",-51.11666,-20.25,"BR",864636673
"Prochilodus lineatus",-56.6,-29.13333,"AR",864636770
"Prochilodus lineatus",-57.7,-25.26333,"PY",864636618
"Prochilodus lineatus",-44.6,-21.31667,"BR",864636742
"Prochilodus lineatus",-47.85,-22.68333,"BR",864636800
"Prochilodus lineatus",-56.4,-15.18333,"BR",864636745
"Prochilodus lineatus",-51.56667,-29.08333,"BR",864636710
"Prochilodus lineatus",-47.65,-23.95,"BR",864636738
"Prochilodus lineatus",-58.252,-26.7986,"PY",103234
"Prochilodus lineatus",-57.3369,-34.3186,"UY",103286
"Prochilodus lineatus",-55.66667,-27.11833,"PY",864636698
"Prochilodus lineatus",-45.73333,-23.36667,"BR",864636706
"Prochilodus lineatus",-51.51667,-20.58333,"BR",864636686
"Prochilodus lineatus",-57.03333,-19.25333,"BR",864636746
"Prochilodus lineatus",-58.28528,-26.79861,"AR",864636716
"Prochilodus lineatus",-55.95,-16.18333,"BR",864636723
"Prochilodus lineatus",-50.16667,-20.88333,"BR",864636724
"Prochilodus lineatus",-58.3739,-27.0294,"PY",864636663
"Prochilodus lineatus",-58.833,-24.7484,"PY",103111
"Prochilodus lineatus",-58.4278,-27.0525,"PY",103229
"Prochilodus lineatus",-58.4931,-27.0642,"PY",103232
"Prochilodus lineatus",-58.45,-15.85,"BR",864636676
"Prochilodus lineatus",-51.16667,-29.75,"BR",864636757
"Prochilodus lineatus",-51.76667,-21.06667,"BR",864636739
"Prochilodus lineatus",-57.8458,-31.0674,"UY",120019376
"Prochilodus lineatus",-47.41667,-22,"BR",864636720
"Prochilodus lineatus",-57.55,-25.20833,"PY",864636711
"Prochilodus lineatus",-57.41667,-19.41667,"BR",864636662
"Prochilodus lineatus",-51.68333,-20.78333,"BR",864636687
"Prochilodus lineatus",-58.15,-20.16667,"BR",864636619
"Prochilodus lineatus",-54.88333,-26.63667,"PY",864636661
"Prochilodus lineatus",-58.50833,-34.675,"AR",863095486
"Prochilodus lineatus",-54.33333,-24.21667,"PY",864636705
"Prochilodus lineatus",-57.6,-25.08167,"PY",864636732
"Prochilodus lineatus",-57.01667,-27.05,"PY",864636659
"Prochilodus lineatus",-50.75,-20.88333,"BR",864636722
"Prochilodus lineatus",-51.43127,-31.23865,"BR",863120879
"Prochilodus lineatus",-58.2519,-26.7986,"PY",864636718
"Prochilodus lineatus",-63.46667,-21.28333,"BO",864636695
"Prochilodus lineatus",-41.75,-21.8,"BR",864636699
"Prochilodus lineatus",-54.26667,-24.03667,"BR",864636692
"Prochilodus lineatus",-58.49306,-27.06417,"PY",864636592
"Prochilodus lineatus",-57.25,-23.49167,"PY",864636669
"Prochilodus lineatus",-58.83611,-24.7425,"PY",864636641
"Prochilodus lineatus",-49.52658,-22.16526,"BR",473333116
"Prochilodus lineatus",-47.4,-20.53333,"BR",864636821
"Prochilodus lineatus",-56.075,-15.64167,"BR",864636753
"Prochilodus lineatus",-51.75,-21.11944,"BR",864636701
"Prochilodus lineatus",-54.31667,-24.16667,"BR",864636685
"Prochilodus lineatus",-58.3825,-27.0293,"PY",103236
"Prochilodus lineatus",-47.67835,-22.67155,"BR",473368190
"Prochilodus lineatus",-57.26667,-25.32667,"PY",864636660
"Prochilodus lineatus",-58.36667,-27.02944,"PY",864636630
"Prochilodus lineatus",-51.26667,-30.2,"BR",864636702
"Prochilodus lineatus",-50.08333,-21.4,"BR",864636691
"Prochilodus lineatus",-58.01667,-16.13333,"BR",864636682
"Prochilodus lineatus",-58.42778,-27.0525,"PY",864636632
"Prochilodus lineatus",-56.45,-19.58333,"BR",864636672
"Prochilodus lineatus",-60.63932,-32.94682,"AR",863095484
"Prochilodus lineatus",-55.7,-30.95,"UY",864636708
"Prochilodus lineatus",-57.33694,-34.32139,"UY",864636628
"Prochilodus lineatus",-58.83917,-24.7425,"PY",864636606
"Prochilodus lineatus",-47.58333,-18.21667,"BR",864636665
"Prochilodus lineatus",-57.68333,-16.06667,"BR",864636761
"Prochilodus lineatus",-48.41667,-23.3,"BR",864636713
"Prochilodus lineatus",-57.9392,-31.3959,"UY",104090
