"species","lon","lat","countryCode","gbifID"
"Pseudechinus huttoni",167.13361,-45.41833,"NZ",1066720168
"Pseudechinus huttoni",166.8917,-45.965,"NZ",80154124
"Pseudechinus huttoni",166.8033,-45.9967,"NZ",80154128
"Pseudechinus huttoni",166.7817,-46.0417,"NZ",80154134
"Pseudechinus huttoni",166.77,-46.05,"NZ",80154344
"Pseudechinus huttoni",166.6267,-46.08,"NZ",80154347
"Pseudechinus huttoni",166.7883,-46.0533,"NZ",80154342
"Pseudechinus huttoni",166.8883,-45.6467,"NZ",80154353
"Pseudechinus huttoni",170.8167,-41.1,"NZ",80154064
"Pseudechinus huttoni",168.5333,-48,"NZ",80154042
"Pseudechinus huttoni",167.15,-48.5333,"NZ",80154036
"Pseudechinus huttoni",167.5,-48.5167,"NZ",80154041
"Pseudechinus huttoni",167.9833,-47.9833,"NZ",80154040
"Pseudechinus huttoni",170.975,-45.6,"NZ",888036979
"Pseudechinus huttoni",172.3333,-34,"NZ",80153996
"Pseudechinus huttoni",167.45,-48.7,"NZ",80153944
"Pseudechinus huttoni",167.775,-48.3417,"NZ",80153943
"Pseudechinus huttoni",176.1667,-44.3,"NZ",80153910
"Pseudechinus huttoni",172.855,-34.6667,"NZ",80153906
"Pseudechinus huttoni",170.0667,-46.68,"NZ",80153867
"Pseudechinus huttoni",168.1,-48,"NZ",80153859
"Pseudechinus huttoni",166.5,-48.7333,"NZ",80153863
"Pseudechinus huttoni",170.9867,-45.9967,"NZ",80153855
"Pseudechinus huttoni",167.6583,-47.1967,"NZ",80153869
"Pseudechinus huttoni",170.125,-46.6667,"NZ",80153857
"Pseudechinus huttoni",170.72,-46,"NZ",80153856
"Pseudechinus huttoni",167.5333,-48.7167,"NZ",80153866
"Pseudechinus huttoni",167.0833,-48.7667,"NZ",80153865
"Pseudechinus huttoni",166.7833,-45.3333,"NZ",80153871
"Pseudechinus huttoni",168.5667,-48,"NZ",80153858
"Pseudechinus huttoni",176.2667,-44.3,"NZ",80153888
"Pseudechinus huttoni",176.45,-42.3167,"NZ",80153892
"Pseudechinus huttoni",173.6367,-42.7217,"NZ",80153901
"Pseudechinus huttoni",171.1,-45.133,"NZ",1100742635
"Pseudechinus huttoni",171.5,-45.116,"NZ",774875510
"Pseudechinus huttoni",172.5,-34,"NZ",80153835
"Pseudechinus huttoni",174.4867,-41.2383,"NZ",80153679
"Pseudechinus huttoni",174.4367,-41.2617,"NZ",80153876
"Pseudechinus huttoni",170.966,-45.116,"NZ",774875513
