"species","lon","lat","countryCode","gbifID"
"Pseudechis porphyriacus",150.85632,-34.2123600327434,"AU",1071929187
"Pseudechis porphyriacus",150.7949,-34.4222100330323,"AU",1071929321
"Pseudechis porphyriacus",150.64566,-34.4241500330349,"AU",1071929345
"Pseudechis porphyriacus",150.82768,-34.3925800329917,"AU",1071929862
"Pseudechis porphyriacus",150.71777,-34.4561000330786,"AU",1071481963
"Pseudechis porphyriacus",151.41502,-33.159310031241,"AU",1071407411
"Pseudechis porphyriacus",152.1047,-32.4088600301217,"AU",1071358264
"Pseudechis porphyriacus",151.85766,-32.8072700307206,"AU",1071324099
"Pseudechis porphyriacus",149.58708,-32.59927,"AU",1100453248
"Pseudechis porphyriacus",152.51991,-30.1305300265328,"AU",1070551461
"Pseudechis porphyriacus",150.47095,-33.51039,"AU",1065592223
"Pseudechis porphyriacus",150.45213,-35.3463000342581,"AU",1071432491
"Pseudechis porphyriacus",150.70043,-33.7206100320524,"AU",1071378194
"Pseudechis porphyriacus",150.06448,-35.6509400346448,"AU",1070552261
"Pseudechis porphyriacus",149.82326,-37.12366003638,"AU",1070551879
"Pseudechis porphyriacus",151.50691,-33.1553400312352,"AU",1071382131
"Pseudechis porphyriacus",150.84537,-33.9743900324115,"AU",1071865924
"Pseudechis porphyriacus",149.38075,-29.2748100251324,"AU",1071367846
"Pseudechis porphyriacus",152.89361,-31.4553700286503,"AU",1071407517
"Pseudechis porphyriacus",150.92393,-33.5962900318747,"AU",1071372535
"Pseudechis porphyriacus",151.48237,-32.7629900306545,"AU",1071358049
"Pseudechis porphyriacus",152.08168,-32.7732100306698,"AU",1071430600
"Pseudechis porphyriacus",150.85323,-34.6185900332992,"AU",1071928496
"Pseudechis porphyriacus",150.27385,-34.1934500327172,"AU",1069687793
"Pseudechis porphyriacus",151.33211,-32.8506600307852,"AU",1071430533
"Pseudechis porphyriacus",150.01548,-33.0024000310101,"AU",1069687285
"Pseudechis porphyriacus",150.88681,-32.9565000309422,"AU",1071431618
"Pseudechis porphyriacus",150.86937,-34.6028400332779,"AU",1071928245
"Pseudechis porphyriacus",152.44829,-32.3420800300204,"AU",1071461022
"Pseudechis porphyriacus",150.01981,-33.0011500310083,"AU",1069687160
"Pseudechis porphyriacus",152.79308,-29.7842800259687,"AU",1071423703
"Pseudechis porphyriacus",149.49509,-36.09794,"AU",1092894714
"Pseudechis porphyriacus",150.54782,-34.4541300330759,"AU",1071929537
"Pseudechis porphyriacus",149.81643,-32.89154,"AU",1100453261
"Pseudechis porphyriacus",152.67409,-28.6705300241331,"AU",1070541303
"Pseudechis porphyriacus",150.50202,-34.0778100325563,"AU",1071320832
"Pseudechis porphyriacus",153.1209,-28.4964000238441,"AU",1070898136
"Pseudechis porphyriacus",149.2537,-33.7924500321546,"AU",1069647630
"Pseudechis porphyriacus",150.93746,-32.9957000310002,"AU",1070368648
"Pseudechis porphyriacus",148.91056,-35.46306,"AU",891127953
"Pseudechis porphyriacus",150.03811,-31.7047500290399,"AU",1069633156
"Pseudechis porphyriacus",152.41477,-30.0612600264203,"AU",1070541048
"Pseudechis porphyriacus",150.9552,-33.9653400323987,"AU",1070906441
