"species","lon","lat","countryCode","gbifID"
"Pseudonaja nuchalis",113.61055,-26.06916,"AU",1100450848
"Pseudonaja nuchalis",114.18054,-26.4436,"AU",1100450901
"Pseudonaja nuchalis",114.66922,-28.62419,"AU",890184072
"Pseudonaja nuchalis",114.694,-28.70608,"AU",890184117
"Pseudonaja nuchalis",136.48263,-31.23724,"AU",1100449570
"Pseudonaja nuchalis",136.51893,-31.25416,"AU",1100449617
"Pseudonaja nuchalis",115.00836,-29.36152,"AU",774860277
"Pseudonaja nuchalis",117.85058,-27.99902,"AU",774860219
"Pseudonaja nuchalis",143.67966,-31.70138,"AU",774860287
"Pseudonaja nuchalis",143.76225,-31.69421,"AU",1100449747
"Pseudonaja nuchalis",140.0575,-32.04499,"AU",774844208
"Pseudonaja nuchalis",133.054,-12.319,"AU",1085957029
"Pseudonaja nuchalis",135.58333,-29.71944,"AU",478646240
"Pseudonaja nuchalis",138.33193,-30.31555,"AU",691156156
"Pseudonaja nuchalis",138.3625,-31.80583,"AU",691159125
"Pseudonaja nuchalis",135.45753,-26.4523,"AU",728015006
"Pseudonaja nuchalis",135.9469,-26.33563,"AU",728015007
"Pseudonaja nuchalis",138.10083,-30.28694,"AU",691156574
"Pseudonaja nuchalis",137.99194,-30.35944,"AU",691156621
"Pseudonaja nuchalis",137.74888,-30.09416,"AU",691156696
"Pseudonaja nuchalis",135.183,-29.30416,"AU",691156842
"Pseudonaja nuchalis",132.262,-25.17473,"AU",736212816
"Pseudonaja nuchalis",132.432,-25.1363,"AU",736212817
"Pseudonaja nuchalis",132.137,-25.17,"AU",736212815
"Pseudonaja nuchalis",135.18138,-29.30277,"AU",691156837
"Pseudonaja nuchalis",140.5,-32.2,"AU",691157975
"Pseudonaja nuchalis",134.29777,-32.71138,"AU",691151034
"Pseudonaja nuchalis",131.21482,-22.7319,"AU",691256566
"Pseudonaja nuchalis",135.54777,-29.68444,"AU",691151184
"Pseudonaja nuchalis",132.2405,-11.25367,"AU",1085956518
"Pseudonaja nuchalis",137.48776,-16.80138,"AU",691251654
"Pseudonaja nuchalis",132.24043,-11.2537000019775,"AU",736216418
"Pseudonaja nuchalis",132.24043,-11.2537,"AU",736206615
"Pseudonaja nuchalis",137.77834,-29.64372,"AU",501895279
"Pseudonaja nuchalis",143.67657,-31.4759,"AU",482703633
"Pseudonaja nuchalis",134.87828,-22.941350014768,"AU",736207875
"Pseudonaja nuchalis",131.16291,-25.09094,"AU",736205345
"Pseudonaja nuchalis",146.32174,-31.53149,"AU",482703658
"Pseudonaja nuchalis",131.13833,-26.13999,"AU",691152236
"Pseudonaja nuchalis",139.63362,-30.15821,"AU",501563338
"Pseudonaja nuchalis",138.29166,-30.10833,"AU",691152616
"Pseudonaja nuchalis",132.27212,-24.88341,"AU",736212814
"Pseudonaja nuchalis",131.66388,-30.04138,"AU",691153159
"Pseudonaja nuchalis",130.73999,-29.40222,"AU",691153313
"Pseudonaja nuchalis",139.59198,-30.21033,"AU",501563284
"Pseudonaja nuchalis",137.50056,-33.09498,"AU",501563896
"Pseudonaja nuchalis",136.85251,-33.25529,"AU",501563895
"Pseudonaja nuchalis",139.50455,-30.20025,"AU",501563321
"Pseudonaja nuchalis",134.52721,-28.79083,"AU",691152187
"Pseudonaja nuchalis",135.54906,-32.98757,"AU",501562436
"Pseudonaja nuchalis",133.59879,-23.77252,"AU",691201971
"Pseudonaja nuchalis",134.19936,-20.99169,"AU",691201640
"Pseudonaja nuchalis",134.20445,-20.97384,"AU",691201636
"Pseudonaja nuchalis",134.23524,-20.33865,"AU",691201576
"Pseudonaja nuchalis",134.23,-20.29653,"AU",691201561
"Pseudonaja nuchalis",131.7476,-24.38564,"AU",691201857
"Pseudonaja nuchalis",133.23126,-23.81033,"AU",691201966
"Pseudonaja nuchalis",135.26454,-24.55996,"AU",691202002
"Pseudonaja nuchalis",132.8947,-13.3431,"AU",484474256
"Pseudonaja nuchalis",133.41736,-23.81378,"AU",691202010
"Pseudonaja nuchalis",133.64268,-23.7638,"AU",691202015
"Pseudonaja nuchalis",133.883,-23.7,"AU",1085956231
"Pseudonaja nuchalis",134.42954,-14.11139,"AU",691258105
"Pseudonaja nuchalis",142.74083,-12.8825,"AU",1066591341
"Pseudonaja nuchalis",135.735,-16.811,"AU",1085955462
"Pseudonaja nuchalis",130.967,-12.433,"AU",1085955449
"Pseudonaja nuchalis",131.017,-12.717,"AU",1085956499
"Pseudonaja nuchalis",131.133,-12.583,"AU",1085956435
"Pseudonaja nuchalis",131.659,-14.7116,"AU",484555666
"Pseudonaja nuchalis",132.48,-12.6665,"AU",484478068
"Pseudonaja nuchalis",130.98333,-12.48333,"AU",1085956486
"Pseudonaja nuchalis",134.5335,-25.3137700185596,"AU",480592115
"Pseudonaja nuchalis",136.4535,-13.94028,"AU",736204429
"Pseudonaja nuchalis",134.46585,-14.1466700039937,"AU",480592132
"Pseudonaja nuchalis",131.33817,-13.473,"AU",1085955810
"Pseudonaja nuchalis",133.52136,-23.78407,"AU",480592191
"Pseudonaja nuchalis",131.037,-12.554,"AU",1085955999
"Pseudonaja nuchalis",132.20138,-30.88777,"AU",691147601
"Pseudonaja nuchalis",139.48333,-20.71667,"AU",1066590053
