"species","lon","lat","countryCode","gbifID"
"Ptenopus garrulus",15.97989,-24.17739,NA,1065317233
"Ptenopus garrulus",14.42806,-20.53806,NA,814231914
"Ptenopus garrulus",14.07472,-20.77944,NA,476491881
"Ptenopus garrulus",16.21556,-26.63778,NA,476650981
"Ptenopus garrulus",16.0825,-26.61111,NA,476621892
"Ptenopus garrulus",20.63782,-26.05678,"BW",923158914
"Ptenopus garrulus",13.26306,-18.88028,NA,287136580
"Ptenopus garrulus",22.90722,-25.8575,"ZA",287136577
"Ptenopus garrulus",13.2375,-18.84722,NA,287136578
"Ptenopus garrulus",28.85333,-25.88139,"ZA",287136576
"Ptenopus garrulus",17.24,-20.69,NA,1051065453
"Ptenopus garrulus",17.15,-20.65,NA,1051066570
"Ptenopus garrulus",16.07,-26.59,NA,1051069360
"Ptenopus garrulus",15.1071331062038,-21.7593321862243,NA,1051066511
"Ptenopus garrulus",17.09194,-28.21111,"ZA",543552298
"Ptenopus garrulus",17.04417,-28.18583,"ZA",543552375
"Ptenopus garrulus",17.23667,-28.36444,"ZA",543552379
"Ptenopus garrulus",21.36667,-26.28333,"BW",287136545
"Ptenopus garrulus",22.88333,-25.31667,"BW",287136532
"Ptenopus garrulus",21.53333,-25.76667,"BW",287136546
"Ptenopus garrulus",21.96667,-25.38333,"BW",287136547
"Ptenopus garrulus",15.16667,-26.58333,NA,287136527
"Ptenopus garrulus",30.91667,-22.43333,"ZA",287136526
"Ptenopus garrulus",22.05,-26.86667,"ZA",287136520
"Ptenopus garrulus",20.6,-24.68333,"BW",287136515
"Ptenopus garrulus",12.93333,-18.78333,NA,287136517
"Ptenopus garrulus",14.01667,-20.76667,NA,287136519
"Ptenopus garrulus",15.81667,-24.56667,NA,287136522
"Ptenopus garrulus",20.75,-25.91667,"ZA",287136516
"Ptenopus garrulus",14.21667,-21.36667,NA,287136512
"Ptenopus garrulus",17.18333,-21.15,NA,287136509
"Ptenopus garrulus",18.25683,-26.66183,NA,543516424
"Ptenopus garrulus",18.27933,-26.67217,NA,543516419
"Ptenopus garrulus",17.09867,-23.3655,NA,543516426
"Ptenopus garrulus",18.24783,-26.65783,NA,543516414
"Ptenopus garrulus",18.25033,-26.659,NA,543516423
"Ptenopus garrulus",17.10717,-23.39683,NA,543516425
"Ptenopus garrulus",18.30183,-26.682,NA,543516420
"Ptenopus garrulus",18.0295,-26.68783,NA,543516410
"Ptenopus garrulus",18.2265,-26.64617,NA,543516412
"Ptenopus garrulus",18.26483,-26.6655,NA,543516422
"Ptenopus garrulus",18.28017,-26.6725,NA,543516421
"Ptenopus garrulus",18.24333,-26.656,NA,543516413
"Ptenopus garrulus",18.254,-26.66067,NA,543516415
"Ptenopus garrulus",20.76667,-26.48333,"BW",287136518
"Ptenopus garrulus",21,-19.78333,"BW",287136510
"Ptenopus garrulus",22.28333,-25.38333,"BW",287136497
"Ptenopus garrulus",13.25,-19.3,NA,287136460
"Ptenopus garrulus",13.2,-19.33333,NA,287136499
"Ptenopus garrulus",20.98333,-19.91667,"BW",287136501
"Ptenopus garrulus",14.56667,-20.75,NA,287136477
"Ptenopus garrulus",22.88333,-30.58333,"ZA",287136481
"Ptenopus garrulus",17.18333,-29.6,"ZA",287136484
"Ptenopus garrulus",16.86667,-29.28333,"ZA",287136488
"Ptenopus garrulus",14.2,-20.93333,NA,287136491
"Ptenopus garrulus",18.1,-28.95,"ZA",287136490
"Ptenopus garrulus",17.08333,-29.63333,"ZA",287136482
"Ptenopus garrulus",13.31667,-19.26667,NA,287136502
"Ptenopus garrulus",15.18333,-22.95,NA,287136469
"Ptenopus garrulus",17.96667,-29.18333,"ZA",287136476
