"species","lon","lat","countryCode","gbifID"
"Semele solida",-70.516,-23.466,"CL",21542562
"Semele solida",-70.14899,-20.22926,"CL",856695903
"Semele solida",-77.17419,-11.73175,"PE",856695905
"Semele solida",-73.2611,-41.7944,"CL",203569096
"Semele solida",-73.1778,-41.8208,"CL",203569093
"Semele solida",-76,-10,"PE",215893110
"Semele solida",-73.0036,-41.5125,"CL",203569095
"Semele solida",-70.4,-23.65,"CL",215892755
"Semele solida",-71.1692,-17.5806,"PE",146924086
"Semele solida",-73.03978,-36.6949,"CL",477076600
"Semele solida",-76.25598,-13.83556,"PE",856779997
"Semele solida",-76.3,-13.75,"PE",215893127
"Semele solida",-72.8992,-41.835,"CL",203569094
