"species","lon","lat","countryCode","gbifID"
"Sphenomorphus indicus",103.2312,20.2256,"LA",895453977
"Sphenomorphus indicus",103.2334,20,"LA",895453998
"Sphenomorphus indicus",95.43678,26.32339,"MM",543602566
"Sphenomorphus indicus",95.51958,26.15614,"MM",543605746
"Sphenomorphus indicus",95.52147,26.15494,"MM",543602678
"Sphenomorphus indicus",120.4856,23.42703,"TW",657520198
"Sphenomorphus indicus",120.4858,23.42675,"TW",657520197
"Sphenomorphus indicus",120.48803,23.42703,"TW",657520261
"Sphenomorphus indicus",120.48552,23.42673,"TW",657520196
"Sphenomorphus indicus",98.20464,25.79919,"MM",543602831
"Sphenomorphus indicus",98.32939,25.71336,"MM",543602785
"Sphenomorphus indicus",93.56581,23.74608,"MM",543600279
"Sphenomorphus indicus",107.88167,25.48167,"CN",686995291
"Sphenomorphus indicus",104.61944,10.14778,"VN",911577327
"Sphenomorphus indicus",98.33609,27.87745,"CN",543599676
"Sphenomorphus indicus",98.87508,27.03622,"CN",543599680
"Sphenomorphus indicus",98.33987,27.88176,"CN",543599657
"Sphenomorphus indicus",94.74139,18.67042,"MM",543596400
"Sphenomorphus indicus",94.04503,21.19261,"MM",543591567
"Sphenomorphus indicus",93.93361,21.56719,"MM",543591275
"Sphenomorphus indicus",93.93628,21.59533,"MM",543591254
"Sphenomorphus indicus",93.81339,21.67375,"MM",543591212
"Sphenomorphus indicus",93.92886,21.59047,"MM",543591242
"Sphenomorphus indicus",93.89489,21.61806,"MM",543591178
"Sphenomorphus indicus",93.89478,21.61236,"MM",543591240
"Sphenomorphus indicus",93.88361,21.59825,"MM",543591220
"Sphenomorphus indicus",93.88361,21.59808,"MM",543591233
"Sphenomorphus indicus",93.89908,21.63508,"MM",543591198
"Sphenomorphus indicus",93.93428,21.5315,"MM",543591285
"Sphenomorphus indicus",93.80089,21.67492,"MM",543591167
"Sphenomorphus indicus",93.94194,21.59708,"MM",543591272
"Sphenomorphus indicus",107.57505,29.16921,"CN",686691423
"Sphenomorphus indicus",94.07656,21.22558,"MM",543591471
"Sphenomorphus indicus",93.94592,21.51592,"MM",543591318
"Sphenomorphus indicus",93.94936,21.51408,"MM",543591289
"Sphenomorphus indicus",98.58502,25.70658,"CN",543599101
"Sphenomorphus indicus",93.81503,21.36975,"MM",543591352
"Sphenomorphus indicus",93.82636,21.36364,"MM",543591354
"Sphenomorphus indicus",94.05717,21.19703,"MM",543591479
"Sphenomorphus indicus",93.81519,21.35939,"MM",543591358
"Sphenomorphus indicus",94.05461,21.18633,"MM",543591478
"Sphenomorphus indicus",94.05553,21.19253,"MM",543591444
"Sphenomorphus indicus",98.30533,25.39858,"CN",543594980
"Sphenomorphus indicus",93.85739,21.36939,"MM",543591367
"Sphenomorphus indicus",94.04061,21.19803,"MM",543591388
"Sphenomorphus indicus",94.05775,21.35958,"MM",543591375
"Sphenomorphus indicus",93.96833,21.56278,"MM",543591497
"Sphenomorphus indicus",93.95942,21.55433,"MM",543591498
"Sphenomorphus indicus",93.94903,21.526,"MM",543591503
"Sphenomorphus indicus",93.94919,21.51125,"MM",543591526
"Sphenomorphus indicus",93.97322,21.56469,"MM",543591547
"Sphenomorphus indicus",93.97453,21.56586,"MM",543591491
"Sphenomorphus indicus",102.1,14.98056,"TH",686680479
"Sphenomorphus indicus",107.87744,21.84141,"CN",686997474
"Sphenomorphus indicus",107.88913,21.84623,"CN",686999193
"Sphenomorphus indicus",98.64306,27.77164,"CN",543598847
"Sphenomorphus indicus",98.33636,27.87744,"CN",543598896
"Sphenomorphus indicus",98.34336,27.88505,"CN",543598948
"Sphenomorphus indicus",94.04822,21.19275,"MM",543590952
"Sphenomorphus indicus",93.95672,21.51342,"MM",543590976
"Sphenomorphus indicus",93.96592,21.52489,"MM",543590992
"Sphenomorphus indicus",104.15,12.0167,"KH",895453454
"Sphenomorphus indicus",93.87653,21.53369,"MM",543590995
"Sphenomorphus indicus",93.94989,21.51597,"MM",543590971
"Sphenomorphus indicus",94.06233,21.19569,"MM",543590892
"Sphenomorphus indicus",94.05728,21.19792,"MM",543590899
"Sphenomorphus indicus",94.03119,21.18539,"MM",543590865
"Sphenomorphus indicus",94.04419,21.19322,"MM",543590822
"Sphenomorphus indicus",94.02761,21.17175,"MM",543590846
"Sphenomorphus indicus",98.86728,26.93461,"CN",543590348
"Sphenomorphus indicus",98.88919,26.78394,"CN",543590558
