"species","lon","lat","countryCode","gbifID"
"Tiliqua nigrolutea",148.39046,-35.9499200350154,"AU",1071926856
"Tiliqua nigrolutea",149.83602,-33.3240200314815,"AU",1070770556
"Tiliqua nigrolutea",150.18665,-33.3663000315429,"AU",1069653955
"Tiliqua nigrolutea",150.15568,-33.4020100315947,"AU",1071413175
"Tiliqua nigrolutea",148.97233,-35.75083,"AU",891129570
"Tiliqua nigrolutea",148.38061,-35.9670600350364,"AU",1071925751
"Tiliqua nigrolutea",150.1858,-33.3747200315552,"AU",1069654979
"Tiliqua nigrolutea",150.21065,-33.4136700316116,"AU",1069655933
"Tiliqua nigrolutea",150.36125,-33.56974,"AU",1100450068
"Tiliqua nigrolutea",148.62254,-36.1636700352748,"AU",1071926634
"Tiliqua nigrolutea",148.38284,-36.3646800355145,"AU",1071925339
"Tiliqua nigrolutea",143.96547,-37.75674,"AU",694163555
"Tiliqua nigrolutea",150.2994,-33.4478700316611,"AU",1069652142
"Tiliqua nigrolutea",150.21079,-33.3965700315868,"AU",1069652528
"Tiliqua nigrolutea",151.2071,-33.87,"AU",731923753
"Tiliqua nigrolutea",150.20412,-33.418760031619,"AU",1069652841
"Tiliqua nigrolutea",148.46173,-36.0092600350879,"AU",1071925935
"Tiliqua nigrolutea",150.19398,-33.4313400316372,"AU",1069653255
"Tiliqua nigrolutea",144.74393,-38.35335,"AU",731922557
"Tiliqua nigrolutea",150.17312,-33.4556500316723,"AU",1069653171
"Tiliqua nigrolutea",146.58629,-36.99626,"AU",694164436
"Tiliqua nigrolutea",150.0207,-33.81287,"AU",1100448335
"Tiliqua nigrolutea",150.02196,-33.8115500321817,"AU",1069631836
"Tiliqua nigrolutea",150.00998,-33.7636100321136,"AU",1069631923
"Tiliqua nigrolutea",150.02296,-33.7900700321512,"AU",1069632071
"Tiliqua nigrolutea",149.87655,-34.2365800327769,"AU",1071921025
"Tiliqua nigrolutea",149.88542,-34.2944500328568,"AU",1071920708
"Tiliqua nigrolutea",148.68243,-35.7981400348284,"AU",1071924675
"Tiliqua nigrolutea",148.65097,-35.8036200348352,"AU",1071924866
"Tiliqua nigrolutea",148.65018,-35.8028100348342,"AU",1071924846
"Tiliqua nigrolutea",149.51314,-35.48592,"AU",478646465
"Tiliqua nigrolutea",145.34749,-37.94103,"AU",694164185
"Tiliqua nigrolutea",150.2223,-33.4354200316431,"AU",1070357168
"Tiliqua nigrolutea",150.26228,-33.402870031596,"AU",1070356098
"Tiliqua nigrolutea",150.29337,-33.4469400316597,"AU",1070357355
"Tiliqua nigrolutea",150.23189,-33.4481200316614,"AU",1070357515
"Tiliqua nigrolutea",150.19104,-33.4142000316124,"AU",1070357768
"Tiliqua nigrolutea",150.17025,-33.3303500314907,"AU",1070356672
"Tiliqua nigrolutea",150.48687,-34.6608700333562,"AU",1070455780
"Tiliqua nigrolutea",149.62086,-34.2743900328292,"AU",1070162100
"Tiliqua nigrolutea",148.875,-35.7977300348279,"AU",1070768915
"Tiliqua nigrolutea",150.1959,-33.3993900315909,"AU",1070164339
"Tiliqua nigrolutea",147.191043410897,-42.9886195659385,"AU",500723483
"Tiliqua nigrolutea",140.64818,-37.92548,"AU",728035359
"Tiliqua nigrolutea",148.20814,-36.2457700353732,"AU",1071886265
"Tiliqua nigrolutea",145.13,-38.15,"AU",478681368
"Tiliqua nigrolutea",150.22403,-33.4357900316436,"AU",1070028829
"Tiliqua nigrolutea",150.23274,-33.4350600316425,"AU",1070028934
"Tiliqua nigrolutea",150.22053,-33.3920400315803,"AU",1070028906
"Tiliqua nigrolutea",150.21005,-33.4153900316141,"AU",1070028672
"Tiliqua nigrolutea",149.87765,-33.3448500315118,"AU",1070770434
"Tiliqua nigrolutea",144.18,-38.4,"AU",478678311
"Tiliqua nigrolutea",149.44335,-34.5436900331978,"AU",1069931920
"Tiliqua nigrolutea",149.72555,-34.4503300330707,"AU",1069909249
"Tiliqua nigrolutea",149.71258,-34.4506500330711,"AU",1069909333
"Tiliqua nigrolutea",149.71277,-34.4506000330711,"AU",1069909352
"Tiliqua nigrolutea",149.33011,-36.345720035492,"AU",1069921301
"Tiliqua nigrolutea",150.49553,-34.6633100333595,"AU",1071798897
"Tiliqua nigrolutea",150.1999,-33.3775600315593,"AU",1071534911
"Tiliqua nigrolutea",150.2804,-33.403620031597,"AU",1071535206
"Tiliqua nigrolutea",150.27686,-33.4088000316045,"AU",1071535223
"Tiliqua nigrolutea",148.51855,-36.2922700354286,"AU",1074708104
"Tiliqua nigrolutea",148.51578,-36.2884800354241,"AU",1074708153
"Tiliqua nigrolutea",150.22652,-33.4351200316426,"AU",1071535623
"Tiliqua nigrolutea",150.20211,-33.3755300315563,"AU",1069901273
"Tiliqua nigrolutea",149.52392,-35.7558800347759,"AU",1070732372
"Tiliqua nigrolutea",150.18119,-33.3668900315438,"AU",1069901266
"Tiliqua nigrolutea",150.13047,-33.3668600315438,"AU",1069901980
"Tiliqua nigrolutea",150.23032,-33.3979200315888,"AU",1069901642
"Tiliqua nigrolutea",140.84045,-37.43431,"AU",501556692
"Tiliqua nigrolutea",147.60702,-35.585070034562,"AU",1069841495
"Tiliqua nigrolutea",142.37732,-37.30465,"AU",923573839
"Tiliqua nigrolutea",148.27697,-35.7699900347935,"AU",1074707412
"Tiliqua nigrolutea",149.96444,-33.45083,"AU",482658585
"Tiliqua nigrolutea",150.15874,-33.3781000315601,"AU",1071534297
"Tiliqua nigrolutea",150.27785,-33.4081300316036,"AU",1071534600
"Tiliqua nigrolutea",150.26227,-33.4039600315975,"AU",1071534466
"Tiliqua nigrolutea",150.26364,-33.4051400315993,"AU",1071534570
"Tiliqua nigrolutea",140.79159,-37.73798,"AU",501556675
"Tiliqua nigrolutea",151.40775,-33.51921,"AU",923574379
"Tiliqua nigrolutea",150.19054,-32.942870030922,"AU",1074697908
"Tiliqua nigrolutea",150.10909,-33.4759700317016,"AU",1071801871
"Tiliqua nigrolutea",140.73489,-37.1017,"AU",501556628
"Tiliqua nigrolutea",150.3167,-33.7167,"AU",332085121
"Tiliqua nigrolutea",149.40987,-35.5523900345207,"AU",1069602887
"Tiliqua nigrolutea",150.3333,-33.7167,"AU",332085124
"Tiliqua nigrolutea",140.17904,-37.56969,"AU",501562850
"Tiliqua nigrolutea",140.16583,-37.55497,"AU",501556512
"Tiliqua nigrolutea",140.68147,-38.05351,"AU",501562826
"Tiliqua nigrolutea",148.99674,-35.4954000344485,"AU",1069816948
"Tiliqua nigrolutea",145.22,-38.25,"AU",478678212
"Tiliqua nigrolutea",148.63851,-35.2860900341807,"AU",1071735580
"Tiliqua nigrolutea",149.91742,-33.8886900322908,"AU",1071846625
"Tiliqua nigrolutea",149.35876,-35.7874000348151,"AU",1071739060
"Tiliqua nigrolutea",140.83262,-37.45933,"AU",501556691
