"species","lon","lat","countryCode","gbifID"
"Trematomus bernacchii",77.87,-68.58,"AQ",1014441825
"Trematomus bernacchii",77.99,-68.55,"none",1014441804
"Trematomus bernacchii",-44.60101,-60.94607,"AQ",1039492685
"Trematomus bernacchii",-46.00885,-60.71297,"AQ",1039500390
"Trematomus bernacchii",-44.80354,-60.43542,"AQ",1039499217
"Trematomus bernacchii",-44.33523,-60.60616,"AQ",1039514170
"Trematomus bernacchii",140.797,-66.56,"AQ",583611582
"Trematomus bernacchii",141.26,-66.56,"AQ",1014319709
"Trematomus bernacchii",140.8,-66.56,"AQ",1014319734
"Trematomus bernacchii",-60.7901,-65.1298,"AQ",344676033
"Trematomus bernacchii",-60.6244,-64.9133,"AQ",344676034
"Trematomus bernacchii",-56.0272,-63.7106,"AQ",344676036
"Trematomus bernacchii",142.64,-66.55,"AQ",1014315682
"Trematomus bernacchii",142.636,-66.554,"AQ",583413628
"Trematomus bernacchii",-59.88167,-63.213,"AQ",1039496359
"Trematomus bernacchii",-56.61017,-62.613,"AQ",1039508227
"Trematomus bernacchii",-45.9,-60.98,"AQ",1000396101
"Trematomus bernacchii",-55.5455,-62.73083,"AQ",1039488081
"Trematomus bernacchii",-46.5,-60.87,"AQ",1000396074
"Trematomus bernacchii",-55.98133,-62.5145,"AQ",1039495248
"Trematomus bernacchii",-57.1545,-63.064,"AQ",1039495555
"Trematomus bernacchii",-60.62,-62.94,"AQ",1000396046
"Trematomus bernacchii",-58.42,-62.13,"AQ",1000396131
"Trematomus bernacchii",170.443,-72.3418,"AQ",80035504
"Trematomus bernacchii",171.9643,-71.4808,"AQ",80035269
"Trematomus bernacchii",171.5028,-71.7187,"AQ",80035476
"Trematomus bernacchii",170.9638,-71.7782,"AQ",80035437
"Trematomus bernacchii",170.9068,-71.6242,"AQ",80035295
"Trematomus bernacchii",170.111,-71.53,"AQ",80035529
"Trematomus bernacchii",162.783,-66.6815,"AQ",80035414
"Trematomus bernacchii",163.2402,-66.9247,"AQ",80035396
"Trematomus bernacchii",163.2275,-66.9128,"AQ",80035411
"Trematomus bernacchii",164.5195,-67.2727,"AQ",80035347
"Trematomus bernacchii",77.92632,-68.57666,"AU",485588767
"Trematomus bernacchii",-54.811,-61.239,"AQ",1039511355
"Trematomus bernacchii",-54.8265,-61.0745,"AQ",1039511866
