"species","lon","lat","countryCode","gbifID"
"Pagothenia borchgrevinki",-60.3358,-65.9179,"AQ",344676027
"Pagothenia borchgrevinki",140.023,-66.669,"AQ",583484694
"Pagothenia borchgrevinki",139.99,-66.67,"none",1014315556
"Pagothenia borchgrevinki",139.994,-66.665,"AQ",583484691
"Pagothenia borchgrevinki",-60.95,-64.015,"AQ",684010838
"Pagothenia borchgrevinki",-61.0333,-64.0833,"AQ",684010931
"Pagothenia borchgrevinki",140.033,-66.017,"AQ",583484702
"Pagothenia borchgrevinki",65.00833,-67.50833,"AQ",122290583
"Pagothenia borchgrevinki",64.99667,-67.44667,"AQ",95599523
"Pagothenia borchgrevinki",64.86667,-67.45167,"AQ",95599524
"Pagothenia borchgrevinki",64.91333,-67.505,"AQ",95599520
"Pagothenia borchgrevinki",64.99667,-67.44666,"AQ",122290584
"Pagothenia borchgrevinki",-77.96667,-68.58333,"AQ",95598618
"Pagothenia borchgrevinki",-77.96667,-68.58334,"AQ",122290009
"Pagothenia borchgrevinki",72.07667,-68.41333,"AQ",95599444
"Pagothenia borchgrevinki",72.145,-68.425,"AQ",95599440
"Pagothenia borchgrevinki",68.895,-67.48333,"AQ",122290620
"Pagothenia borchgrevinki",70.135,-67.27834,"AQ",122290610
"Pagothenia borchgrevinki",68.895,-67.485,"AQ",95599727
"Pagothenia borchgrevinki",70.135,-67.27833,"AQ",95599733
"Pagothenia borchgrevinki",62.88334,-67.6,"AQ",122290241
"Pagothenia borchgrevinki",62.88333,-67.6,"AQ",95598978
"Pagothenia borchgrevinki",110.51667,-66.28333,"AQ",95598325
"Pagothenia borchgrevinki",-77.941,-68.5839,"AQ",93983964
"Pagothenia borchgrevinki",77.941,-68.58392,"none",122878191
"Pagothenia borchgrevinki",-7.45,-70.56667,"AQ",189183863
"Pagothenia borchgrevinki",77.8418,-68.6684,"AQ",93983963
"Pagothenia borchgrevinki",77.84181,-68.66844,"AQ",122878190
"Pagothenia borchgrevinki",-49.01667,-77.16667,"AQ",864467071
"Pagothenia borchgrevinki",-14.93333,-72.1,"AQ",189183862
"Pagothenia borchgrevinki",-2,-70,"AQ",287235304
"Pagothenia borchgrevinki",-2.61667,-70.5333,"AQ",235545028
"Pagothenia borchgrevinki",-2.61667,-70.53333,"AQ",287235305
"Pagothenia borchgrevinki",166.65,-77.85,"AQ",24958115
"Pagothenia borchgrevinki",166.73333,-77.88333,"AQ",864250503
"Pagothenia borchgrevinki",166.73,-77.88,"AQ",888713496
"Pagothenia borchgrevinki",-166.7333,-77.8833,"AQ",666713289
"Pagothenia borchgrevinki",166.68806,-77.86583,"AQ",607773771
"Pagothenia borchgrevinki",140.017,-66.667,"AQ",583484688
"Pagothenia borchgrevinki",-35.5,-77.66667,"AQ",864604479
"Pagothenia borchgrevinki",-40.83333,-77.66667,"AQ",607746468
"Pagothenia borchgrevinki",166.60722,-77.83472,"AQ",607773849
"Pagothenia borchgrevinki",166.4,-77.85,"AQ",607773740
"Pagothenia borchgrevinki",166.6,-77.825,"AQ",607729504
"Pagothenia borchgrevinki",166.58333,-77.83333,"AQ",864604490
"Pagothenia borchgrevinki",-168.5,-78,"AQ",864366003
"Pagothenia borchgrevinki",-167.43,-78.27,"AQ",888713573
"Pagothenia borchgrevinki",166.43,-77.72,"AQ",888713547
"Pagothenia borchgrevinki",-64.133,-65.167,"AQ",583484697
"Pagothenia borchgrevinki",166.69036,-77.87451,"AQ",624243273
"Pagothenia borchgrevinki",140,-66,"AQ",583484683
"Pagothenia borchgrevinki",-65,-65,"AQ",1057282095
"Pagothenia borchgrevinki",77.94754,-68.5715,"none",122878192
"Pagothenia borchgrevinki",77.92211,-68.57352,"none",122878193
"Pagothenia borchgrevinki",-44.65,-60.73333,"AQ",864274540
"Pagothenia borchgrevinki",170,-75,"AQ",1054637869
"Pagothenia borchgrevinki",170.4,-71.5,"AQ",583484700
"Pagothenia borchgrevinki",-77.9475,-68.5715,"AQ",93983966
"Pagothenia borchgrevinki",-77.9221,-68.5735,"AQ",93983967
"Pagothenia borchgrevinki",166.74167,-77.89167,"AQ",863151050
