"species","lon","lat","countryCode","gbifID"
"Trematomus hansoni",-45.2898,-60.441,"AQ",1039488924
"Trematomus hansoni",-44.12256,-61.69975,"AQ",1039495359
"Trematomus hansoni",-44.8902,-61.00936,"AQ",1039503981
"Trematomus hansoni",-44.71125,-60.54047,"AQ",1039500056
"Trematomus hansoni",-46.58822,-53.55289,"GS",1039490829
"Trematomus hansoni",-44.91296,-61.26349,"AQ",1039507157
"Trematomus hansoni",-43.93987,-61.18815,"AQ",1039504852
"Trematomus hansoni",-43.31728,-61.08954,"AQ",1039493154
"Trematomus hansoni",-44.25727,-60.83642,"AQ",1039497407
"Trematomus hansoni",-44.96398,-60.54433,"AQ",1039509679
"Trematomus hansoni",-44.86165,-60.92452,"AQ",1039510770
"Trematomus hansoni",-44.23988,-61.13664,"AQ",1039504489
"Trematomus hansoni",-45.90139,-60.80022,"AQ",1039506954
"Trematomus hansoni",-43.7675,-61.56602,"AQ",1039502290
"Trematomus hansoni",-43.5384,-61.15289,"AQ",1039510515
"Trematomus hansoni",-44.60101,-60.94607,"AQ",1039491588
"Trematomus hansoni",-44.59465,-61.13522,"AQ",1039489546
"Trematomus hansoni",-42.83531,-61.05533,"AQ",1039508518
"Trematomus hansoni",-44.41173,-61.60347,"AQ",1039504834
"Trematomus hansoni",-46.07597,-60.96765,"AQ",1039504926
"Trematomus hansoni",167.83,-76.77,"AQ",1003373140
"Trematomus hansoni",-60.7901,-65.1298,"AQ",344676048
"Trematomus hansoni",-60.3358,-65.9179,"AQ",344676046
"Trematomus hansoni",-61.6676,-65.5134,"AQ",344676053
"Trematomus hansoni",-60.6244,-64.9133,"AQ",344676051
"Trematomus hansoni",-61.5013,-65.53,"AQ",344676054
"Trematomus hansoni",141.983,-66.535,"AQ",583484952
"Trematomus hansoni",141.98,-66.53,"AQ",1014319703
"Trematomus hansoni",-57.01317,-62.70383,"AQ",1039507071
"Trematomus hansoni",-54.98033,-62.549,"AQ",1039492497
"Trematomus hansoni",-57.7105,-62.67733,"AQ",1039490084
"Trematomus hansoni",-55.27583,-62.45883,"AQ",1039503446
"Trematomus hansoni",-59.157,-63.038,"AQ",231564416
"Trematomus hansoni",-60.62,-62.94,"AQ",1000396053
"Trematomus hansoni",-37.88,-53.57,"GS",1000396082
"Trematomus hansoni",170.111,-71.53,"AQ",80035531
"Trematomus hansoni",163.2402,-66.9247,"AQ",80035399
"Trematomus hansoni",160.9138,-65.4443,"AQ",80035468
"Trematomus hansoni",162.783,-66.6815,"AQ",80035419
"Trematomus hansoni",163.883,-67.4348,"AQ",80035370
"Trematomus hansoni",164.5195,-67.2727,"AQ",80035353
"Trematomus hansoni",163.8988,-67.4242,"AQ",80035379
"Trematomus hansoni",-36.45,-54.2233,"GS",24920401
"Trematomus hansoni",-36.617,-54.217,"GS",583484957
"Trematomus hansoni",-36.5283,-54.2167,"GS",24920400
"Trematomus hansoni",-36.45,-54.22333,"GS",287256621
"Trematomus hansoni",-36.52833,-54.21667,"GS",287256620
"Trematomus hansoni",-54.8265,-61.0745,"AQ",1039504211
"Trematomus hansoni",-61.809,-62.87067,"AQ",1039510658
"Trematomus hansoni",-62.29317,-62.5455,"AQ",1039500036
"Trematomus hansoni",-54.573,-61.17967,"AQ",1039487797
"Trematomus hansoni",-55.06033,-61,"AQ",1039506941
"Trematomus hansoni",-60.96333,-62.98808,"AQ",1039495065
"Trematomus hansoni",-58.82358,-61.66108,"AQ",1039492275
"Trematomus hansoni",-60.47275,-62.17308,"AQ",1039509377
"Trematomus hansoni",-55.71225,-61.28883,"AQ",1039512016
"Trematomus hansoni",-10.588,-70.836,"AQ",231564412
