"species","lon","lat","countryCode","gbifID"
"Varanus gouldii",116.10743,-31.90985,"AU",1134969151
"Varanus gouldii",142.80035,-34.2944200328568,"AU",1070896615
"Varanus gouldii",142.59548,-34.2338100327731,"AU",1070896348
"Varanus gouldii",152.79963,-29.7891400259766,"AU",1071423908
"Varanus gouldii",152.80624,-29.7884300259755,"AU",1071423619
"Varanus gouldii",141.1583,-33.3991800315906,"AU",1071424030
"Varanus gouldii",141.20613,-33.3535700315245,"AU",1071423924
"Varanus gouldii",141.07479,-33.3586100315318,"AU",1071424092
"Varanus gouldii",141.21881,-33.4261400316297,"AU",1070807298
"Varanus gouldii",141.20431,-33.3439000315104,"AU",1070807189
"Varanus gouldii",141.20573,-33.3534600315243,"AU",1070807231
"Varanus gouldii",141.15831,-33.3991700315906,"AU",1070807405
"Varanus gouldii",113.61111,-26.06999,"AU",1100450879
"Varanus gouldii",143.7848,-31.69727,"AU",1100450976
"Varanus gouldii",141.31062,-33.1685700312546,"AU",1071324874
"Varanus gouldii",113.93977,-21.99892,"AU",885043707
"Varanus gouldii",153.1776,-29.939450026222,"AU",1070898084
"Varanus gouldii",153.1414,-29.986720026299,"AU",1070898088
"Varanus gouldii",133.58271,-23.77579,"AU",1100450054
"Varanus gouldii",141.45479,-31.89299,"AU",891774258
"Varanus gouldii",143.4603,-34.5048200331449,"AU",1071330283
"Varanus gouldii",153.3703,-29.3691300252877,"AU",1070898097
"Varanus gouldii",153.3595,-29.3607200252739,"AU",1070898093
"Varanus gouldii",141.06202,-33.3413500315067,"AU",1070351170
"Varanus gouldii",148.77537,-31.8577200292773,"AU",1074740258
"Varanus gouldii",141.13105,-33.3789400315613,"AU",1070351191
"Varanus gouldii",141.07499,-33.3593800315329,"AU",1070351137
"Varanus gouldii",149.06873,-31.9724100294545,"AU",1074740272
"Varanus gouldii",118.52193,-20.78249,"AU",774860260
"Varanus gouldii",115.57335,-22.062,"AU",774860262
"Varanus gouldii",150.933,-30.533,"AU",1100453296
"Varanus gouldii",132.09118,-30.83157,"AU",728015634
"Varanus gouldii",130.10291,-29.86315,"AU",728021863
"Varanus gouldii",150.17999,-30.5968100272862,"AU",1070880528
"Varanus gouldii",140.50735,-20.70518,"AU",694164270
"Varanus gouldii",130.05808,-29.96785,"AU",691158016
"Varanus gouldii",132.09116,-30.83157,"AU",691158408
"Varanus gouldii",145.8247,-31.4262700286046,"AU",1070834469
"Varanus gouldii",149.29495,-29.3319800252266,"AU",1070832597
"Varanus gouldii",149.48065,-30.8392600276747,"AU",1071628729
"Varanus gouldii",149.74877,-32.13868002971,"AU",1069645219
"Varanus gouldii",149.84073,-32.3335000300073,"AU",1069655920
"Varanus gouldii",149.74248,-30.5969300272864,"AU",1071682653
"Varanus gouldii",149.65126,-30.6921400274393,"AU",1071683004
"Varanus gouldii",145.8393,-32.9170200308837,"AU",1070835420
"Varanus gouldii",145.8203,-32.9149100308806,"AU",1070835416
"Varanus gouldii",145.8691,-32.8288500307527,"AU",1070835428
"Varanus gouldii",148.8582,-30.6704200274044,"AU",1071629389
"Varanus gouldii",133.8786,-23.7759300160762,"AU",736207227
"Varanus gouldii",132.75305,-12.79036,"AU",736206846
"Varanus gouldii",145.66958,-33.3464400315141,"AU",1069699222
"Varanus gouldii",132.30767,-25.03569,"AU",736213061
"Varanus gouldii",132.63109,-25.3901,"AU",736208273
"Varanus gouldii",153.02486,-29.9234200261958,"AU",1074352395
"Varanus gouldii",139.92837,-31.78128,"AU",728015047
"Varanus gouldii",139.68487,-30.37958,"AU",728015049
"Varanus gouldii",135.35536,-20.01543,"AU",736208018
"Varanus gouldii",139.70508,-30.46361,"AU",728015050
"Varanus gouldii",138.19912,-29.72431,"AU",728015052
"Varanus gouldii",139.7432,-29.91771,"AU",728015051
"Varanus gouldii",134.96209,-19.62193,"AU",736208017
"Varanus gouldii",137.7467,-29.1749,"AU",728015056
"Varanus gouldii",138.1901,-29.72593,"AU",728015054
"Varanus gouldii",140.82187,-31.07635,"AU",728015045
"Varanus gouldii",139.39031,-30.98953,"AU",728015048
"Varanus gouldii",137.89637,-29.24237,"AU",728015057
"Varanus gouldii",137.92292,-29.28107,"AU",728015058
"Varanus gouldii",138.22486,-29.88915,"AU",728015053
"Varanus gouldii",138.28233,-30.09922,"AU",728015055
"Varanus gouldii",140.81018,-31.18791,"AU",728015044
"Varanus gouldii",140.70471,-31.56389,"AU",728015046
"Varanus gouldii",135.0412,-21.4777000125629,"AU",736207483
"Varanus gouldii",139.37054,-30.33166,"AU",691156150
"Varanus gouldii",148.80469,-29.88106,"AU",478642020
"Varanus gouldii",138.07721,-30.42304,"AU",691156687
"Varanus gouldii",149.41632,-31.011410027949,"AU",1071622844
"Varanus gouldii",130.00682,-28.53495,"AU",501557150
"Varanus gouldii",139.55666,-34.07332,"AU",691156258
"Varanus gouldii",145.35562,-31.331820028456,"AU",1070806110
"Varanus gouldii",142.59435,-34.2396100327811,"AU",1070351101
"Varanus gouldii",132.28865,-24.9287,"AU",736212855
"Varanus gouldii",132.15136,-25.15518,"AU",736213062
"Varanus gouldii",132.25157,-25.1767,"AU",736212854
"Varanus gouldii",132.27962,-24.8868,"AU",736212856
"Varanus gouldii",144.8852,-29.1627800249477,"AU",1070805091
"Varanus gouldii",136.87101,-30.41387,"AU",728022997
"Varanus gouldii",136.95039,-30.42814,"AU",728028662
"Varanus gouldii",150.49742,-26.9259,"AU",478646258
"Varanus gouldii",133.36161,-23.7989400161127,"AU",736213445
"Varanus gouldii",136.83738,-30.38255,"AU",728025595
"Varanus gouldii",136.80226,-30.42669,"AU",728024489
"Varanus gouldii",136.86152,-30.43713,"AU",728026270
"Varanus gouldii",138.50061,-35.62189,"AU",728028666
"Varanus gouldii",146.72283,-31.3812100285338,"AU",1071598578
"Varanus gouldii",138.70604,-34.46688,"AU",728028668
"Varanus gouldii",132.36925,-25.05318,"AU",736213054
"Varanus gouldii",146.68212,-31.5285200287649,"AU",1071598515
"Varanus gouldii",145.77706,-31.5015700287227,"AU",1071638463
"Varanus gouldii",142.74717,-31.6988900290308,"AU",1071638685
"Varanus gouldii",145.93805,-30.4399100270336,"AU",1071638661
"Varanus gouldii",131.21482,-22.7319,"AU",691257187
"Varanus gouldii",134.19707,-19.53257,"AU",736204547
"Varanus gouldii",134.1796,-19.53384,"AU",736204546
"Varanus gouldii",135.58333,-29.71944,"AU",478646244
"Varanus gouldii",134.18123,-19.53482,"AU",736204549
"Varanus gouldii",131.29349,-18.74399,"AU",736204197
"Varanus gouldii",131.324,-18.73801,"AU",736204202
"Varanus gouldii",131.29211,-18.766,"AU",736204182
"Varanus gouldii",131.35959,-18.73606,"AU",736204213
"Varanus gouldii",131.35977,-18.73602,"AU",736204188
"Varanus gouldii",132.30203,-11.3952700020579,"AU",736216443
"Varanus gouldii",132.30203,-11.39527,"AU",736206604
"Varanus gouldii",134.92947,-22.9249200147426,"AU",736207879
"Varanus gouldii",135.68195,-32.6918,"AU",501561964
"Varanus gouldii",135.69087,-32.7185,"AU",501924636
"Varanus gouldii",134.88014,-22.936770014761,"AU",736207878
"Varanus gouldii",135.5411,-30.48555,"AU",691152706
"Varanus gouldii",130.31786,-20.53773,"AU",736208858
"Varanus gouldii",140.00295,-32.00606,"AU",501562113
"Varanus gouldii",131.16087,-25.08906,"AU",736205354
"Varanus gouldii",129.95164,-20.51696,"AU",736208866
"Varanus gouldii",129.9516,-20.517,"AU",736208619
"Varanus gouldii",129.928,-20.5386,"AU",736208628
"Varanus gouldii",132.18923,-25.11892,"AU",736213055
