"species","lon","lat","countryCode","gbifID"
"Lophozozymus incisus",-9.68198,52.5093,"IE",1134526757
"Lophozozymus incisus",-9.8407,52.35954,"IE",1134526775
"Lophozozymus incisus",-5.04318,50.15607,"GB",802234192
"Lophozozymus incisus",-5.0272,50.16908,"GB",802220443
"Lophozozymus incisus",-5.58141,50.04982,"GB",802223682
"Lophozozymus incisus",-1.1592,54.64722,"GB",672450907
"Lophozozymus incisus",-2.12873,55.89385,"GB",672450934
"Lophozozymus incisus",-2.12391,55.88576,"GB",672451011
"Lophozozymus incisus",-5.79067,54.71754,"IE",672453229
"Lophozozymus incisus",-2.94845,50.71644,"GB",672453730
"Lophozozymus incisus",-4.48688,53.18507,"GB",672451051
"Lophozozymus incisus",-2.1279,50.60511,"GB",672453671
"Lophozozymus incisus",-4.87073,55.92336,"GB",672453804
"Lophozozymus incisus",-1.16036,50.73167,"GB",672453607
"Lophozozymus incisus",-3.97468,51.56612,"GB",672453089
"Lophozozymus incisus",-5.88911,54.10552,"IE",672453437
"Lophozozymus incisus",-6.18974,55.26956,"IE",672453534
"Lophozozymus incisus",-6.65294,55.20637,"IE",672453472
"Lophozozymus incisus",-3.37953,55.98953,"GB",672451208
"Lophozozymus incisus",-5.57122,54.38892,"IE",672453301
"Lophozozymus incisus",-5.45873,54.39019,"IE",672453338
"Lophozozymus incisus",-4.26552,51.0284,"GB",672451344
"Lophozozymus incisus",-3.28212,56.0499,"GB",672451109
"Lophozozymus incisus",-1.54058,50.68792,"GB",672451444
"Lophozozymus incisus",-4.20276,51.53778,"GB",672453044
"Lophozozymus incisus",-5.05885,50.16015,"GB",672452204
"Lophozozymus incisus",-1.47858,50.66158,"GB",672451474
"Lophozozymus incisus",-4.51381,53.41471,"GB",672451272
"Lophozozymus incisus",-4.1765,51.19829,"GB",672451543
"Lophozozymus incisus",-4.78842,55.35528,"GB",672452506
"Lophozozymus incisus",-1.34882,50.73287,"GB",672452144
"Lophozozymus incisus",-4.14563,51.54963,"GB",672453147
"Lophozozymus incisus",-1.76825,46.48466,"FR",727994981
"Lophozozymus incisus",-3.69258,50.2133,"GB",672451620
"Lophozozymus incisus",-0.67394,54.50805,"GB",672451779
"Lophozozymus incisus",-4.91889,50.57399,"GB",672451907
"Lophozozymus incisus",-2.78146,56.06577,"GB",672452602
"Lophozozymus incisus",1.38542,51.14704,"GB",672451678
"Lophozozymus incisus",-4.17014,50.35738,"GB",672451815
"Lophozozymus incisus",-0.5299,54.43268,"GB",672452242
"Lophozozymus incisus",-4.11916,50.34933,"GB",672452023
"Lophozozymus incisus",-2.57023,56.55393,"GB",672452908
"Lophozozymus incisus",-4.09101,50.31655,"GB",672451717
"Lophozozymus incisus",-5.81082,57.8582,"GB",672452984
"Lophozozymus incisus",-0.11937,54.10335,"GB",672452445
"Lophozozymus incisus",-4.57394,53.23897,"GB",672452731
"Lophozozymus incisus",-0.34171,54.24326,"GB",672452080
"Lophozozymus incisus",-0.10438,54.13008,"GB",672452378
"Lophozozymus incisus",-2.94703,50.71646,"GB",672452334
"Lophozozymus incisus",-4.24959,54.83961,"GB",672452765
"Lophozozymus incisus",-8.84,38.5,"PT",1010930235
"Lophozozymus incisus",-5.48224,54.3835,"IE",672449012
"Lophozozymus incisus",-5.80487,54.71331,"IE",672449356
"Lophozozymus incisus",-6.10949,57.33985,"GB",672448875
"Lophozozymus incisus",-2.14629,50.61049,"GB",672448686
"Lophozozymus incisus",-5.89013,54.11543,"IE",672449161
"Lophozozymus incisus",-5.57982,54.39987,"IE",672449120
"Lophozozymus incisus",-3.69535,50.21236,"GB",672448986
"Lophozozymus incisus",-4.27114,51.02649,"GB",672449312
"Lophozozymus incisus",-4.17936,51.19823,"GB",672449232
"Lophozozymus incisus",-6.32893,49.89292,"GB",672449404
"Lophozozymus incisus",-6.29298,49.97435,"GB",672449458
"Lophozozymus incisus",-6.31721,49.91765,"GB",672450065
"Lophozozymus incisus",-6.28629,49.9305,"GB",672449509
"Lophozozymus incisus",-2.70425,56.49934,"GB",672450496
"Lophozozymus incisus",-6.33776,49.94478,"GB",672449686
"Lophozozymus incisus",-4.12057,50.3493,"GB",672450305
"Lophozozymus incisus",-6.34991,49.89393,"GB",672449734
"Lophozozymus incisus",-6.28304,49.95672,"GB",672449803
"Lophozozymus incisus",-6.30641,49.92166,"GB",672450023
"Lophozozymus incisus",-3.08821,55.94932,"GB",672450549
"Lophozozymus incisus",-3.70127,50.22127,"GB",672449578
"Lophozozymus incisus",-6.29143,49.97261,"GB",672449887
"Lophozozymus incisus",-6.282,49.91356,"GB",672449954
"Lophozozymus incisus",-6.35277,49.89472,"GB",672450118
"Lophozozymus incisus",-6.28921,49.97899,"GB",672450178
"Lophozozymus incisus",-6.32188,49.90758,"GB",672450641
"Lophozozymus incisus",-6.3547,49.93155,"GB",672450666
"Lophozozymus incisus",-5.10307,51.77467,"GB",672450712
"Lophozozymus incisus",-5.16549,51.71363,"GB",672450770
"Lophozozymus incisus",-4.06009,50.31621,"GB",310815934
"Lophozozymus incisus",-4.05007,48.70008,"FR",442560215
"Lophozozymus incisus",-4.12651,50.35639,"GB",672447198
"Lophozozymus incisus",-4.90095,55.74914,"GB",672447241
"Lophozozymus incisus",-1.23976,50.81676,"GB",672447417
"Lophozozymus incisus",-1.35381,50.78237,"GB",672447456
"Lophozozymus incisus",-4.17793,51.19826,"GB",672447266
"Lophozozymus incisus",-1.31939,50.80825,"GB",672448171
"Lophozozymus incisus",-6.30121,49.91015,"GB",672448425
"Lophozozymus incisus",-6.31371,49.90968,"GB",672448458
