"species","lon","lat","countryCode","gbifID"
"Aciphylla hectori",170.89287,-43.17564,"NZ",1038317000
"Aciphylla hectori",170.09109,-45.41514,"NZ",1135344915
"Aciphylla hectori",170.08776,-45.4168,"NZ",1038313510
"Aciphylla hectori",169.95698,-45.50187,"NZ",1038301656
"Aciphylla hectori",169.719,-44.8407,"NZ",1091101563
"Aciphylla hectori",168.694,-45.3253,"NZ",1091242528
"Aciphylla hectori",169.171,-44.8699,"NZ",1091259820
"Aciphylla hectori",169.993,-45.4748,"NZ",1091197729
"Aciphylla hectori",170.371,-44.9536,"NZ",1091330933
"Aciphylla hectori",168.692,-45.2894,"NZ",1091209975
"Aciphylla hectori",168.836,-45.1268,"NZ",1091306491
"Aciphylla hectori",170.11667,-45.38333,"NZ",574665926
"Aciphylla hectori",169.647,-45.6375,"NZ",1091185499
"Aciphylla hectori",168.863,-45.4612,"NZ",1091274410
"Aciphylla hectori",170.13333,-45.9,"NZ",874669579
"Aciphylla hectori",168.792,-45.0333,"NZ",1091230049
"Aciphylla hectori",169.057,-45.2409,"NZ",1091306277
"Aciphylla hectori",168.81,-45.2893,"NZ",1091268146
"Aciphylla hectori",169.191,-45.436,"NZ",1091304560
"Aciphylla hectori",169.156,-44.9018,"NZ",1091279269
"Aciphylla hectori",169.2,-45.3984,"NZ",1091225834
"Aciphylla hectori",169.018,-44.8791,"NZ",1091177468
"Aciphylla hectori",170.283,-44.915,"NZ",1091207963
"Aciphylla hectori",169.104,-45.5736,"NZ",1091248595
"Aciphylla hectori",168.741,-45.5541,"NZ",1091147809
