"species","lon","lat","countryCode","gbifID"
"Acmadenia heterophylla",22.125,-34.125,"ZA",287007819
"Acmadenia heterophylla",22.06444,-34.19667,"ZA",287007818
"Acmadenia heterophylla",22.06806,-34.20278,"ZA",287007824
"Acmadenia heterophylla",22.11806,-34.19722,"ZA",287007821
"Acmadenia heterophylla",21.625,-34.375,"ZA",453137690
"Acmadenia heterophylla",20.875,-34.375,"ZA",453137687
"Acmadenia heterophylla",20.375,-34.375,"ZA",453137686
"Acmadenia heterophylla",19.875,-34.875,"ZA",453137683
"Acmadenia heterophylla",20.625,-34.375,"ZA",453137679
"Acmadenia heterophylla",20.125,-34.625,"ZA",453137677
"Acmadenia heterophylla",19.875,-34.625,"ZA",453137676
