"species","lon","lat","countryCode","gbifID"
"Anagyris foetida",3.82154,43.54907,"FR",1076770707
"Anagyris foetida",26.05468,38.37236,"GR",1038486984
"Anagyris foetida",26.0702,38.3038,"GR",1038494163
"Anagyris foetida",25.99825,38.1884,"GR",1038511377
"Anagyris foetida",25.9925,38.1938,"GR",920446624
"Anagyris foetida",-7.09783,38.87838,"PT",1075220820
"Anagyris foetida",-8.0436,37.08744,"PT",1075221696
"Anagyris foetida",-7.68724,38.16557,"PT",1075235998
"Anagyris foetida",-7.459,38.1628,"PT",1075241370
"Anagyris foetida",3.81586,43.55977,"FR",998707534
"Anagyris foetida",3.23942,43.53343,"FR",998707547
"Anagyris foetida",32.86317,34.90485,"CY",920413536
"Anagyris foetida",9.15624,41.39653,"FR",920557254
"Anagyris foetida",15.01093,36.9618,"IT",920519664
"Anagyris foetida",14.78834,36.97751,"IT",920552913
"Anagyris foetida",15.02804,36.98708,"IT",920357379
"Anagyris foetida",-4.42,36.76,"ES",1050650810
"Anagyris foetida",-4.429,36.763,"ES",767623926
"Anagyris foetida",-4.43,36.76,"ES",318102174
"Anagyris foetida",-4.42,36.75,"ES",997625684
"Anagyris foetida",-8.15511,37.17842,"PT",1075105543
"Anagyris foetida",-0.481,39.52,"ES",895228198
"Anagyris foetida",27.91722,36.18667,"GR",237340936
"Anagyris foetida",28.03856,36.10253,"GR",1038495737
"Anagyris foetida",27.685,36.37583,"GR",237340934
"Anagyris foetida",27.97857,36.13576,"GR",1038509118
"Anagyris foetida",27.91763,36.17808,"GR",1038496512
"Anagyris foetida",28.04283,36.1095,"GR",1038485335
"Anagyris foetida",27.95964,36.21585,"GR",1038497849
"Anagyris foetida",27.98867,36.13266,"GR",1038499854
"Anagyris foetida",-6.657,37.9056,"ES",728457202
"Anagyris foetida",0.29,40.35,"ES",164158707
"Anagyris foetida",-5.79794,36.50822,"ES",232606217
"Anagyris foetida",-7.70458,37.17436,"PT",1075105584
"Anagyris foetida",-5.77608,36.55011,"ES",232606852
"Anagyris foetida",-4.1784,37.51912,"ES",232606437
"Anagyris foetida",-4.39407,36.93327,"ES",232606574
"Anagyris foetida",-5.31011,36.5142,"ES",232606244
"Anagyris foetida",36.56667,35.6,"SY",1038025706
"Anagyris foetida",-5.42201,36.42608,"ES",232606270
"Anagyris foetida",6.01769,43.12957,"FR",998703074
"Anagyris foetida",-8.1541,37.26856,"PT",1075105615
"Anagyris foetida",-7.47936,37.17168,"PT",1075105572
"Anagyris foetida",-8.04247,37.17757,"PT",1075105565
"Anagyris foetida",-5.29041,37.78509,"ES",232606958
"Anagyris foetida",-4.22578,36.89109,"ES",232606300
"Anagyris foetida",-4.48893,37.99494,"ES",232606961
"Anagyris foetida",-6.35972,36.81266,"ES",232606700
"Anagyris foetida",-6.35608,36.8235,"ES",232606692
"Anagyris foetida",-4.62993,37.95338,"ES",232606960
"Anagyris foetida",-4.61893,37.95443,"ES",232606959
"Anagyris foetida",-2.7294,36.84637,"ES",232606957
"Anagyris foetida",-4.61926,37.95912,"ES",232606962
"Anagyris foetida",-4.59732,36.64898,"ES",232606804
"Anagyris foetida",-5.39109,36.97514,"ES",232606861
"Anagyris foetida",7.25054,43.70265,"FR",998700436
"Anagyris foetida",-5.19999,36.97313,"ES",232606243
"Anagyris foetida",-2.72876,36.84607,"ES",232606913
"Anagyris foetida",-2.725,36.852,"ES",204400732
"Anagyris foetida",9.18477,41.43853,"FR",998700321
"Anagyris foetida",-5.37057,37.74685,"ES",232606199
"Anagyris foetida",-5.37624,37.74583,"ES",232606847
"Anagyris foetida",-4.96694,36.99511,"ES",232606299
"Anagyris foetida",-4.11822,36.73334,"ES",232606175
"Anagyris foetida",-4.24525,36.84406,"ES",232606177
"Anagyris foetida",2.95633,42.89858,"FR",998700819
"Anagyris foetida",35.65489,33.24934,"IL",48741853
"Anagyris foetida",35.68385,33.24653,"IL",42245839
"Anagyris foetida",35.65381,33.24754,"IL",48364953
"Anagyris foetida",35.67519,33.23394,"IL",48478182
"Anagyris foetida",-5.2534,36.38957,"ES",232606906
"Anagyris foetida",-5.44133,37.79383,"ES",232606825
"Anagyris foetida",-5.54626,36.98503,"ES",232606822
"Anagyris foetida",-5.50052,36.99635,"ES",232606186
"Anagyris foetida",-5.45407,36.96281,"ES",232606846
"Anagyris foetida",35.69137,33.2483,"IL",48582922
"Anagyris foetida",35.51953,32.29757,"IL",48699628
"Anagyris foetida",35.68655,32.75782,"IL",42502111
"Anagyris foetida",-5.78795,36.43886,"ES",232606224
"Anagyris foetida",-5.86418,36.85831,"ES",232606132
"Anagyris foetida",9.42,39.7,"IT",30147270
"Anagyris foetida",-5.00727,37.85896,"ES",232606824
"Anagyris foetida",35.65381,33.24845,"IL",48337497
"Anagyris foetida",-4.93868,37.88165,"ES",232606838
"Anagyris foetida",-4.93629,37.87199,"ES",232606837
"Anagyris foetida",-4.9372,37.88229,"ES",232606841
"Anagyris foetida",35.84873,32.90316,"IL",48744682
"Anagyris foetida",-4.93712,37.87016,"ES",232606198
"Anagyris foetida",34.79596,31.9438,"IL",48755246
"Anagyris foetida",-0.49,38.962,"ES",29576546
"Anagyris foetida",-4.81774,37.42839,"ES",232606136
"Anagyris foetida",-5.82382,37.0352,"ES",232606798
"Anagyris foetida",35.12,32.57,"IL",1094411320
"Anagyris foetida",34.85625,32.22083,"IL",48443406
"Anagyris foetida",35.46949,32.97397,"IL",48742487
"Anagyris foetida",-0.17283,38.713,"ES",250602927
"Anagyris foetida",34.92694,31.64564,"IL",48321108
"Anagyris foetida",-4.47,37.31,"ES",30847609
"Anagyris foetida",35.64843,33.24576,"IL",48400790
"Anagyris foetida",35.22026,33.07614,"IL",48658423
"Anagyris foetida",35.50125,32.87291,"IL",48897940
"Anagyris foetida",35.34109,32.95344,"IL",48925686
"Anagyris foetida",34.70733,31.90561,"IL",43335012
"Anagyris foetida",34.83168,32.26495,"IL",48709375
"Anagyris foetida",34.8636,32.24339,"IL",48681993
"Anagyris foetida",35.52167,32.59528,"IL",1059616934
"Anagyris foetida",34.94069,31.62944,"IL",48913456
"Anagyris foetida",34.70135,31.83885,"IL",48608083
"Anagyris foetida",34.86609,31.85382,"IL",48692346
"Anagyris foetida",34.67788,31.50507,"IL",48928978
"Anagyris foetida",34.85732,32.21993,"IL",43181877
"Anagyris foetida",34.85728,32.22895,"IL",48741628
"Anagyris foetida",35.12927,31.74964,"IL",48382803
"Anagyris foetida",35.12505,31.75144,"IL",48835738
"Anagyris foetida",34.84134,32.28633,"IL",1038498099
"Anagyris foetida",-4.36,37.4,"ES",30847857
"Anagyris foetida",35.03612,32.47459,"IL",43702947
"Anagyris foetida",34.9592,32.20213,"IL",48330278
"Anagyris foetida",-4.62717,38.02957,"ES",232606778
"Anagyris foetida",34.94069,31.63124,"IL",48721331
"Anagyris foetida",30.46341,36.98254,"TR",920375238
"Anagyris foetida",-4.75913,37.96725,"ES",232606785
"Anagyris foetida",34.84431,31.74915,"IL",48596325
"Anagyris foetida",35.12927,31.75054,"IL",48801533
"Anagyris foetida",35.04151,31.83884,"IL",48692014
"Anagyris foetida",35.74185,32.90367,"IL",48670828
"Anagyris foetida",-4.76324,37.08861,"ES",232606706
"Anagyris foetida",34.75266,31.93193,"IL",48580985
"Anagyris foetida",-1.226,37.641,"ES",211642668
"Anagyris foetida",34.93272,32.54655,"IL",48512322
"Anagyris foetida",34.70241,31.83795,"IL",48388512
"Anagyris foetida",34.54143,31.59823,"IL",48909427
"Anagyris foetida",-0.19,38.83,"ES",30951189
"Anagyris foetida",34.82541,32.24148,"IL",48847587
"Anagyris foetida",35.07229,31.73967,"IL",43946013
"Anagyris foetida",34.8884,31.81961,"IL",48755147
"Anagyris foetida",33.38391,36.3222,"TR",920517311
"Anagyris foetida",-0.175,39.909,"ES",895207654
"Anagyris foetida",35.08073,31.74419,"IL",48784605
"Anagyris foetida",35.51007,32.32554,"IL",43446141
"Anagyris foetida",35.1353,32.15907,"IL",43100475
"Anagyris foetida",34.85516,32.22894,"IL",48883398
"Anagyris foetida",23,36.15,"GR",788823539
"Anagyris foetida",23.16667,37.46667,"GR",603122
"Anagyris foetida",-4.68,36.58,"ES",30847519
"Anagyris foetida",-1.17,37.641,"ES",211642667
"Anagyris foetida",35.38833,33.04084,"IL",48595487
"Anagyris foetida",-0.13,37.98,"ES",30951018
"Anagyris foetida",2.8,39.75,"ES",30146972
"Anagyris foetida",35.65272,33.24484,"IL",48616086
"Anagyris foetida",0.32,40.35,"ES",1050618113
"Anagyris foetida",35.0869,32.69467,"IL",48805327
"Anagyris foetida",34.7516,31.93283,"IL",48362933
"Anagyris foetida",0.321,40.354,"ES",767258764
"Anagyris foetida",0.32123,40.35336,"ES",59972947
"Anagyris foetida",0.31,40.34,"ES",30146905
"Anagyris foetida",34.83274,32.26405,"IL",48912662
"Anagyris foetida",34.8552,32.21992,"IL",48423994
"Anagyris foetida",-0.26,39.67,"ES",895203087
"Anagyris foetida",35.43121,33.06331,"IL",48546563
"Anagyris foetida",34.91012,32.29491,"IL",48656394
"Anagyris foetida",35.47505,33.04339,"IL",48844982
"Anagyris foetida",35.50901,32.32645,"IL",48605947
