"species","lon","lat","countryCode","gbifID"
"Azara integrifolia",-72.00417,-34.54694,"CL",789990956
"Azara integrifolia",-72.65,-36.41,"CL",214454623
"Azara integrifolia",-72.77,-36.27,"CL",214454614
"Azara integrifolia",-71.23,-36.22,"CL",214454615
"Azara integrifolia",-71.33,-36.29,"CL",214454619
"Azara integrifolia",-71.37,-36.13,"CL",137502445
"Azara integrifolia",-71.91667,-39.26667,"CL",574861298
"Azara integrifolia",-72.50667,-35.84444,"CL",575286272
"Azara integrifolia",-71.63428,-38.77281,"CL",574708249
"Azara integrifolia",-72.50653,-35.84439,"CL",574748963
"Azara integrifolia",-71.46667,-38,"CL",574820648
"Azara integrifolia",-71.53333,-37.78333,"CL",575186462
"Azara integrifolia",-72.81667,-37.78333,"CL",574984420
"Azara integrifolia",-73.15,-36.7,"CL",575306555
"Azara integrifolia",-71.63333,-36.85,"CL",574946476
"Azara integrifolia",-72.58333,-39,"CL",575015042
"Azara integrifolia",-71.61667,-37.97778,"CL",1046091693
"Azara integrifolia",-71.53333,-36.25,"CL",1046091669
"Azara integrifolia",-73.4,-40.26667,"CL",1046091716
"Azara integrifolia",-70.78333,-34.78333,"CL",1046091743
"Azara integrifolia",-70.91667,-35.33333,"CL",575022101
