"species","lon","lat","countryCode","gbifID"
"Azara microphylla",-71.49028,-36.97028,"CL",789988283
"Azara microphylla",-71.49019,-36.97028,"CL",774103300
"Azara microphylla",-71.61556,-38.68583,"CL",574808872
"Azara microphylla",-71.67694,-30.655,"CL",575281202
"Azara microphylla",-72.96389,-37.82806,"CL",574793733
"Azara microphylla",-71.83333,-38.66667,"CL",575095146
"Azara microphylla",-71.68333,-38.81667,"CL",574945083
"Azara microphylla",-72.41666,-39,"CL",415947529
"Azara microphylla",-71.53,-41.05,"AR",319185583
"Azara microphylla",-71.53333,-41.05,"AR",1046091731
"Azara microphylla",-71.6,-37.9,"CL",1046091804
"Azara microphylla",-71.78333,-37.76667,"CL",1046091779
"Azara microphylla",-71.48333,-39.13333,"CL",574983210
"Azara microphylla",-71.23,-40.35,"AR",416852053
