"species","lon","lat","countryCode","gbifID"
"Brodoa intestiniformis",10.39878,61.31959,"NO",1092526971
"Brodoa intestiniformis",12.6855,61.6347,"SE",932364493
"Brodoa intestiniformis",8.88995,61.92279,"NO",1049913599
"Brodoa intestiniformis",7.5751,59.7101,"NO",1040971444
"Brodoa intestiniformis",6.9736,59.8453,"NO",1040971452
"Brodoa intestiniformis",6.09401,60.44389,"NO",1092475027
"Brodoa intestiniformis",8.93521,61.69171,"NO",1049903660
"Brodoa intestiniformis",9.05326,60.9523,"NO",1049895852
"Brodoa intestiniformis",12.3444,62.1038,"SE",998001445
"Brodoa intestiniformis",18.5128,63.0914,"SE",1052951974
"Brodoa intestiniformis",14.2981,60.1917,"SE",997889756
"Brodoa intestiniformis",11.63376,61.44615,"NO",1092481749
"Brodoa intestiniformis",9.31762,62.30308,"NO",1092478146
"Brodoa intestiniformis",14.303,60.1836,"SE",997887755
"Brodoa intestiniformis",12.18564,61.54493,"NO",1092487635
"Brodoa intestiniformis",10.84837,63.37951,"NO",1092500071
"Brodoa intestiniformis",8.28015,62.86905,"NO",1092501614
"Brodoa intestiniformis",12.4965,47.119,"AT",920766296
"Brodoa intestiniformis",8.8055,61.402,"NO",1040970550
"Brodoa intestiniformis",9.57628,62.24129,"NO",1049791316
"Brodoa intestiniformis",9.38519,61.14999,"NO",1049804162
"Brodoa intestiniformis",9.3,62.74,"NO",1049796750
"Brodoa intestiniformis",8.20882,61.62701,"NO",1049800915
"Brodoa intestiniformis",12,63,"SE",1086526384
"Brodoa intestiniformis",8.85589,61.93961,"NO",1049802367
"Brodoa intestiniformis",13.1451,63.27267,"SE",1052146839
"Brodoa intestiniformis",12.18741,61.3002,"NO",1049809565
"Brodoa intestiniformis",6.11995,60.40221,"NO",1050069883
"Brodoa intestiniformis",8.81481,61.38959,"NO",1050073005
"Brodoa intestiniformis",17,62,"SE",1086526245
"Brodoa intestiniformis",18,62,"SE",1086527017
"Brodoa intestiniformis",9.30218,60.31414,"NO",919263351
"Brodoa intestiniformis",10.3023,61.13137,"NO",683085288
"Brodoa intestiniformis",9.118,61.88736,"NO",683087882
"Brodoa intestiniformis",10.10689,61.44866,"NO",683088267
"Brodoa intestiniformis",17.1637,65.2832,"SE",855362321
"Brodoa intestiniformis",8.81235,61.43444,"NO",683109199
"Brodoa intestiniformis",8.04251,61.16641,"NO",683096371
"Brodoa intestiniformis",11.26683,61.71216,"NO",1054023966
"Brodoa intestiniformis",12.6865,61.6356,"SE",855914314
"Brodoa intestiniformis",10.04485,61.11777,"NO",1049681601
"Brodoa intestiniformis",9.58229,61.28833,"NO",1049691712
"Brodoa intestiniformis",12.8483,61.9793,"SE",855469440
"Brodoa intestiniformis",9.81917,62.27071,"NO",1049691780
"Brodoa intestiniformis",20.14056,42.53278,"none",1135092843
"Brodoa intestiniformis",8.36504,60.75241,"NO",1049711354
"Brodoa intestiniformis",20.14583,42.53083,"none",1135092854
