"species","lon","lat","countryCode","gbifID"
"Bromus rubens",3.78235,43.50958,"FR",1076770955
"Bromus rubens",3.85016,43.66698,"FR",1036334921
"Bromus rubens",3.84369,43.66335,"FR",998708931
"Bromus rubens",-7.54924,37.29266,"PT",1134963629
"Bromus rubens",5.50238,43.22768,"FR",998708939
"Bromus rubens",-7.89479,39.51939,"PT",1075208052
"Bromus rubens",3.88031,43.68194,"FR",1036334924
"Bromus rubens",3.87989,43.68123,"FR",1036334923
"Bromus rubens",3.85307,43.67537,"FR",1036334927
"Bromus rubens",3.87898,43.68452,"FR",1036334926
"Bromus rubens",3.87871,43.68335,"FR",1036334928
"Bromus rubens",3.86685,43.67455,"FR",1036334925
"Bromus rubens",5.42651,43.38325,"FR",1044059177
"Bromus rubens",5.57297,43.34807,"FR",1051529873
"Bromus rubens",0.40667,40.92611,"ES",864940021
"Bromus rubens",-0.69222,41.63111,"ES",864940017
"Bromus rubens",4.19119,44.02202,"FR",998708932
"Bromus rubens",3.85811,43.76465,"FR",998708923
"Bromus rubens",3.9416,43.68612,"FR",998708933
"Bromus rubens",3.84968,43.58819,"FR",998708934
"Bromus rubens",3.87294,43.61547,"FR",998708925
"Bromus rubens",4.30764,43.66068,"FR",998708928
"Bromus rubens",3.85921,43.71628,"FR",998708929
"Bromus rubens",3.00892,43.38465,"FR",998708922
"Bromus rubens",0.003,40.094,"ES",895230763
"Bromus rubens",2.69813,42.72132,"FR",615424542
"Bromus rubens",5.1715,43.55685,"FR",998708940
"Bromus rubens",2.70027,42.7275,"FR",998708937
"Bromus rubens",3.8006,43.55553,"FR",998708924
"Bromus rubens",3.58858,43.4178,"FR",998708927
"Bromus rubens",-6.77475,41.75529,"PT",1075130887
"Bromus rubens",-9.40257,38.71295,"PT",1075125795
"Bromus rubens",2.69029,42.72096,"FR",615424498
"Bromus rubens",-8.03555,37.71831,"PT",1075181438
"Bromus rubens",4.27041,43.86571,"FR",366985398
"Bromus rubens",5.03448,43.33336,"FR",1076770954
"Bromus rubens",3.47151,43.67669,"FR",615424506
"Bromus rubens",3.36806,43.40003,"FR",615424486
"Bromus rubens",2.66739,43.23614,"FR",615424491
"Bromus rubens",3.09661,43.11121,"FR",615424501
"Bromus rubens",2.67458,43.24003,"FR",615424490
"Bromus rubens",2.66176,43.19712,"FR",615424496
"Bromus rubens",2.66459,43.21736,"FR",615424493
"Bromus rubens",2.66313,43.20707,"FR",615424494
"Bromus rubens",4.05147,44.19993,"FR",615424500
"Bromus rubens",3.90985,43.59506,"FR",615424505
"Bromus rubens",-4.57,32.56,"MA",997625965
"Bromus rubens",3.69909,43.55412,"FR",311117115
"Bromus rubens",-4.949,41.972,"ES",1123924247
"Bromus rubens",3.26721,43.63173,"FR",358981101
"Bromus rubens",3.14387,43.29258,"FR",358981083
"Bromus rubens",5.5906,43.16954,"FR",332153221
"Bromus rubens",3.14973,43.2768,"FR",358981085
"Bromus rubens",3.9659,43.669,"FR",311117117
"Bromus rubens",3.95461,43.66146,"FR",311117121
"Bromus rubens",3.62409,43.46225,"FR",311117128
"Bromus rubens",3.95626,43.66323,"FR",311117120
"Bromus rubens",-1.091,37.621,"ES",232589427
"Bromus rubens",2.75,42.83,"FR",997612855
"Bromus rubens",-7.15588,41.04148,"PT",1075193176
"Bromus rubens",-1.913,37.956,"ES",232589369
"Bromus rubens",-4.73,41.75,"ES",997614489
"Bromus rubens",0.081,38.808,"ES",895233688
"Bromus rubens",-0.909,39.619,"ES",895207908
"Bromus rubens",-1.442,37.599,"ES",211644409
"Bromus rubens",-0.94,38.33,"ES",318105340
"Bromus rubens",-0.96,38.63,"ES",318105328
"Bromus rubens",-4.367,42.962,"ES",894158449
"Bromus rubens",-2.24516,37.22889,"ES",232655367
"Bromus rubens",-4.20662,37.63279,"ES",232654695
"Bromus rubens",-2.36096,37.35782,"ES",232654700
"Bromus rubens",-6.77491,37.46222,"ES",232654708
"Bromus rubens",-0.449,39.132,"ES",895201281
"Bromus rubens",-2.28798,37.19344,"ES",232654914
"Bromus rubens",-2.54429,37.36517,"ES",232654916
"Bromus rubens",-2.20117,37.21993,"ES",232654917
"Bromus rubens",-2.24113,37.19364,"ES",232654912
"Bromus rubens",-2.04002,37.31313,"ES",232654524
"Bromus rubens",-1.284,40.454,"ES",895199210
"Bromus rubens",-3.06384,37.63835,"ES",232655201
"Bromus rubens",-3.19658,37.57788,"ES",232655197
"Bromus rubens",-1.81007,37.41308,"ES",232655361
"Bromus rubens",-2.59548,37.19339,"ES",232654913
"Bromus rubens",-2.04001,37.31328,"ES",232655363
"Bromus rubens",-1.8099,37.41303,"ES",232654485
"Bromus rubens",-7.27145,37.77743,"ES",232655003
"Bromus rubens",-4.429,36.763,"ES",767622257
"Bromus rubens",-3.82599,37.50631,"ES",232655333
"Bromus rubens",-3.90174,37.46673,"ES",232654656
"Bromus rubens",-4.2105,37.6387,"ES",232655337
"Bromus rubens",-2.26736,37.49703,"ES",232654789
"Bromus rubens",-2.00736,37.27375,"ES",232655360
"Bromus rubens",-1.655,41.359,"ES",895209423
"Bromus rubens",-2.229,40.311,"ES",895200755
"Bromus rubens",-1.619,41.359,"ES",895209491
"Bromus rubens",-4.7956,36.51448,"ES",232655112
"Bromus rubens",-4.10237,36.94474,"ES",232654875
"Bromus rubens",-2.52472,37.28349,"ES",232654876
"Bromus rubens",-2.46712,37.45914,"ES",232654883
"Bromus rubens",-2.77292,38.38348,"ES",232654955
"Bromus rubens",-0.2,39.06,"ES",997607113
"Bromus rubens",-4.73,41.77,"ES",997614471
"Bromus rubens",-5.08855,38.64652,"ES",232655151
"Bromus rubens",-2.95385,38.44335,"ES",232655262
"Bromus rubens",-5.33821,38.52137,"ES",232655160
"Bromus rubens",-5.04387,38.59774,"ES",232655153
"Bromus rubens",-5.12121,38.62811,"ES",232655444
"Bromus rubens",-5.07126,38.60881,"ES",232655152
"Bromus rubens",-2.51623,38.31789,"ES",232654721
"Bromus rubens",-5.01896,38.63683,"ES",232655445
"Bromus rubens",-2.91601,38.38563,"ES",232654438
"Bromus rubens",-5.10459,38.57628,"ES",232655154
"Bromus rubens",-3.15851,37.7401,"ES",232655208
"Bromus rubens",-4.49268,38.38111,"ES",232655048
"Bromus rubens",-2.73142,38.50562,"ES",232654534
"Bromus rubens",-2.09744,37.02076,"ES",232655024
"Bromus rubens",-4.48924,38.35327,"ES",232655053
"Bromus rubens",-3.15593,37.63518,"ES",232655203
"Bromus rubens",-2.91467,38.37002,"ES",232655271
"Bromus rubens",-2.81483,38.46315,"ES",232654493
"Bromus rubens",-5.3835,38.51969,"ES",232655157
"Bromus rubens",-2.54813,38.12324,"ES",232655303
"Bromus rubens",-3.12661,36.7915,"ES",232654771
"Bromus rubens",-5.24166,38.44228,"ES",232655057
"Bromus rubens",-5.24969,38.49894,"ES",232655158
"Bromus rubens",-4.52496,38.4134,"ES",232655147
"Bromus rubens",-4.52466,38.3223,"ES",232655460
"Bromus rubens",-5.42826,38.50505,"ES",232655055
"Bromus rubens",-2.9495,38.37073,"ES",232655278
"Bromus rubens",-3.73443,37.24684,"ES",232654971
"Bromus rubens",-3.12579,36.91422,"ES",232654776
"Bromus rubens",-6.50978,37.004,"ES",232655002
"Bromus rubens",-3.02092,38.39879,"ES",232655279
"Bromus rubens",-5.3311,38.47647,"ES",232655156
"Bromus rubens",-4.52124,38.36359,"ES",232655052
"Bromus rubens",-5.37131,38.53184,"ES",232655056
"Bromus rubens",-5.37113,38.49196,"ES",232655447
"Bromus rubens",-4.85855,36.8366,"ES",232654537
"Bromus rubens",-5.27323,38.49355,"ES",232655159
"Bromus rubens",-4.48576,38.40464,"ES",232655050
"Bromus rubens",-5.25369,38.43673,"ES",232655448
"Bromus rubens",-3.21666,36.79082,"ES",232655424
"Bromus rubens",-3.13228,37.63662,"ES",232655183
"Bromus rubens",-3.28756,37.77153,"ES",232655185
"Bromus rubens",-3.25436,37.7919,"ES",232655181
