"species","lon","lat","countryCode","gbifID"
"Cantua buxifolia",-79.02,-8.12,"PE",319444300
"Cantua buxifolia",-70.71444,-16.21361,"PE",1020349953
"Cantua buxifolia",-74.98139,-12.06139,"PE",575084168
"Cantua buxifolia",-71.87,-15.6,"PE",142946992
"Cantua buxifolia",-69.12,-14.61,"BO",319443947
"Cantua buxifolia",-75.97,-12,"PE",319443934
"Cantua buxifolia",-77.94,-9,"PE",319443983
"Cantua buxifolia",-77.75,-9.5,"PE",666207855
"Cantua buxifolia",-71.67,-13.42,"PE",319443577
"Cantua buxifolia",-78.5,-8,"PE",666195200
"Cantua buxifolia",-67.22,-16.95,"BO",319443349
"Cantua buxifolia",-71.93,-13.5,"PE",319443379
"Cantua buxifolia",-69.5,-14.1,"PE",234591454
"Cantua buxifolia",-69.53,-14.13,"PE",1098394462
"Cantua buxifolia",-68.08,-16.53,"BO",319443372
"Cantua buxifolia",-75.75,-11.33,"PE",319443362
"Cantua buxifolia",-70,-15,"PE",666204462
"Cantua buxifolia",-78.6,-7.93,"PE",319443361
"Cantua buxifolia",-75.5,-11.83,"PE",319443385
"Cantua buxifolia",-68.13,-16.52,"BO",319443374
"Cantua buxifolia",-77.53333,-9.5,"PE",466038531
"Cantua buxifolia",-68.08,-16.5,"BO",319443382
