"species","lon","lat","countryCode","gbifID"
"Ceanothus cuneatus",-122.23327,37.40681,"US",1065586398
"Ceanothus cuneatus",-122.28767,37.46622,"US",1065602012
"Ceanothus cuneatus",-121.91374,37.89787,"US",1088908897
"Ceanothus cuneatus",-121.19075,36.48557,"US",1065607482
"Ceanothus cuneatus",-122.54077,37.84403,"US",1065612738
"Ceanothus cuneatus",-122.56119,37.93324,"US",1065602757
"Ceanothus cuneatus",-121.93053,37.86399,"US",1065608415
"Ceanothus cuneatus",-122.28487,37.46737,"US",1088907305
"Ceanothus cuneatus",-121.91576,37.88074,"US",1088908311
"Ceanothus cuneatus",-120.52673,35.43404,"US",1132402356
"Ceanothus cuneatus",-121.1555,36.47072,"US",1088910824
"Ceanothus cuneatus",-122.28798,37.45904,"US",1088910741
"Ceanothus cuneatus",-116.75783,32.58749,"US",1092906761
"Ceanothus cuneatus",-122.04123,37.81724,"US",1098902735
"Ceanothus cuneatus",-118.82045,34.12979,"US",1132404615
"Ceanothus cuneatus",-122.04171,37.81684,"US",1099977363
"Ceanothus cuneatus",-120.87954,38.76713,"US",1132412172
"Ceanothus cuneatus",-118.8245,34.12904,"US",1132411330
"Ceanothus cuneatus",-121.88632,37.90314,"US",891038648
"Ceanothus cuneatus",-120.94186,38.93378,"US",891035207
"Ceanothus cuneatus",-122.6076,37.90994,"US",920997327
"Ceanothus cuneatus",-122.61971,37.92793,"US",891046088
"Ceanothus cuneatus",-122.066,37.0864,"US",891051416
"Ceanothus cuneatus",-121.93751,37.9031,"US",899959687
"Ceanothus cuneatus",-122.52468,38.4415,"US",891057486
"Ceanothus cuneatus",-122.76116,38.73018,"US",891782193
"Ceanothus cuneatus",-121.90994,37.84672,"US",899953171
"Ceanothus cuneatus",-122.65249,37.93436,"US",899956505
"Ceanothus cuneatus",-121.05087,38.90524,"US",899953861
"Ceanothus cuneatus",-121.1736,38.71639,"US",899951119
"Ceanothus cuneatus",-122.28736,37.46633,"US",899952398
"Ceanothus cuneatus",-121.17356,38.71634,"US",899953649
"Ceanothus cuneatus",-122.64485,37.92888,"US",899959009
"Ceanothus cuneatus",-122.20019,37.19898,"US",899962440
"Ceanothus cuneatus",-120.89139,38.40639,"US",1054794624
"Ceanothus cuneatus",-122.7014,41.129,"US",1064641990
"Ceanothus cuneatus",-121.90705,37.89182,"US",899962644
"Ceanothus cuneatus",-121.91034,37.88619,"US",899970367
"Ceanothus cuneatus",-121.50149,37.17553,"US",910499342
"Ceanothus cuneatus",-122.5585,38.61055,"US",910493630
"Ceanothus cuneatus",-121.17182,38.72525,"US",910495021
"Ceanothus cuneatus",-120.26912,39.31083,"US",910496494
"Ceanothus cuneatus",-122.19269,38.06853,"US",1024328772
"Ceanothus cuneatus",-122.50853,38.44575,"US",910497825
"Ceanothus cuneatus",-120.82656,35.33258,"US",923921559
"Ceanothus cuneatus",-122.40194,38.85833,"US",1036399565
"Ceanothus cuneatus",-116.52443,32.68678,"US",1024328881
"Ceanothus cuneatus",-116.5246,32.6879,"US",1024328887
"Ceanothus cuneatus",-116.74218,33.56757,"US",1024331856
"Ceanothus cuneatus",-121.91436,37.87959,"US",1052576505
"Ceanothus cuneatus",-122.28215,37.46092,"US",891128092
