"species","lon","lat","countryCode","gbifID"
"Cedrus atlantica",-6.69617,32.23603,"MA",920991604
"Cedrus atlantica",-5.10796,33.51965,"MA",920992173
"Cedrus atlantica",-4.94934,32.86575,"MA",921001778
"Cedrus atlantica",-5.1416,33.42227,"MA",1099961383
"Cedrus atlantica",-5.01928,33.53567,"MA",921002904
"Cedrus atlantica",-2.8989,36.9284,"ES",728674761
"Cedrus atlantica",-2.7306,36.9191,"ES",728675048
"Cedrus atlantica",-3.2134,36.9643,"ES",728419563
"Cedrus atlantica",-3.09,37.0636,"ES",728419064
"Cedrus atlantica",-5.11125,33.49611,"MA",891774402
"Cedrus atlantica",-2.76196,36.89151,"ES",232667596
"Cedrus atlantica",-2.51611,37.16741,"ES",232667493
"Cedrus atlantica",-5.18333,33.41667,"MA",574732755
"Cedrus atlantica",-5.2075,33.40806,"MA",574711380
"Cedrus atlantica",-5.2125,33.40028,"MA",574723323
"Cedrus atlantica",-4.98225,36.72034,"ES",232667046
"Cedrus atlantica",-4.97537,36.72459,"ES",232666853
"Cedrus atlantica",-4.64,34.96,"MA",30955607
"Cedrus atlantica",-5.16667,33.35,"MA",574668010
"Cedrus atlantica",-5.18333,33.43333,"MA",575196909
"Cedrus atlantica",-5.15,33.21667,"MA",574799241
"Cedrus atlantica",-5.15,33.36,"MA",575347582
"Cedrus atlantica",-5.15,35.13333,"MA",574660151
"Cedrus atlantica",-5.23333,32.48333,"MA",574934413
"Cedrus atlantica",-5.16667,33.41667,"MA",574722395
"Cedrus atlantica",-5.08333,33.35,"MA",574665837
"Cedrus atlantica",-5.08333,33.01667,"MA",575082789
"Cedrus atlantica",-5.15,33.13333,"MA",574803747
"Cedrus atlantica",-5.1,33.43333,"MA",574850137
"Cedrus atlantica",-5.67,33.02,"MA",1020038744
"Cedrus atlantica",6,36,"DZ",575005842
"Cedrus atlantica",5.5,36.5,"DZ",575082790
"Cedrus atlantica",-4.56,34.91,"MA",574793088
"Cedrus atlantica",-5.13861,33.335,"MA",574901072
"Cedrus atlantica",6.18333,35.55,"DZ",1023577047
"Cedrus atlantica",-5.1,33.97,"MA",1020038748
"Cedrus atlantica",2.83,36.47,"DZ",1020038739
"Cedrus atlantica",4.42,36.82,"DZ",1020038750
"Cedrus atlantica",-5.06,29.72,"ES",617632209
"Cedrus atlantica",-3.09241,37.06594,"ES",857363963
"Cedrus atlantica",-4.57,31.26,"ES",616714061
"Cedrus atlantica",-4.91667,35.0167,"MA",210177419
"Cedrus atlantica",-3.18931,37.16773,"ES",857359976
"Cedrus atlantica",-2.1,37.1,"ES",217905019
"Cedrus atlantica",2.83333,36.46667,"DZ",574909620
"Cedrus atlantica",-4.59,34.92,"MA",1132306070
"Cedrus atlantica",-3.17246,37.14972,"ES",857360037
"Cedrus atlantica",-4.06926,36.91205,"ES",1132356364
"Cedrus atlantica",-5.21667,33.4333,"MA",210177357
"Cedrus atlantica",-4.083,36.92,"ES",199467145
"Cedrus atlantica",-3.41667,35.0833,"MA",210177458
"Cedrus atlantica",-4.976,36.719,"ES",1132322898
"Cedrus atlantica",-5.19694,33.41389,"MA",910461323
"Cedrus atlantica",-4.52073,36.66745,"ES",415616336
"Cedrus atlantica",-3.33571,37.11789,"ES",857359193
"Cedrus atlantica",-4.51667,34.86667,"MA",574795368
"Cedrus atlantica",-5.01,36.66,"ES",617250010
"Cedrus atlantica",6.05,35.57,"DZ",1020038746
"Cedrus atlantica",-4.16667,34.08333,"MA",574723958
"Cedrus atlantica",-3.0867,37.06598,"ES",857364033
"Cedrus atlantica",3.55,36.72,"DZ",1020038753
