"species","lon","lat","countryCode","gbifID"
"Celmisia haastii",168.85557,-45.12405,"NZ",1038319625
"Celmisia haastii",169.21143,-44.84897,"NZ",1065605666
"Celmisia haastii",170.07619,-45.4721,"NZ",1065585351
"Celmisia haastii",169.19169,-45.38979,"NZ",1065609942
"Celmisia haastii",169.71113,-44.20042,"NZ",1038314188
"Celmisia haastii",170.01502,-45.48731,"NZ",1038313533
"Celmisia haastii",169.9171,-45.47683,"NZ",1038301663
"Celmisia haastii",168.82536,-45.08316,"NZ",1038307250
"Celmisia haastii",170.68333,-43.96667,"NZ",574780450
"Celmisia haastii",170.843,-43.1967,"NZ",1091144361
"Celmisia haastii",170.581,-43.2077,"NZ",1091177757
"Celmisia haastii",169.22917,-45.35,"NZ",574778660
"Celmisia haastii",170.14697,-43.69407,"NZ",90677077
"Celmisia haastii",170.35993,-43.58857,"NZ",90676928
"Celmisia haastii",170.02498,-43.81189,"NZ",90677013
"Celmisia haastii",170.32848,-43.63353,"NZ",90676916
"Celmisia haastii",170.03621,-43.81779,"NZ",90677020
"Celmisia haastii",170.00921,-44.03388,"NZ",90677028
"Celmisia haastii",170.34199,-43.57934,"NZ",90676924
"Celmisia haastii",169.95046,-43.88085,"NZ",90676940
"Celmisia haastii",170.57351,-43.54195,"NZ",90676946
"Celmisia haastii",169.998,-43.89054,"NZ",90676950
"Celmisia haastii",170.34092,-43.57604,"NZ",90676931
"Celmisia haastii",170.14922,-43.69492,"NZ",90677072
"Celmisia haastii",170.26763,-43.56211,"NZ",90677093
"Celmisia haastii",170.62379,-43.50778,"NZ",90677027
"Celmisia haastii",169.96255,-43.85303,"NZ",90677067
"Celmisia haastii",169.94591,-43.88079,"NZ",90676937
"Celmisia haastii",170.6215,-43.50941,"NZ",90677023
"Celmisia haastii",170.02135,-43.7748,"NZ",90677087
"Celmisia haastii",170.25959,-43.56778,"NZ",90677092
"Celmisia haastii",170.07019,-43.87007,"NZ",90676945
"Celmisia haastii",169.8788,-44.04774,"NZ",90677016
"Celmisia haastii",169.99927,-43.84035,"NZ",90677033
"Celmisia haastii",170.59775,-43.58494,"NZ",90677046
"Celmisia haastii",170.02469,-43.77731,"NZ",90677078
"Celmisia haastii",170.36558,-43.58946,"NZ",90676930
"Celmisia haastii",170.00245,-44.0305,"NZ",90677040
"Celmisia haastii",170.62264,-43.5086,"NZ",90677014
"Celmisia haastii",170.01502,-43.84714,"NZ",90677025
"Celmisia haastii",169.94988,-43.90306,"NZ",90676932
"Celmisia haastii",169.97849,-43.80799,"NZ",90676951
"Celmisia haastii",170.0091,-43.81085,"NZ",90677068
"Celmisia haastii",169.99461,-43.88967,"NZ",90676948
"Celmisia haastii",169.99034,-43.78839,"NZ",90677021
"Celmisia haastii",170.5791,-43.54694,"NZ",90676936
"Celmisia haastii",169.99257,-43.79007,"NZ",90677024
"Celmisia haastii",170.0094,-43.8446,"NZ",90677029
"Celmisia haastii",170.61923,-43.51021,"NZ",90677017
"Celmisia haastii",170.36332,-43.58943,"NZ",90676920
"Celmisia haastii",170.02947,-43.81441,"NZ",90677019
"Celmisia haastii",170.19483,-43.73577,"NZ",90677051
"Celmisia haastii",169.198,-45.3879,"NZ",1091291074
"Celmisia haastii",170.57303,-43.57322,"NZ",90677086
"Celmisia haastii",170.58793,-43.63589,"NZ",90677030
"Celmisia haastii",170.52949,-43.46505,"NZ",90677098
"Celmisia haastii",169.84067,-43.90152,"NZ",90677097
"Celmisia haastii",170.58461,-43.63092,"NZ",90677031
