"species","lon","lat","countryCode","gbifID"
"Celmisia viscosa",171.70772,-43.10632,"NZ",1065597892
"Celmisia viscosa",171.70541,-43.11548,"NZ",1065607713
"Celmisia viscosa",169.20937,-45.3408,"NZ",1065607632
"Celmisia viscosa",170.08765,-45.41657,"NZ",1038338637
"Celmisia viscosa",171.70554,-43.126,"NZ",1042815242
"Celmisia viscosa",169.19403,-45.30982,"NZ",1052605945
"Celmisia viscosa",169.19169,-45.38979,"NZ",1065609933
"Celmisia viscosa",170.08734,-45.4193,"NZ",1065585332
"Celmisia viscosa",170.08776,-45.4168,"NZ",1038313484
"Celmisia viscosa",170.44086,-45.12723,"NZ",1038312752
"Celmisia viscosa",170.07454,-45.42354,"NZ",1038329482
"Celmisia viscosa",171.748,-43.287,"NZ",1091282728
"Celmisia viscosa",169.61583,-44.57944,"NZ",574816689
"Celmisia viscosa",169.98333,-43.75,"NZ",574753018
"Celmisia viscosa",170.6215,-43.50941,"NZ",90679859
"Celmisia viscosa",169.212,-45.3397,"NZ",1091251963
"Celmisia viscosa",173.054,-42.0756,"NZ",1091179962
"Celmisia viscosa",170.685,-44.375,"NZ",1091140900
"Celmisia viscosa",170.796,-44.4312,"NZ",1091136242
"Celmisia viscosa",168.53099,-44.41891,"NZ",90679862
"Celmisia viscosa",167.67166,-45.2984,"NZ",90679869
"Celmisia viscosa",170.509,-43.9271,"NZ",1091301989
"Celmisia viscosa",170.11667,-45.38333,"NZ",574833880
