"species","lon","lat","countryCode","gbifID"
"Cercocarpus montanus",-116.41734,32.86838,"US",1052603054
"Cercocarpus montanus",-121.91537,37.89726,"US",1065588029
"Cercocarpus montanus",-117.0444,32.83913,"US",1088900886
"Cercocarpus montanus",-118.09966,34.18367,"US",1134962920
"Cercocarpus montanus",-118.92417,34.11701,"US",1092877503
"Cercocarpus montanus",-118.81558,34.13017,"US",1098915157
"Cercocarpus montanus",-116.45182,32.89818,"US",1122965010
"Cercocarpus montanus",-122.04498,37.81594,"US",1099977366
"Cercocarpus montanus",-118.82569,34.12799,"US",1132410971
"Cercocarpus montanus",-118.82513,34.12822,"US",1132411003
"Cercocarpus montanus",-118.16045,34.21879,"US",1135348253
"Cercocarpus montanus",-118.82022,34.13054,"US",1132404559
"Cercocarpus montanus",-118.82039,34.12988,"US",1132404521
"Cercocarpus montanus",-118.64612,34.26538,"US",1132408368
"Cercocarpus montanus",-122.64279,38.557,"US",1135353506
"Cercocarpus montanus",-118.82587,34.12757,"US",1134970800
"Cercocarpus montanus",-121.49725,37.17203,"US",891037856
"Cercocarpus montanus",-119.16595,34.58588,"US",1065580081
"Cercocarpus montanus",-122.58547,38.39823,"US",1024180144
"Cercocarpus montanus",-117.41911,33.46289,"US",1054795518
"Cercocarpus montanus",-117.41911,33.46291,"US",1042750327
"Cercocarpus montanus",-121.90709,37.89192,"US",1092875893
"Cercocarpus montanus",-117.04278,32.84024,"US",899977587
"Cercocarpus montanus",-116.91333,34.08806,"US",1042753860
"Cercocarpus montanus",-117.50346,33.48201,"US",1046602679
"Cercocarpus montanus",-122.53254,38.37547,"US",910495110
"Cercocarpus montanus",-122.53239,38.37556,"US",1024181239
"Cercocarpus montanus",-122.5525,38.61709,"US",910493715
"Cercocarpus montanus",-116.41886,32.86776,"US",910499095
"Cercocarpus montanus",-122.43333,38.87639,"US",1036399562
"Cercocarpus montanus",-119.69932,34.49077,"US",1024205808
"Cercocarpus montanus",-121.91,37.88464,"US",1024207986
"Cercocarpus montanus",-115.59194,36.28417,"US",1051873388
"Cercocarpus montanus",-122.62611,37.96863,"US",1024225886
"Cercocarpus montanus",-116.41407,32.86955,"US",1038340999
"Cercocarpus montanus",-118.14624,34.21458,"US",1042822800
"Cercocarpus montanus",-118.085,34.16224,"US",1052588497
"Cercocarpus montanus",-122.15045,38.46697,"US",1051982594
"Cercocarpus montanus",-119.7984,34.5142,"US",891135054
"Cercocarpus montanus",-117.50146,33.40192,"US",1021004213
"Cercocarpus montanus",-119.79055,34.50522,"US",891136390
"Cercocarpus montanus",-116.67137,34.0092,"US",891132445
"Cercocarpus montanus",-117.5015,33.40189,"US",1042751885
"Cercocarpus montanus",-119.71367,34.43767,"US",1065573317
"Cercocarpus montanus",-117.36694,33.33975,"US",1042751038
"Cercocarpus montanus",-119.94026,34.77149,"US",891142829
"Cercocarpus montanus",-119.92423,34.74737,"US",891144410
"Cercocarpus montanus",-116.51543,34.14472,"US",1021340963
"Cercocarpus montanus",-122.80399,39.0008499990771,"US",1021751634
"Cercocarpus montanus",-121.53167,40.9291699990661,"US",1021183454
"Cercocarpus montanus",-121.94437,37.90815,"US",1024178354
"Cercocarpus montanus",-117.43555,33.45583,"US",1042750329
"Cercocarpus montanus",-118.91856,34.57268,"US",891157715
"Cercocarpus montanus",-116.45101,32.78522,"US",891164560
"Cercocarpus montanus",-121.53961,37.50589,"US",891160256
"Cercocarpus montanus",-116.395,32.71917,"US",891171225
"Cercocarpus montanus",-121.33515,35.85903,"US",891173228
"Cercocarpus montanus",-117.72878,34.2432199991219,"US",1022114228
"Cercocarpus montanus",-118.40869,34.12037,"US",1135342589
"Cercocarpus montanus",-116.44959,32.78674,"US",891025079
"Cercocarpus montanus",-116.57603,33.31322,"US",891172520
"Cercocarpus montanus",-116.84994,32.83289,"US",891173780
"Cercocarpus montanus",-116.50506,32.82223,"US",891720548
"Cercocarpus montanus",-117.67358,34.21603,"US",891174977
"Cercocarpus montanus",-121.91887,37.19093,"US",891174561
"Cercocarpus montanus",-116.45107,32.83813,"US",891730269
"Cercocarpus montanus",-121.93566,37.89839,"US",891723627
"Cercocarpus montanus",-118.62213,36.78234,"US",1132402887
"Cercocarpus montanus",-123.09309,39.3381,"US",891028342
"Cercocarpus montanus",-117.37808,33.42163,"US",1046602678
"Cercocarpus montanus",-118.88298,35.24301,"US",1065574144
"Cercocarpus montanus",-116.5816,32.97653,"US",1135343404
"Cercocarpus montanus",-118.30555,34.23334,"US",891751970
"Cercocarpus montanus",-118.30469,34.23312,"US",891751920
"Cercocarpus montanus",-120.69563,35.29929,"US",891751522
"Cercocarpus montanus",-116.55859,34.2573999991218,"US",1046602288
"Cercocarpus montanus",-121.01502,38.91458,"US",891765018
"Cercocarpus montanus",-117.04826,32.83258,"US",920993757
"Cercocarpus montanus",-122.24915,37.43784,"US",891069404
"Cercocarpus montanus",-118.16517,34.20052,"US",1065572680
"Cercocarpus montanus",-119.7164,33.99736,"US",1022159817
"Cercocarpus montanus",-116.49592,32.704,"US",891073781
"Cercocarpus montanus",-116.6233,33.6421,"US",1020793650
"Cercocarpus montanus",-117.49872,33.36616,"US",1022446195
"Cercocarpus montanus",-116.78778,33.33944,"US",1022464599
"Cercocarpus montanus",-122.2421,37.40524,"US",891078176
"Cercocarpus montanus",-122.73305,38.5672,"US",1135522323
"Cercocarpus montanus",-116.4419,32.66724,"US",1022446212
"Cercocarpus montanus",-116.77833,33.33694,"US",1021167359
"Cercocarpus montanus",-122.31924,40.80539,"US",1021096674
"Cercocarpus montanus",-116.28178,32.76082,"US",1021855512
"Cercocarpus montanus",-116.28181,32.76081,"US",1020889868
"Cercocarpus montanus",-117.3756,33.2262,"US",1021454334
"Cercocarpus montanus",-117.37564,33.22618,"US",1021707247
"Cercocarpus montanus",-116.50416,32.71855,"US",1021855326
"Cercocarpus montanus",-116.79283,33.12192,"US",1021650940
"Cercocarpus montanus",-116.95082,32.69877,"US",1021724248
"Cercocarpus montanus",-116.79283,33.12193,"US",1020913477
"Cercocarpus montanus",-117.55069,33.7525,"US",1020903342
"Cercocarpus montanus",-116.67457,32.68466,"US",1021462254
"Cercocarpus montanus",-120.09908,38.1320799990834,"US",1021096692
"Cercocarpus montanus",-120.09917,38.13222,"US",1022072642
"Cercocarpus montanus",-118.53631,34.06585,"US",891092006
"Cercocarpus montanus",-118.87797,34.08164,"US",1021527326
"Cercocarpus montanus",-118.83956,34.09158,"US",1022457223
"Cercocarpus montanus",-118.449,33.349,"US",1064641282
"Cercocarpus montanus",-116.4891,33.5448,"US",1020793865
"Cercocarpus montanus",-118.43425,33.34315,"US",1064641281
"Cercocarpus montanus",-118.57509,35.15914,"US",891098963
"Cercocarpus montanus",-121.39192,40.947719999066,"US",1064641146
"Cercocarpus montanus",-121.93073,37.89567,"US",891099972
"Cercocarpus montanus",-117.26466,33.39766,"US",1021462331
"Cercocarpus montanus",-121.71542,39.80583,"US",768798475
"Cercocarpus montanus",-116.30914,33.04962,"US",1022455812
"Cercocarpus montanus",-116.50302,34.14308,"US",1046606613
"Cercocarpus montanus",-116.46863,32.7225,"US",1021002859
"Cercocarpus montanus",-122.62083,39.5652799990734,"US",1021616136
"Cercocarpus montanus",-117.53778,34.14,"US",1022235227
"Cercocarpus montanus",-116.87785,32.75343,"US",1021431310
"Cercocarpus montanus",-116.72472,33.37222,"US",1021657436
"Cercocarpus montanus",-122.08273,38.5283199990804,"US",1022012594
"Cercocarpus montanus",-121.47,40.924,"US",1064638572
"Cercocarpus montanus",-116.24757,34.0140999991247,"US",1021607756
"Cercocarpus montanus",-122.61694,39.7144399990725,"US",1021616094
"Cercocarpus montanus",-122.6204,40.6429,"US",1064638487
"Cercocarpus montanus",-122.23736,37.40753,"US",891063813
"Cercocarpus montanus",-118.41592,34.11195,"US",1135342166
"Cercocarpus montanus",-117.54433,33.38363,"US",1022465587
"Cercocarpus montanus",-122.92155,38.80751,"US",891065528
"Cercocarpus montanus",-122.23935,37.40697,"US",891065717
"Cercocarpus montanus",-122.74445,38.60796,"US",891066033
"Cercocarpus montanus",-117.61944,33.79806,"US",1021761924
