"species","lon","lat","countryCode","gbifID"
"Crinodendron hookerianum",-73.61056,-40.45806,"CL",574765081
"Crinodendron hookerianum",-73.65,-40.43333,"CL",574919912
"Crinodendron hookerianum",-72.78333,-42.3,"CL",574668955
"Crinodendron hookerianum",-72.60194,-41.51556,"CL",574744060
"Crinodendron hookerianum",-72.39667,-41.89,"CL",574862145
"Crinodendron hookerianum",-74.13028,-42.32861,"CL",574784176
"Crinodendron hookerianum",-73.55778,-41.92944,"CL",574682424
"Crinodendron hookerianum",-73.95722,-42.73528,"CL",574667820
"Crinodendron hookerianum",-72.61,-41.6,"CL",319798600
"Crinodendron hookerianum",-72.58333,-41.5,"CL",575270167
