"species","lon","lat","countryCode","gbifID"
"Cunonia capensis",30.16,-31.01,"ZA",1007049922
"Cunonia capensis",18.625,-33.625,"ZA",685197354
"Cunonia capensis",18.875,-34.375,"ZA",461761071
"Cunonia capensis",22.375,-33.875,"ZA",461761070
"Cunonia capensis",20.875,-33.875,"ZA",461761049
"Cunonia capensis",19.125,-33.625,"ZA",461761045
"Cunonia capensis",31.125,-28.625,"ZA",461761044
"Cunonia capensis",30.125,-31.125,"ZA",616253396
"Cunonia capensis",23.375,-34.125,"ZA",461760950
"Cunonia capensis",24.125,-34.125,"ZA",461760945
"Cunonia capensis",19.375,-34.375,"ZA",461760951
"Cunonia capensis",18.875,-33.875,"ZA",461761048
"Cunonia capensis",31.375,-27.875,"ZA",461761052
"Cunonia capensis",21.125,-33.875,"ZA",461760943
"Cunonia capensis",18.375,-33.875,"ZA",461760940
"Cunonia capensis",23.125,-33.875,"ZA",461760938
"Cunonia capensis",18.55,-33.56,"ZA",250931086
"Cunonia capensis",25.125,-33.625,"ZA",461760996
"Cunonia capensis",23.875,-33.625,"ZA",461760944
"Cunonia capensis",24.875,-33.625,"ZA",461760976
"Cunonia capensis",25.875,-33.375,"ZA",461761035
"Cunonia capensis",19.375,-34.125,"ZA",461760937
"Cunonia capensis",20.375,-33.875,"ZA",461761007
"Cunonia capensis",18.875,-34.125,"ZA",461760974
"Cunonia capensis",30.375,-30.625,"ZA",616253387
"Cunonia capensis",30.375,-29.625,"ZA",461760970
"Cunonia capensis",22.625,-33.875,"ZA",461761054
"Cunonia capensis",18.375,-34.125,"ZA",461761032
"Cunonia capensis",19.875,-34.375,"ZA",461760992
"Cunonia capensis",22.625,-33.375,"ZA",461760983
"Cunonia capensis",23.625,-33.875,"ZA",461761030
"Cunonia capensis",26.625,-33.375,"ZA",461760997
"Cunonia capensis",23.125,-34.125,"ZA",461760990
"Cunonia capensis",26.875,-33.375,"ZA",461761018
"Cunonia capensis",30.875,-28.625,"ZA",461760953
"Cunonia capensis",30.625,-28.625,"ZA",461760966
"Cunonia capensis",25.125,-33.875,"ZA",461760979
"Cunonia capensis",25.625,-33.375,"ZA",461761016
"Cunonia capensis",30.875,-29.875,"ZA",461760961
"Cunonia capensis",19.375,-33.375,"ZA",461761041
"Cunonia capensis",20.125,-33.875,"ZA",461761015
"Cunonia capensis",24.875,-34.125,"ZA",461761001
"Cunonia capensis",18.875,-33.625,"ZA",461760977
"Cunonia capensis",24.375,-34.125,"ZA",461760999
"Cunonia capensis",22.125,-33.625,"ZA",461761029
"Cunonia capensis",31.625,-28.875,"ZA",461760969
"Cunonia capensis",22.125,-34.125,"ZA",461761013
"Cunonia capensis",30.375,-30.375,"ZA",461760972
"Cunonia capensis",30.125,-29.375,"ZA",616253371
"Cunonia capensis",27.375,-32.625,"ZA",461760998
"Cunonia capensis",27.375,-31.875,"ZA",461761033
"Cunonia capensis",19.625,-34.125,"ZA",461760980
"Cunonia capensis",18.375,-34.375,"ZA",461761025
"Cunonia capensis",30.625,-28.125,"ZA",616253370
