"species","lon","lat","countryCode","gbifID"
"Cupressus sempervirens",26.22265,39.22161,"GR",921341214
"Cupressus sempervirens",15.96608,41.73514,"IT",921349010
"Cupressus sempervirens",12.03724,42.78558,"IT",921349777
"Cupressus sempervirens",13.47387,45.71121,"IT",921345314
"Cupressus sempervirens",11.67842,43.0771,"IT",921341828
"Cupressus sempervirens",12.47944,41.89857,"IT",921344211
"Cupressus sempervirens",19.50752,41.28934,"AL",921340850
"Cupressus sempervirens",32.34049,34.92295,"CY",921348731
"Cupressus sempervirens",22.49871,38.48201,"GR",921349817
"Cupressus sempervirens",27.14985,36.81726,"GR",921342499
"Cupressus sempervirens",13.73583,45.13139,"HR",874689888
"Cupressus sempervirens",14.7179,44.77571,"HR",921345295
"Cupressus sempervirens",27.17863,37.63346,"TR",921346689
"Cupressus sempervirens",27.40707,37.7548,"TR",921349437
"Cupressus sempervirens",27.26425,37.49717,"TR",921341588
"Cupressus sempervirens",36.68816,36.23015,"SY",921341349
"Cupressus sempervirens",31,36,"TR",1095896548
"Cupressus sempervirens",28.15,36.23278,"GR",237342236
"Cupressus sempervirens",27.61056,36.27666,"GR",237342238
"Cupressus sempervirens",28.155,36.235,"GR",237342239
"Cupressus sempervirens",27.87283,36.23872,"GR",1038612014
"Cupressus sempervirens",27.72655,36.12414,"GR",1038613033
"Cupressus sempervirens",27.95964,36.21585,"GR",1038612075
"Cupressus sempervirens",27.80613,35.94852,"GR",1038612531
"Cupressus sempervirens",27.96081,36.21528,"GR",1038613085
"Cupressus sempervirens",33.15882,35.32452,"CY",895204626
"Cupressus sempervirens",22.48278,38.005,"GR",367029829
"Cupressus sempervirens",22.48,38,"GR",895206949
"Cupressus sempervirens",22.47,38,"GR",211310806
"Cupressus sempervirens",33.4031,35.29123,"CY",921336673
"Cupressus sempervirens",34.74311,31.9373,"IL",48477009
"Cupressus sempervirens",35.13252,31.64142,"IL",48736013
"Cupressus sempervirens",35.22026,33.07614,"IL",43779546
"Cupressus sempervirens",34.68096,31.7071,"IL",42297517
"Cupressus sempervirens",34.95542,32.03529,"IL",48721344
"Cupressus sempervirens",34.91413,32.0334,"IL",48577985
"Cupressus sempervirens",34.916,32.11276,"IL",48692035
"Cupressus sempervirens",35.06475,31.84337,"IL",48667995
"Cupressus sempervirens",35.31422,32.84436,"IL",42287769
"Cupressus sempervirens",36.13,35.68,"SY",912136967
"Cupressus sempervirens",35.03853,31.73602,"IL",43925744
"Cupressus sempervirens",35.13117,32.01207,"IL",48598998
"Cupressus sempervirens",35.25218,32.68209,"IL",43498155
"Cupressus sempervirens",35.02266,31.75584,"IL",48850640
"Cupressus sempervirens",24.905,35.1506,"GR",9132284
"Cupressus sempervirens",25.3947,35.0058,"GR",9132285
"Cupressus sempervirens",23.71399,37.98317,"GR",921342792
"Cupressus sempervirens",35.07229,31.74418,"IL",42385422
"Cupressus sempervirens",35.37931,32.25996,"IL",43642931
"Cupressus sempervirens",34.87937,32.28311,"IL",48805815
"Cupressus sempervirens",34.88253,32.28943,"IL",48769445
"Cupressus sempervirens",26.06667,38.56667,"GR",788486519
"Cupressus sempervirens",34.86357,32.25061,"IL",48754483
"Cupressus sempervirens",34.8727,32.36696,"IL",48757560
"Cupressus sempervirens",25,35.16667,"GR",1099848692
"Cupressus sempervirens",35.47057,32.97487,"IL",48727176
"Cupressus sempervirens",35.11554,32.84708,"IL",43066008
"Cupressus sempervirens",34.87768,32.16227,"IL",48730256
"Cupressus sempervirens",35.26503,32.75873,"IL",48780096
"Cupressus sempervirens",35.47057,32.97758,"IL",42232248
"Cupressus sempervirens",35.06533,32.84884,"IL",48437987
"Cupressus sempervirens",35.38069,31.87309,"IL",48509780
"Cupressus sempervirens",35.63443,33.23499,"IL",42984621
"Cupressus sempervirens",35.21489,32.91925,"IL",48353701
"Cupressus sempervirens",29.1,41.03333,"TR",575324363
"Cupressus sempervirens",35.20104,31.77311,"IL",48509848
"Cupressus sempervirens",35.21,32.91,"IL",1094530254
"Cupressus sempervirens",35.04091,31.58181,"IL",48552784
"Cupressus sempervirens",35.62986,33.1764,"IL",43568596
"Cupressus sempervirens",35.46842,32.97217,"IL",48358326
"Cupressus sempervirens",35.45558,32.97039,"IL",42340086
"Cupressus sempervirens",35.52639,33.02884,"IL",48941306
"Cupressus sempervirens",35.46523,32.97759,"IL",48509707
"Cupressus sempervirens",35.46522,32.97669,"IL",48728796
"Cupressus sempervirens",35.47697,32.97035,"IL",48721759
"Cupressus sempervirens",35.03881,31.5773,"IL",48903330
"Cupressus sempervirens",35.16159,32.60455,"IL",42568527
"Cupressus sempervirens",35.54826,33.1487,"IL",48902262
"Cupressus sempervirens",35.02867,31.9272,"IL",48439369
"Cupressus sempervirens",23.5,40.4166,"GR",202975024
"Cupressus sempervirens",35.00646,31.92717,"IL",48619478
"Cupressus sempervirens",35.08273,32.62433,"IL",48341887
"Cupressus sempervirens",35.04953,32.71898,"IL",48749752
"Cupressus sempervirens",34.98423,31.94066,"IL",48602253
"Cupressus sempervirens",35.12515,31.62698,"IL",48340344
"Cupressus sempervirens",35.12516,31.61796,"IL",48341965
"Cupressus sempervirens",35.03038,31.58179,"IL",48341963
"Cupressus sempervirens",35.13252,31.64502,"IL",48341966
"Cupressus sempervirens",35.08832,31.57735,"IL",48341960
"Cupressus sempervirens",35.13043,31.62247,"IL",48341964
"Cupressus sempervirens",35.07246,31.61792,"IL",48341968
"Cupressus sempervirens",35.01482,31.46002,"IL",48341962
"Cupressus sempervirens",35.04111,31.46907,"IL",48341961
"Cupressus sempervirens",35.00183,32.58545,"IL",48882102
"Cupressus sempervirens",13.6065,43.4352,"IT",202974491
"Cupressus sempervirens",28.01762,37.75268,"TR",788721268
"Cupressus sempervirens",20.53,31.98,"LY",912137022
"Cupressus sempervirens",24.16667,35.23333,"GR",788469806
"Cupressus sempervirens",13.6333,45.0833,"HR",202974780
"Cupressus sempervirens",24.38,36.67,"GR",912137093
"Cupressus sempervirens",27.22,36.85,"GR",912137038
"Cupressus sempervirens",28.25,36.9,"TR",912136933
"Cupressus sempervirens",27.57,37.72,"TR",912136946
"Cupressus sempervirens",22.15,37.03333,"GR",1023747329
"Cupressus sempervirens",21.72,32.77,"LY",912137044
"Cupressus sempervirens",26.61667,37.73333,"GR",788496264
"Cupressus sempervirens",35.95,34.2,"LB",912137045
"Cupressus sempervirens",32.33,36.3,"TR",912124513
"Cupressus sempervirens",31.75,36.92,"TR",912136939
"Cupressus sempervirens",21.87,32.83,"LY",912137066
"Cupressus sempervirens",36.08,35.13,"SY",912137077
"Cupressus sempervirens",29.72,36.37,"TR",912136931
"Cupressus sempervirens",32.88,34.97,"CY",912137079
"Cupressus sempervirens",27.95,36.26667,"GR",788486751
"Cupressus sempervirens",22.11667,38.03333,"GR",788532740
"Cupressus sempervirens",11.1656,46.6715,"IT",296449106
"Cupressus sempervirens",13.76665,45.69595,"IT",788469751
"Cupressus sempervirens",34.75,32.03333,"IL",1023538199
"Cupressus sempervirens",11.33639,46.505,"IT",296449110
"Cupressus sempervirens",19.9,39.61667,"GR",788486462
"Cupressus sempervirens",11.34472,46.50028,"IT",296449114
"Cupressus sempervirens",11.36861,46.53389,"IT",296449109
"Cupressus sempervirens",27.95,37.28,"TR",912137028
"Cupressus sempervirens",34.58,36.88,"TR",912136980
