"species","lon","lat","countryCode","gbifID"
"Cussonia paniculata",25.45419,-32.24111,"ZA",886277407
"Cussonia paniculata",28.93078,-28.68828,"ZA",886639441
"Cussonia paniculata",23.375,-33.375,"ZA",461761713
"Cussonia paniculata",28.375,-25.625,"ZA",461761865
"Cussonia paniculata",27.375,-26.875,"ZA",461761867
"Cussonia paniculata",27.875,-26.125,"ZA",461761864
"Cussonia paniculata",25.375,-31.625,"ZA",461761712
"Cussonia paniculata",30.375,-25.375,"ZA",461761857
"Cussonia paniculata",27.875,-26.875,"ZA",461761868
"Cussonia paniculata",29.875,-25.625,"ZA",461761859
"Cussonia paniculata",27.875,-25.875,"ZA",461761856
"Cussonia paniculata",30.125,-25.125,"ZA",461761861
"Cussonia paniculata",28.625,-28.375,"ZA",461761854
"Cussonia paniculata",28.125,-30.875,"ZA",461761709
"Cussonia paniculata",26.125,-32.375,"ZA",461761708
"Cussonia paniculata",26.875,-30.375,"ZA",461761852
"Cussonia paniculata",29.375,-31.125,"ZA",461761705
"Cussonia paniculata",26.375,-28.875,"ZA",461761850
"Cussonia paniculata",30.125,-24.125,"ZA",461761848
"Cussonia paniculata",22.625,-32.125,"ZA",461761697
"Cussonia paniculata",29.875,-24.125,"ZA",461761707
"Cussonia paniculata",22.625,-32.375,"ZA",461761696
"Cussonia paniculata",24.125,-33.625,"ZA",461761693
"Cussonia paniculata",29.125,-29.625,"ZA",461761844
"Cussonia paniculata",30.125,-25.375,"ZA",461761845
"Cussonia paniculata",30.625,-25.375,"ZA",461761843
"Cussonia paniculata",26.375,-33.125,"ZA",461761694
"Cussonia paniculata",28.875,-25.375,"ZA",461761842
"Cussonia paniculata",24.375,-32.375,"ZA",461761698
"Cussonia paniculata",27.625,-29.375,"LS",461761841
"Cussonia paniculata",24.875,-29.625,"ZA",461761838
"Cussonia paniculata",27.125,-30.375,"ZA",461761839
"Cussonia paniculata",27.625,-24.375,"ZA",461761840
"Cussonia paniculata",30.375,-30.875,"ZA",461761862
"Cussonia paniculata",30.375,-27.375,"ZA",461761836
"Cussonia paniculata",21.42,-33.37,"ZA",912248859
"Cussonia paniculata",22.125,-31.625,"ZA",461761690
"Cussonia paniculata",26.125,-31.375,"ZA",461761688
"Cussonia paniculata",29.125,-28.375,"ZA",461761847
"Cussonia paniculata",22.375,-33.625,"ZA",461761855
"Cussonia paniculata",27.125,-25.625,"ZA",461761704
"Cussonia paniculata",29.125,-28.625,"ZA",461761831
"Cussonia paniculata",27.125,-29.125,"ZA",461761834
"Cussonia paniculata",30.625,-24.875,"ZA",461761829
"Cussonia paniculata",28.125,-25.875,"ZA",461761837
"Cussonia paniculata",25.875,-25.375,"ZA",461761830
"Cussonia paniculata",30.375,-25.625,"ZA",461761822
"Cussonia paniculata",27.625,-29.125,"LS",461761799
"Cussonia paniculata",28.125,-28.375,"ZA",461761722
"Cussonia paniculata",23.875,-33.625,"ZA",461761687
"Cussonia paniculata",19.625,-33.625,"ZA",461761685
"Cussonia paniculata",22.125,-33.375,"ZA",461761691
"Cussonia paniculata",29.875,-28.625,"ZA",461761827
"Cussonia paniculata",28.875,-31.125,"ZA",461761660
"Cussonia paniculata",23.125,-33.375,"ZA",461761658
"Cussonia paniculata",30.875,-25.125,"ZA",461761817
"Cussonia paniculata",29.125,-30.625,"ZA",461761662
"Cussonia paniculata",28.98,-30.92,"ZA",912248868
"Cussonia paniculata",28.125,-25.625,"ZA",461761833
"Cussonia paniculata",29.875,-23.875,"ZA",461761695
"Cussonia paniculata",28.625,-25.625,"ZA",461761803
"Cussonia paniculata",29.81,-23.93,"ZA",912248949
"Cussonia paniculata",28.125,-26.625,"ZA",461761767
"Cussonia paniculata",25.625,-31.125,"ZA",461761671
"Cussonia paniculata",28.375,-25.875,"ZA",461761778
"Cussonia paniculata",27.875,-28.875,"ZA",461761835
"Cussonia paniculata",27.375,-26.375,"ZA",461761805
"Cussonia paniculata",28.875,-28.625,"ZA",461761782
"Cussonia paniculata",26.125,-30.375,"ZA",461761723
"Cussonia paniculata",25.625,-32.125,"ZA",461761682
"Cussonia paniculata",29.375,-28.625,"ZA",461761703
"Cussonia paniculata",26.375,-29.125,"ZA",461761823
"Cussonia paniculata",25.625,-32.625,"ZA",461761673
"Cussonia paniculata",26.375,-29.875,"ZA",461761851
"Cussonia paniculata",29.375,-25.375,"ZA",461761739
"Cussonia paniculata",27.125,-28.375,"ZA",461761724
"Cussonia paniculata",27.625,-26.125,"ZA",461761715
"Cussonia paniculata",28.625,-28.625,"ZA",461761725
"Cussonia paniculata",29.625,-29.375,"ZA",461761781
"Cussonia paniculata",27.125,-31.625,"ZA",461761674
"Cussonia paniculata",26.625,-30.625,"ZA",461761675
"Cussonia paniculata",29.375,-28.375,"ZA",461761826
"Cussonia paniculata",26.875,-29.125,"ZA",461761730
"Cussonia paniculata",27.125,-31.375,"ZA",461761655
"Cussonia paniculata",26.875,-31.875,"ZA",461761654
"Cussonia paniculata",27.625,-25.875,"ZA",461761717
"Cussonia paniculata",30.875,-24.625,"ZA",461761766
"Cussonia paniculata",29.375,-25.625,"ZA",461761761
"Cussonia paniculata",25.7,-25.17,"BW",912248881
"Cussonia paniculata",27.875,-31.375,"ZA",461761686
"Cussonia paniculata",25.625,-25.125,"BW",461761711
"Cussonia paniculata",30.625,-24.625,"ZA",461761743
"Cussonia paniculata",31.125,-26.625,"SZ",461761825
"Cussonia paniculata",29.625,-27.625,"ZA",461761785
"Cussonia paniculata",27.875,-25.625,"ZA",461761744
"Cussonia paniculata",29.125,-28.875,"ZA",461761788
"Cussonia paniculata",28.375,-26.375,"ZA",461761756
"Cussonia paniculata",25.125,-31.375,"ZA",461761670
"Cussonia paniculata",30.375,-27.625,"ZA",461761792
"Cussonia paniculata",28.625,-31.375,"ZA",461761665
"Cussonia paniculata",28.375,-29.125,"ZA",461761791
"Cussonia paniculata",29.875,-27.375,"ZA",461761797
"Cussonia paniculata",29.375,-29.125,"ZA",461761798
"Cussonia paniculata",29.625,-30.625,"ZA",461761795
"Cussonia paniculata",23.125,-33.625,"ZA",461761681
"Cussonia paniculata",27.375,-31.625,"ZA",461761669
"Cussonia paniculata",29.875,-29.125,"ZA",461761786
"Cussonia paniculata",26.875,-25.625,"ZA",461761777
"Cussonia paniculata",25.375,-24.625,"BW",461761735
"Cussonia paniculata",30.125,-24.875,"ZA",461761771
"Cussonia paniculata",27.125,-26.625,"ZA",461761776
"Cussonia paniculata",28.125,-26.125,"ZA",461761752
