"species","lon","lat","countryCode","gbifID"
"Dais cotinifolia",28,-26.18,"ZA",1007041192
"Dais cotinifolia",29.375,-28.875,"ZA",453199074
"Dais cotinifolia",30.625,-25.875,"ZA",685197978
"Dais cotinifolia",30.875,-28.875,"ZA",616257718
"Dais cotinifolia",30.625,-27.375,"ZA",329091846
"Dais cotinifolia",29.875,-29.875,"ZA",616257721
"Dais cotinifolia",30.875,-26.625,"SZ",453199073
"Dais cotinifolia",28.375,-25.625,"ZA",453199071
"Dais cotinifolia",31.125,-28.625,"ZA",616257720
"Dais cotinifolia",30.375,-25.125,"ZA",453199069
"Dais cotinifolia",30.375,-27.125,"ZA",453199068
"Dais cotinifolia",30.375,-25.375,"ZA",453199070
"Dais cotinifolia",29.875,-28.125,"ZA",453199041
"Dais cotinifolia",31.375,-26.125,"SZ",453199056
"Dais cotinifolia",31.125,-25.875,"ZA",453199054
"Dais cotinifolia",30.375,-29.625,"ZA",453199067
"Dais cotinifolia",31.125,-26.125,"SZ",453199048
"Dais cotinifolia",31.375,-27.875,"ZA",453199062
"Dais cotinifolia",29.125,-28.875,"ZA",453199045
"Dais cotinifolia",28.375,-32.375,"ZA",453199043
"Dais cotinifolia",28.875,-31.625,"ZA",453199037
"Dais cotinifolia",31.125,-29.875,"ZA",453199040
"Dais cotinifolia",30.375,-26.625,"ZA",453199042
"Dais cotinifolia",30.875,-25.375,"ZA",453199038
"Dais cotinifolia",30.375,-25.625,"ZA",453199047
"Dais cotinifolia",30.125,-30.875,"ZA",453199032
"Dais cotinifolia",29.375,-28.375,"ZA",453199033
"Dais cotinifolia",26.875,-31.875,"ZA",453198954
"Dais cotinifolia",29.625,-28.375,"ZA",453199036
"Dais cotinifolia",29.875,-28.875,"ZA",453199028
"Dais cotinifolia",27.875,-28.875,"ZA",453198993
"Dais cotinifolia",30.625,-25.125,"ZA",453198992
"Dais cotinifolia",28.125,-25.625,"ZA",453199034
"Dais cotinifolia",30.625,-24.875,"ZA",453198979
"Dais cotinifolia",29.375,-28.625,"ZA",453199050
"Dais cotinifolia",29.625,-31.625,"ZA",453198956
"Dais cotinifolia",30.375,-30.875,"ZA",453199006
"Dais cotinifolia",29.375,-29.125,"ZA",453199031
"Dais cotinifolia",30.375,-27.375,"ZA",453199010
"Dais cotinifolia",31.125,-26.625,"SZ",453199049
"Dais cotinifolia",30.125,-23.625,"ZA",453198988
"Dais cotinifolia",27.625,-29.375,"LS",453198939
"Dais cotinifolia",30.625,-28.375,"ZA",453199001
"Dais cotinifolia",32.125,-28.125,"ZA",453199066
"Dais cotinifolia",29.875,-29.125,"ZA",453199002
"Dais cotinifolia",29.625,-29.125,"ZA",453198998
"Dais cotinifolia",29.125,-28.625,"ZA",453199051
"Dais cotinifolia",30.125,-25.375,"ZA",453198969
"Dais cotinifolia",30.875,-28.625,"ZA",453199064
"Dais cotinifolia",30.875,-24.625,"ZA",453198983
"Dais cotinifolia",30.125,-29.875,"ZA",453199023
"Dais cotinifolia",29.875,-30.375,"ZA",453199060
"Dais cotinifolia",29.875,-27.375,"ZA",453199021
"Dais cotinifolia",29.125,-31.875,"ZA",453198944
"Dais cotinifolia",30.125,-26.625,"ZA",453198973
"Dais cotinifolia",30.375,-27.625,"ZA",453199007
"Dais cotinifolia",30.375,-30.375,"ZA",453199022
"Dais cotinifolia",27.875,-33.125,"ZA",453198953
"Dais cotinifolia",28.375,-32.625,"ZA",453198955
"Dais cotinifolia",26,-30,"ZA",1098997725
