"species","lon","lat","countryCode","gbifID"
"Drimys winteri",-71.49028,-36.97,"CL",890165155
"Drimys winteri",-71.49019,-36.97,"CL",774096550
"Drimys winteri",-69.1844,-55.02064,"CL",1098236994
"Drimys winteri",-73.35314,-39.73803,"CL",574676474
"Drimys winteri",-73.31433,-39.69392,"CL",574693717
"Drimys winteri",-66.80778,-54.95,"AR",773971098
"Drimys winteri",-68.54111,-54.84556,"AR",773945527
"Drimys winteri",-73.05417,-50.49194,"AR",773951301
"Drimys winteri",-66.015,-54.74917,"AR",1042038175
"Drimys winteri",-73.51139,-40.17333,"CL",773956692
"Drimys winteri",-70.94806,-53.52194,"CL",773928112
"Drimys winteri",-82.87,9.09,"PA",320051856
"Drimys winteri",-71.36583,-36.65056,"CL",773968821
"Drimys winteri",-82.88,9.14,"PA",320051854
"Drimys winteri",-82.88,9.1,"PA",320051855
"Drimys winteri",-71.62833,-36.84972,"CL",773988190
"Drimys winteri",-73.05861,-41.07528,"CL",773958277
"Drimys winteri",-71.76,-40.16,"AR",320052048
"Drimys winteri",-44.74119,-22.36544,"BR",1090572982
"Drimys winteri",-44.74136,-22.36544,"BR",1099305121
"Drimys winteri",-71.68694,-39.01056,"CL",575250515
"Drimys winteri",-75.6667,6.16667,"CO",731485122
"Drimys winteri",-66.99389,-54.92306,"AR",995532436
"Drimys winteri",-71.67361,-30.66667,"CL",575247081
"Drimys winteri",-67.6272,-54.9414,"CL",1097201903
"Drimys winteri",-67.627,-54.941,"CL",216615276
"Drimys winteri",-80.10266,8.50719,"PA",1057592357
"Drimys winteri",-82.91,9.08,"PA",320051705
"Drimys winteri",-73.99,-48.69,"CL",997116217
"Drimys winteri",-70.95,-33.2,"CL",912730646
"Drimys winteri",-73.26861,-39.80278,"CL",575260777
"Drimys winteri",-96.98,18.15,"MX",320051631
"Drimys winteri",-43.50806,-20.28778,"BR",1087515929
"Drimys winteri",-43.89723,-21.69666,"BR",911762205
"Drimys winteri",-72.88748,-51.74935,"CL",415928661
"Drimys winteri",-67.65308,-54.94348,"CL",415928668
"Drimys winteri",-47.56667,-15.68333,"BR",575037182
"Drimys winteri",-47.57,-15.68,"BR",320051925
"Drimys winteri",-71.23,-34.22,"CL",142953155
"Drimys winteri",-72.78333,-42.3,"CL",574747298
"Drimys winteri",-73.66167,-40.44611,"CL",574958420
"Drimys winteri",-71.96056,-39.7675,"CL",574825573
"Drimys winteri",-72.89694,-37.81083,"CL",574940803
"Drimys winteri",-66.93,-55.02,"CL",142953116
"Drimys winteri",-74.03833,-42.38,"CL",575291594
"Drimys winteri",-72.54042,-41.57881,"CL",574712940
"Drimys winteri",-75.676,6.66393,"CO",731485121
"Drimys winteri",-70.12,-53.72,"CL",142953200
"Drimys winteri",-70.76667,-34.98333,"CL",574835755
"Drimys winteri",-73.55,-45.86667,"CL",574992187
"Drimys winteri",-73.75,4.75,"CO",320051320
"Drimys winteri",-71.63333,-36.85,"CL",574790445
"Drimys winteri",-84.11666,10.13333,"CR",415928666
"Drimys winteri",-73.25,-39.81,"CL",320052057
"Drimys winteri",-73.67,4.58,"CO",320051283
"Drimys winteri",-84.13333,10.01667,"CR",367031936
"Drimys winteri",-73.46667,-40.16667,"CL",574722940
"Drimys winteri",-72.5,-39.85,"CL",574913477
"Drimys winteri",-84.2,10.16667,"CR",367031934
"Drimys winteri",-71.18333,-37.88333,"CL",367031931
"Drimys winteri",-73.4,-51.63,"CL",142953198
"Drimys winteri",-73.41667,-45.71667,"CL",367031930
"Drimys winteri",-73.5,-40.17,"CL",320051278
"Drimys winteri",-72.17,-40.75,"CL",320051303
"Drimys winteri",-73.17,-39.5,"CL",320051269
"Drimys winteri",-68.4519640759697,-54.6826732658658,"AR",994598835
"Drimys winteri",-67.22,-55.97,"CL",320051885
"Drimys winteri",-71.08,-33.05,"CL",320051442
"Drimys winteri",-71.93333,-40.61667,"AR",1046198791
"Drimys winteri",-73.61115,-50.24476,"AR",991880461
"Drimys winteri",-72.8421,-50.46553,"AR",812042798
"Drimys winteri",-65.26667,-54.8,"AR",575309996
"Drimys winteri",-65.27,-54.8,"AR",320051950
"Drimys winteri",-64.11667,-54.81667,"AR",575345397
"Drimys winteri",-64.68,-54.8,"AR",320051951
"Drimys winteri",-64.23333,-54.68333,"AR",575070549
"Drimys winteri",-96.833,18.117,"MX",235748648
"Drimys winteri",-96.483,17.5,"MX",235748624
"Drimys winteri",-44,-18,"BR",666269019
"Drimys winteri",-45.5914,-22.7394,"BR",1090547570
"Drimys winteri",-73.23333,-50.33333,"AR",995210269
"Drimys winteri",-72.41667,-50.21667,"AR",367031928
"Drimys winteri",-72.5,-49.75,"AR",320051932
"Drimys winteri",-71.2,-40.25,"AR",415955558
"Drimys winteri",-65.23333,-54.61667,"AR",367031925
"Drimys winteri",-72.95,-41.47,"CL",121516321
"Drimys winteri",-72.5,-41.1,"CL",121516319
"Drimys winteri",-71.81667,-41.03333,"AR",367031927
"Drimys winteri",-68,-41.38333,"AR",367031924
"Drimys winteri",-88.8833,14.0667,"SV",1090546755
"Drimys winteri",-100.17,17.45,"MX",320052029
"Drimys winteri",-73.76667,-42.5,"CL",1098986267
