"species","lon","lat","countryCode","gbifID"
"Elegia capensis",19.125,-34.125,"ZA",685200169
"Elegia capensis",19.125,-32.375,"ZA",461819417
"Elegia capensis",18.875,-32.125,"ZA",329092013
"Elegia capensis",19.625,-33.375,"ZA",461819447
"Elegia capensis",23.375,-33.875,"ZA",461819420
"Elegia capensis",20.375,-33.875,"ZA",461819419
"Elegia capensis",19.375,-32.625,"ZA",461819415
"Elegia capensis",19.125,-32.625,"ZA",461819414
"Elegia capensis",19.125,-32.875,"ZA",461819410
"Elegia capensis",19.125,-33.625,"ZA",461819421
"Elegia capensis",21.875,-33.375,"ZA",461819397
"Elegia capensis",21.375,-34.125,"ZA",461819467
"Elegia capensis",19.125,-33.375,"ZA",461819395
"Elegia capensis",21.375,-33.375,"ZA",461819470
"Elegia capensis",19.125,-33.125,"ZA",461819389
"Elegia capensis",19.375,-34.375,"ZA",461819436
"Elegia capensis",19.375,-33.625,"ZA",461819388
"Elegia capensis",18.625,-32.875,"ZA",461819386
"Elegia capensis",18.875,-33.875,"ZA",461819462
"Elegia capensis",21.125,-33.875,"ZA",461819396
"Elegia capensis",21.125,-34.125,"ZA",461819385
"Elegia capensis",19.125,-33.875,"ZA",461819384
"Elegia capensis",25.125,-33.625,"ZA",461819383
"Elegia capensis",23.625,-33.625,"ZA",461819456
"Elegia capensis",19.875,-34.125,"ZA",461819379
"Elegia capensis",22.125,-33.375,"ZA",461819469
"Elegia capensis",23.625,-33.875,"ZA",461819374
"Elegia capensis",24.875,-33.875,"ZA",461819354
"Elegia capensis",18.375,-33.875,"ZA",461819431
"Elegia capensis",19.875,-33.375,"ZA",461819424
"Elegia capensis",19.375,-33.375,"ZA",461819371
"Elegia capensis",23.125,-33.625,"ZA",461819367
"Elegia capensis",24.875,-33.625,"ZA",461819368
"Elegia capensis",22.125,-33.875,"ZA",461819381
"Elegia capensis",18.875,-34.375,"ZA",461819466
"Elegia capensis",19.125,-32.125,"ZA",461819489
"Elegia capensis",19.375,-34.125,"ZA",461819350
"Elegia capensis",20.875,-33.125,"ZA",461819450
"Elegia capensis",19.625,-34.125,"ZA",461819487
"Elegia capensis",20.375,-34.125,"ZA",461819364
"Elegia capensis",18.875,-33.625,"ZA",461819488
"Elegia capensis",23.875,-33.875,"ZA",461819457
"Elegia capensis",23.375,-33.625,"ZA",461819351
"Elegia capensis",19.55,-34.03333,"ZA",1023908991
