"species","lon","lat","countryCode","gbifID"
"Embothrium coccineum",-73.03114,-50.46879,"AR",1088904498
"Embothrium coccineum",-73.03101,-50.46917,"AR",1065576629
"Embothrium coccineum",-69.6169,-55.0339,"CL",1097222979
"Embothrium coccineum",-71.96936,-39.91136,"CL",574741154
"Embothrium coccineum",-72.6525,-40.05081,"CL",574713827
"Embothrium coccineum",-72.48367,-41.07003,"CL",574832261
"Embothrium coccineum",-72.47081,-41.07236,"CL",574726126
"Embothrium coccineum",-72.47083,-41.0725,"CL",665551315
"Embothrium coccineum",-72.48469,-41.06286,"CL",574652303
"Embothrium coccineum",-72.48133,-41.07308,"CL",574764336
"Embothrium coccineum",-72.8191,-51.11904,"CL",1065578282
"Embothrium coccineum",-72.24103,-50.3666,"AR",1065578309
"Embothrium coccineum",-73.332,-39.76881,"CL",574766627
"Embothrium coccineum",-71.76,-40.16,"AR",320115252
"Embothrium coccineum",-71.6875,-39.01611,"CL",574868356
"Embothrium coccineum",-66.93278,-54.93444,"AR",995532428
"Embothrium coccineum",-71.34,-40.01,"AR",320114876
"Embothrium coccineum",-71.48,-41.97,"AR",320114877
"Embothrium coccineum",-67.6272,-54.9414,"CL",1098083622
"Embothrium coccineum",-67.627,-54.941,"CL",216622936
"Embothrium coccineum",-73.99,-48.69,"CL",997116244
"Embothrium coccineum",-73.22,-37.54,"CL",997597203
"Embothrium coccineum",-72.1,-39.6,"CL",574980219
"Embothrium coccineum",-73.2,-49.84,"AR",320115221
"Embothrium coccineum",-68.21361,-54.00996,"CL",699269402
"Embothrium coccineum",-72.5975,-41.54917,"CL",574894915
"Embothrium coccineum",-73.74556,-40.42583,"CL",574769484
"Embothrium coccineum",-72.95,-50.98333,"CL",574772270
"Embothrium coccineum",-73.01611,-37.83306,"CL",574740261
"Embothrium coccineum",-73.1,-39.6,"CL",153413682
"Embothrium coccineum",-73.23,-39.65,"CL",995830321
"Embothrium coccineum",-71.78,-42.85,"AR",320114887
"Embothrium coccineum",-71.7,-42.7,"AR",320114891
"Embothrium coccineum",-74.05,-42.7,"CL",574843547
"Embothrium coccineum",-74.04444,-42.36222,"CL",574735594
"Embothrium coccineum",-74.07056,-42.36167,"CL",574824085
"Embothrium coccineum",-74.08333,-42.35389,"CL",574750914
"Embothrium coccineum",-72.995,-37.77106,"CL",574802367
"Embothrium coccineum",-72.19528,-40.76781,"CL",574653712
"Embothrium coccineum",-67.32,-54.87,"AR",320114886
"Embothrium coccineum",-73.16,-51.22,"CL",142953968
"Embothrium coccineum",-72.33,-40.75,"CL",320115091
"Embothrium coccineum",-73.55,-45.87917,"CL",574741469
"Embothrium coccineum",-73.27556,-45.89433,"CL",574822595
"Embothrium coccineum",-73.36667,-45.9,"CL",575122755
"Embothrium coccineum",-73.11667,-45.83333,"CL",574684949
"Embothrium coccineum",-73.40694,-45.89167,"CL",574666444
"Embothrium coccineum",-73,-45,"CL",574763975
"Embothrium coccineum",-73.37767,-45.9,"CL",574665826
"Embothrium coccineum",-71.42,-36.83,"CL",320115077
"Embothrium coccineum",-73.16,-38.03,"CL",320115257
"Embothrium coccineum",-72.23333,-40.76667,"CL",574912763
"Embothrium coccineum",-73.87,-46.61,"CL",142953902
"Embothrium coccineum",-71.5,-42.33,"AR",995628711
"Embothrium coccineum",-71.4,-42.2,"AR",153413391
"Embothrium coccineum",-71.5,-42.3333,"AR",993916755
"Embothrium coccineum",-73.3,-37.56,"CL",997561347
"Embothrium coccineum",-73.56,-51.63,"CL",142953903
"Embothrium coccineum",-72.17,-40.75,"CL",320114554
"Embothrium coccineum",-73.05,-36.95,"CL",997561435
"Embothrium coccineum",-73.62,-50.45,"CL",142953898
"Embothrium coccineum",-72.11666,-36.6,"CL",699269404
"Embothrium coccineum",-68.58,-54.8,"AR",320115087
"Embothrium coccineum",-72.53777,-41.20666,"CL",699269405
"Embothrium coccineum",-72.8,-41.13333,"CL",699269406
"Embothrium coccineum",-72.58,-38.72,"CL",997561493
"Embothrium coccineum",-72.55,-41.2,"CL",121516364
"Embothrium coccineum",-71.35111,-40.15527,"AR",699269401
"Embothrium coccineum",-72.09,-49.76,"AR",416913300
"Embothrium coccineum",-72.99944,-50.12503,"AR",373161967
"Embothrium coccineum",-66.93,-54.93,"AR",814359132
"Embothrium coccineum",-71.09,-39.11,"AR",416913130
"Embothrium coccineum",-77,-51.08333,"CL",574658454
"Embothrium coccineum",-73.16692,-50.32571,"AR",373161981
"Embothrium coccineum",-71.41,-39.89,"AR",416913249
"Embothrium coccineum",-73.05603,-41.08908,"CL",574837254
"Embothrium coccineum",-71.37398,-37.85249,"CL",1057236539
"Embothrium coccineum",-72.79984,-50.30661,"AR",373161972
"Embothrium coccineum",-71.49,-43.02,"AR",416913160
"Embothrium coccineum",-71.52,-38.45,"CL",416913140
"Embothrium coccineum",-72.96667,-43.8,"CL",575057568
"Embothrium coccineum",-71.17,-35.83,"CL",320115088
"Embothrium coccineum",-71.55,-41.43,"AR",416913301
"Embothrium coccineum",-71.05,-38.93,"AR",416913299
"Embothrium coccineum",-73.0333,-40.25,"CL",995392028
