"species","lon","lat","countryCode","gbifID"
"Erica cruenta",19.375,-34.375,"ZA",685204122
"Erica cruenta",21.125,-34.125,"ZA",685204121
"Erica cruenta",19.375,-34.125,"ZA",461848760
"Erica cruenta",19.125,-34.125,"ZA",461848738
"Erica cruenta",19.125,-34.375,"ZA",461848717
"Erica cruenta",19.375,-33.875,"ZA",461848750
"Erica cruenta",19.625,-34.125,"ZA",461848716
"Erica cruenta",21.875,-33.875,"ZA",461848722
"Erica cruenta",18.875,-34.125,"ZA",461848770
"Erica cruenta",21.625,-34.125,"ZA",461848755
"Erica cruenta",21.375,-34.125,"ZA",461848753
"Erica cruenta",21.125,-33.875,"ZA",461848724
"Erica cruenta",18.875,-34.375,"ZA",461848744
"Erica cruenta",19.625,-34.375,"ZA",461848775
"Erica cruenta",19.625,-34.625,"ZA",461848771
"Erica cruenta",20.125,-34.125,"ZA",461848701
"Erica cruenta",18.375,-33.875,"ZA",461848692
