"species","lon","lat","countryCode","gbifID"
"Erica hirtiflora",18.375,-33.875,"ZA",453224167
"Erica hirtiflora",18.375,-34.125,"ZA",453224195
"Erica hirtiflora",19.125,-32.375,"ZA",453224165
"Erica hirtiflora",18.375,-34.375,"ZA",453224121
"Erica hirtiflora",18.875,-34.375,"ZA",453224151
"Erica hirtiflora",18.875,-34.125,"ZA",453224206
"Erica hirtiflora",18.41833,-33.98,"ZA",788672200
"Erica hirtiflora",18.625,-32.875,"ZA",453224133
"Erica hirtiflora",19.15528,-33.92194,"ZA",788672551
"Erica hirtiflora",19.125,-34.125,"ZA",453224129
"Erica hirtiflora",18.875,-33.625,"ZA",453224146
"Erica hirtiflora",19.125,-34.375,"ZA",453224131
"Erica hirtiflora",19.375,-33.625,"ZA",453224188
"Erica hirtiflora",18.4333,-34.2333,"ZA",995347638
"Erica hirtiflora",18.625,-34.125,"ZA",453224135
"Erica hirtiflora",18.41306,-33.96417,"ZA",788672787
"Erica hirtiflora",19.875,-34.125,"ZA",453224182
