"species","lon","lat","countryCode","gbifID"
"Eriogonum latifolium",-122.46665,37.7697,"US",1088901188
"Eriogonum latifolium",-122.4349,37.68651,"US",1088919739
"Eriogonum latifolium",-123.09969,38.41069,"US",1088946423
"Eriogonum latifolium",-122.51784,37.57396,"US",1088961043
"Eriogonum latifolium",-122.82462,38.11629,"US",1099963394
"Eriogonum latifolium",-122.39508,37.73566,"US",1098912899
"Eriogonum latifolium",-121.7899,36.7977,"US",1099962328
"Eriogonum latifolium",-122.39544,37.73571,"US",1098912930
"Eriogonum latifolium",-122.39525,37.73546,"US",1098912630
"Eriogonum latifolium",-122.4029,37.32471,"US",1092907487
"Eriogonum latifolium",-122.82618,38.12048,"US",1099963243
"Eriogonum latifolium",-122.51633,37.57239,"US",1098915225
"Eriogonum latifolium",-122.39515,37.73533,"US",1098912931
"Eriogonum latifolium",-122.44271,37.23155,"US",1132409145
"Eriogonum latifolium",-123.09989,38.40946,"US",1134971361
"Eriogonum latifolium",-123.80088,39.28517,"US",1134969719
"Eriogonum latifolium",-122.47449,37.79015,"US",899956172
"Eriogonum latifolium",-122.49748,37.62054,"US",899956260
"Eriogonum latifolium",-122.51067,37.77543,"US",899954951
"Eriogonum latifolium",-122.47956,37.79658,"US",899957219
"Eriogonum latifolium",-122.52385,37.8355,"US",899957368
"Eriogonum latifolium",-122.48002,37.79983,"US",923912340
"Eriogonum latifolium",-122.51061,37.78024,"US",923912534
"Eriogonum latifolium",-122.48791,37.55987,"US",899957096
"Eriogonum latifolium",-122.48396,37.79151,"US",1038288005
"Eriogonum latifolium",-122.48005,37.79983,"US",923912385
"Eriogonum latifolium",-122.44763,37.75213,"US",899974919
"Eriogonum latifolium",-122.44606,37.75324,"US",899966706
"Eriogonum latifolium",-122.447,37.74992,"US",899975799
"Eriogonum latifolium",-122.25062,37.87407,"US",899978195
"Eriogonum latifolium",-122.46879,37.74659,"US",910494288
"Eriogonum latifolium",-122.47084,37.75226,"US",899980148
"Eriogonum latifolium",-122.46974,37.74697,"US",910493485
"Eriogonum latifolium",-122.47157,37.75799,"US",899980569
"Eriogonum latifolium",-122.47273,37.75831,"US",910493359
"Eriogonum latifolium",-122.46871,37.75208,"US",910493329
"Eriogonum latifolium",-122.47079,37.75238,"US",910493290
"Eriogonum latifolium",-122.44803,37.75064,"US",911495735
"Eriogonum latifolium",-122.46966,37.74698,"US",1065577445
"Eriogonum latifolium",-122.46971,37.74694,"US",899979774
"Eriogonum latifolium",-122.47075,37.75241,"US",910493279
"Eriogonum latifolium",-122.47129,37.74893,"US",910493328
"Eriogonum latifolium",-122.47092,37.75248,"US",1135206767
"Eriogonum latifolium",-122.46966,37.74697,"US",910493436
"Eriogonum latifolium",-122.47975,37.79984,"US",911501917
"Eriogonum latifolium",-122.48023,37.79353,"US",1042812582
"Eriogonum latifolium",-122.51609,37.54216,"US",923922890
"Eriogonum latifolium",-123.12679,38.44093,"US",911502914
"Eriogonum latifolium",-122.41012,37.22759,"US",923916542
"Eriogonum latifolium",-122.32476,37.80324,"US",923922234
"Eriogonum latifolium",-123.08654,38.42737,"US",923917694
"Eriogonum latifolium",-122.38856,37.18158,"US",911507042
"Eriogonum latifolium",-122.48023,37.79382,"US",923916549
"Eriogonum latifolium",-122.50535,37.50771,"US",1024188348
"Eriogonum latifolium",-122.49554,37.49561,"US",1024189747
"Eriogonum latifolium",-122.49846,37.50171,"US",1024189198
"Eriogonum latifolium",-122.97611,37.99395,"US",1024194476
"Eriogonum latifolium",-122.51055,37.51277,"US",1135522746
"Eriogonum latifolium",-122.49588,37.4957,"US",1024191010
"Eriogonum latifolium",-122.4023,37.32255,"US",1024188735
"Eriogonum latifolium",-122.32075,37.11297,"US",1024188494
"Eriogonum latifolium",-122.447,37.47282,"US",1024195341
"Eriogonum latifolium",-123.06433,38.30527,"US",1024206924
"Eriogonum latifolium",-124.16754,40.85803,"US",1024206512
"Eriogonum latifolium",-122.40425,37.32241,"US",1024213925
"Eriogonum latifolium",-122.45202,37.48539,"US",1024330030
"Eriogonum latifolium",-123.33067,38.58397,"US",1088894368
"Eriogonum latifolium",-122.37525,37.73986,"US",1042815530
"Eriogonum latifolium",-122.37368,37.7384,"US",1042816464
"Eriogonum latifolium",-122.37419,37.73831,"US",1042815296
"Eriogonum latifolium",-122.42533,37.71567,"US",891024009
"Eriogonum latifolium",-122.42342,37.72057,"US",891151228
"Eriogonum latifolium",-122.41327,37.71764,"US",891151515
"Eriogonum latifolium",-122.42053,37.72161,"US",891151710
"Eriogonum latifolium",-122.4256,37.7155,"US",891151191
"Eriogonum latifolium",-122.41434,37.71726,"US",891152025
"Eriogonum latifolium",-122.409,37.71883,"US",891151139
"Eriogonum latifolium",-122.49999,37.71509,"US",891160905
"Eriogonum latifolium",-122.4045,37.717,"US",891151317
"Eriogonum latifolium",-122.4177,37.66593,"US",891147479
"Eriogonum latifolium",-122.94881,38.15546,"US",1135342850
"Eriogonum latifolium",-121.2577,35.66288,"US",1135343056
"Eriogonum latifolium",-122.50067,37.71217,"US",891731284
"Eriogonum latifolium",-122.5038,37.72002,"US",891027531
"Eriogonum latifolium",-122.50367,37.7205,"US",891730985
"Eriogonum latifolium",-122.50367,37.72003,"US",891731774
"Eriogonum latifolium",-122.50483,37.72517,"US",891731198
"Eriogonum latifolium",-122.48369,37.79093,"US",891749513
"Eriogonum latifolium",-122.06616,36.94843,"US",891758494
"Eriogonum latifolium",-122.46931,37.74675,"US",1042753692
"Eriogonum latifolium",-122.47083,37.75425,"US",1042753184
"Eriogonum latifolium",-124.12119,41.03948,"US",891090542
"Eriogonum latifolium",-122.41533,37.71733,"US",891136351
"Eriogonum latifolium",-122.48324,37.79419,"US",891063208
"Eriogonum latifolium",-123.73743,38.95089,"US",1021772270
"Eriogonum latifolium",-121.79759,36.73727,"US",1022561765
"Eriogonum latifolium",-121.79317,36.78877,"US",1132406078
"Eriogonum latifolium",-122.41583,37.23528,"US",1021906886
"Eriogonum latifolium",-121.80962,36.68306,"US",233098512
"Eriogonum latifolium",-122.25194,37.06056,"US",1022535335
"Eriogonum latifolium",-122.30969,37.13165,"US",923919270
"Eriogonum latifolium",-123.78417,39.6041699990732,"US",1020929786
"Eriogonum latifolium",-121.8548,36.9404,"US",1021690729
"Eriogonum latifolium",-123.77639,39.22361,"US",1022172635
"Eriogonum latifolium",-124.39222,42.5825,"US",441747227
"Eriogonum latifolium",-124.3922,42.5825,"US",51832055
"Eriogonum latifolium",-124.20444,40.80028,"US",1021216094
"Eriogonum latifolium",-124.17133,40.805,"US",1022301282
"Eriogonum latifolium",-124.20467,40.8005,"US",1020908474
"Eriogonum latifolium",-123.81,39.45333,"US",1022240939
"Eriogonum latifolium",-122.3,37.27333,"US",1021407612
"Eriogonum latifolium",-123.80917,39.45194,"US",1021480721
"Eriogonum latifolium",-123.80933,39.452,"US",1022508996
"Eriogonum latifolium",-124.18456147497,40.8117675007116,"US",1021027300
"Eriogonum latifolium",-124.1925,40.8172199990666,"US",1022216620
"Eriogonum latifolium",-122.0668,36.9513,"US",1021005035
"Eriogonum latifolium",-122.60056,37.88319,"US",1021394921
"Eriogonum latifolium",-122.59,37.87,"US",320169299
"Eriogonum latifolium",-121.9758,36.9942,"US",1021953345
"Eriogonum latifolium",-123.783,39.4899999990739,"US",1021765032
"Eriogonum latifolium",-123.52916,38.76638,"US",699266788
"Eriogonum latifolium",-123.7936,39.4933,"US",1020823559
"Eriogonum latifolium",-122.1806,37.0009,"US",1021046788
"Eriogonum latifolium",-121.806,36.7036,"US",1021305626
"Eriogonum latifolium",-122.1819,37.0002,"US",1021334645
"Eriogonum latifolium",-122.252,37.0854,"US",1021047293
"Eriogonum latifolium",-124.21583,40.7716699990668,"US",1021323677
"Eriogonum latifolium",-123.8067,39.3247,"US",1022567840
"Eriogonum latifolium",-121.97225782983,36.9895626779543,"US",1021746352
"Eriogonum latifolium",-121.8224,36.9472,"US",1021423528
"Eriogonum latifolium",-123.68806,39.0238899990769,"US",1022205521
"Eriogonum latifolium",-124.4203,42.388,"US",51831947
"Eriogonum latifolium",-121.2871,35.7138,"US",1021253938
"Eriogonum latifolium",-122.96639,37.99139,"US",1021330562
"Eriogonum latifolium",-121.7846,36.8013,"US",1021428635
"Eriogonum latifolium",-121.8075,36.7066,"US",1021428645
"Eriogonum latifolium",-123.83361,39.77778,"US",1022181637
"Eriogonum latifolium",-122.33694,37.1083299990919,"US",1022358777
"Eriogonum latifolium",-123.77194,39.5733299990734,"US",1022407518
"Eriogonum latifolium",-122.21028,37.02111,"US",1021941229
"Eriogonum latifolium",-122.4476,37.7528,"US",1022039141
"Eriogonum latifolium",-124.11667,41.91667,"US",1021563068
"Eriogonum latifolium",-124.06667,40.03333,"US",1021545733
"Eriogonum latifolium",-123.78406444334,39.6262219278613,"US",1021079278
"Eriogonum latifolium",-122.7356,37.9307,"US",1021914931
"Eriogonum latifolium",-122.9551,38.0861,"US",1022317195
"Eriogonum latifolium",-122.4808,37.7929,"US",1021418320
"Eriogonum latifolium",-122.43333,37.68333,"US",1021229061
"Eriogonum latifolium",-122.89352376005,38.1605389198109,"US",1021760242
"Eriogonum latifolium",-123.766828230394,39.2234997732602,"US",1021082335
"Eriogonum latifolium",-123.805856129096,39.7075602207624,"US",1022411188
"Eriogonum latifolium",-122.89396376719,38.1603289206286,"US",1021768286
"Eriogonum latifolium",-122.3368,37.1085,"US",1022342453
"Eriogonum latifolium",-122.421736735834,37.6782533279625,"US",1022202226
"Eriogonum latifolium",-123.0694,38.3169,"US",1021559934
"Eriogonum latifolium",-123.01389,37.9972199990844,"US",1020988804
"Eriogonum latifolium",-121.8995,36.9654,"US",1021155234
"Eriogonum latifolium",-124.4769,42.7368,"US",51832039
"Eriogonum latifolium",-124.14528,40.8924999990662,"US",1022183460
"Eriogonum latifolium",-122.51,37.78,"US",785357600
"Eriogonum latifolium",-122.6299,37.8892,"US",1021428720
"Eriogonum latifolium",-122.391576523725,37.7145427704687,"US",1021765090
"Eriogonum latifolium",-122.3937,37.1822,"US",1021908346
"Eriogonum latifolium",-122.1633,37.0267,"US",1022111065
"Eriogonum latifolium",-122.25833,37.06667,"US",785357715
"Eriogonum latifolium",-122.393340569449,37.2474532985198,"US",1022508358
"Eriogonum latifolium",-123.0225,37.9959,"US",1021559902
"Eriogonum latifolium",-122.0452,36.9536,"US",1021470704
"Eriogonum latifolium",-122.275,37.095,"US",785357721
"Eriogonum latifolium",-122.4649,37.7976,"US",1022158470
"Eriogonum latifolium",-122.471,37.7526,"US",1021414178
"Eriogonum latifolium",-123.7168,39.1207,"US",1022073958
"Eriogonum latifolium",-122.44861,37.75166,"US",699266789
"Eriogonum latifolium",-122.44667,37.75167,"US",1020904237
"Eriogonum latifolium",-122.45,37.75,"US",995448675
"Eriogonum latifolium",-124.145576699868,41.821252204333,"US",1022452658
"Eriogonum latifolium",-122.557472008003,37.8471284883211,"US",1022389079
"Eriogonum latifolium",-122.556,37.85,"US",1021513542
"Eriogonum latifolium",-122.44389,37.76333,"US",1020757813
"Eriogonum latifolium",-123.806132523541,39.4597748787682,"US",1021232099
"Eriogonum latifolium",-123.04694,38.33333,"US",1022216998
"Eriogonum latifolium",-122.688287180982,38.0151137519191,"US",1020991402
"Eriogonum latifolium",-123.022794453823,37.9938314331903,"US",1021292160
"Eriogonum latifolium",-123.022,37.995,"US",1021292104
"Eriogonum latifolium",-123.01646,38.31862,"US",1022384634
"Eriogonum latifolium",-122.495198252192,37.6670629747834,"US",1020991305
"Eriogonum latifolium",-123.0165,38.3186,"US",1021554969
"Eriogonum latifolium",-123.805702472497,39.4569249368028,"US",1022206428
"Eriogonum latifolium",-123.0243,38.323,"US",1021172499
"Eriogonum latifolium",-123.06825,38.36023,"US",1022061468
"Eriogonum latifolium",-123.803136137611,39.7123601554507,"US",1022206413
"Eriogonum latifolium",-121.7966,36.7634,"US",1020881843
"Eriogonum latifolium",-122.259285455223,37.0816082222976,"US",1020881998
"Eriogonum latifolium",-122.380190209687,37.2424535202181,"US",1020881919
"Eriogonum latifolium",-121.888345529175,36.9569741127446,"US",1022346540
"Eriogonum latifolium",-122.405631059061,37.2642028136651,"US",1020996124
"Eriogonum latifolium",-122.400973945053,37.4983475225111,"US",1020882395
"Eriogonum latifolium",-123.0149,37.997,"US",1021934067
"Eriogonum latifolium",-123.023014483133,37.9956613916293,"US",1022236445
"Eriogonum latifolium",-122.1822,37.0039,"US",1021587942
"Eriogonum latifolium",-122.0265285867,36.9518931272459,"US",1020799576
"Eriogonum latifolium",-121.8675,36.6064,"US",1022241250
"Eriogonum latifolium",-122.4413,37.7514,"US",1022588503
"Eriogonum latifolium",-123.692312101469,38.9104066116934,"US",1020829558
"Eriogonum latifolium",-122.51278,37.77832,"US",1021011636
"Eriogonum latifolium",-123.068840436357,38.3618731841071,"US",1022196042
"Eriogonum latifolium",-123.816436822741,39.7384195560073,"US",1021955029
"Eriogonum latifolium",-122.41667,37.76667,"US",995449448
"Eriogonum latifolium",-122.7772,37.957,"US",1021237189
"Eriogonum latifolium",-123.1197,38.4361,"US",1022103741
"Eriogonum latifolium",-123.0331,38.3457,"US",1021211656
"Eriogonum latifolium",-122.973228445813,38.374653718598,"US",1021637644
"Eriogonum latifolium",-123.773742369033,39.4998143998284,"US",1022556611
"Eriogonum latifolium",-121.9194,37.0897,"US",1021223219
"Eriogonum latifolium",-123.790782530119,39.4842545467747,"US",1020819786
"Eriogonum latifolium",-122.3693,37.7263,"US",1022618218
"Eriogonum latifolium",-122.4123,37.2297,"US",1021018009
"Eriogonum latifolium",-122.0344,36.9701,"US",1022106894
"Eriogonum latifolium",-124.2066,42.0048,"US",51831543
"Eriogonum latifolium",-122.2778,37.0957,"US",1020849402
"Eriogonum latifolium",-122.4909,37.6257,"US",1022195810
"Eriogonum latifolium",-123.729202057961,39.5480738749407,"US",1021651177
"Eriogonum latifolium",-122.5082,37.7645,"US",1021845300
"Eriogonum latifolium",-122.328667419834,37.1135569188419,"US",1022218126
"Eriogonum latifolium",-122.492098865005,37.7196418335603,"US",1021645659
