"species","lon","lat","countryCode","gbifID"
"Eucryphia cordifolia",-71.83678,-41.98008,"CL",574767173
"Eucryphia cordifolia",-71.83667,-41.98,"CL",665853170
"Eucryphia cordifolia",-72.78333,-42.3,"CL",575356461
"Eucryphia cordifolia",-71.67,-42.08,"AR",320199078
"Eucryphia cordifolia",-72.39583,-41.88972,"CL",574835704
"Eucryphia cordifolia",-72.39667,-41.89,"CL",574862146
"Eucryphia cordifolia",-73.86033,-42.39178,"CL",574675012
"Eucryphia cordifolia",-72.55522,-41.57106,"CL",574821532
"Eucryphia cordifolia",-72.33,-40.75,"CL",320199590
"Eucryphia cordifolia",-72.66667,-40.15,"CL",575171677
"Eucryphia cordifolia",-71.75,-39.33,"CL",320198776
"Eucryphia cordifolia",-73.07,-41.16,"CL",320199661
"Eucryphia cordifolia",-73.36667,-40.23333,"CL",575122362
"Eucryphia cordifolia",-73.17,-39.5,"CL",320198774
"Eucryphia cordifolia",-72.2348818074868,-40.6990741611817,"CL",994593612
"Eucryphia cordifolia",-72.1,-40.65,"CL",1131627012
"Eucryphia cordifolia",-72.9,-40.96666,"CL",415988313
"Eucryphia cordifolia",-72,-38.68,"CL",997561465
"Eucryphia cordifolia",-71.44,-40.76,"AR",416920231
