"species","lon","lat","countryCode","gbifID"
"Felicia drakensbergensis",25.125,-33.875,"ZA",685214203
"Felicia drakensbergensis",26.625,-33.625,"ZA",453234936
"Felicia drakensbergensis",25.375,-33.875,"ZA",453234933
"Felicia drakensbergensis",25.125,-33.625,"ZA",453234927
"Felicia drakensbergensis",25.125,-33.375,"ZA",453234929
"Felicia drakensbergensis",25.625,-33.875,"ZA",453234913
"Felicia drakensbergensis",24.875,-34.125,"ZA",453234946
"Felicia drakensbergensis",26.875,-33.625,"ZA",453234918
"Felicia drakensbergensis",26.375,-33.625,"ZA",453234922
"Felicia drakensbergensis",21.375,-34.375,"ZA",453234915
"Felicia drakensbergensis",24.625,-34.125,"ZA",453234920
"Felicia drakensbergensis",26.625,-33.375,"ZA",453234921
