"species","lon","lat","countryCode","gbifID"
"Gentiana divisa",167.465,-45.0586,"NZ",1091321601
"Gentiana divisa",168.173,-44.727,"NZ",1091138858
"Gentiana divisa",171.568,-42.7157,"NZ",1091099682
"Gentiana divisa",169.683,-43.8561,"NZ",1091327802
"Gentiana divisa",171.10198,-43.17959,"NZ",125529465
"Gentiana divisa",171.09299,-43.17873,"NZ",125529487
"Gentiana divisa",170.01502,-43.84714,"NZ",125529450
"Gentiana divisa",169.70728,-44.05998,"NZ",125529452
"Gentiana divisa",169.70511,-44.05666,"NZ",125529453
"Gentiana divisa",169.84716,-44.03658,"NZ",125529416
"Gentiana divisa",169.9134,-43.86224,"NZ",125529491
"Gentiana divisa",169.84718,-44.03576,"NZ",125529502
"Gentiana divisa",169.90624,-43.83251,"NZ",125529498
"Gentiana divisa",170.60289,-43.23849,"NZ",125529419
"Gentiana divisa",168.58277,-44.09274,"NZ",125529481
"Gentiana divisa",168.57136,-44.09245,"NZ",125529477
"Gentiana divisa",170.95168,-43.00941,"NZ",125529423
"Gentiana divisa",170.9031,-43.04456,"NZ",125529459
"Gentiana divisa",169.65515,-44.15873,"NZ",125529449
"Gentiana divisa",170.90201,-43.04208,"NZ",125529457
"Gentiana divisa",171.0454,-43.07484,"NZ",125529482
"Gentiana divisa",171.04653,-43.07238,"NZ",125529494
"Gentiana divisa",170.99816,-43.08535,"NZ",125529424
"Gentiana divisa",171.00164,-43.07137,"NZ",125529425
"Gentiana divisa",171.01769,-43.02946,"NZ",125529427
"Gentiana divisa",171.01768,-43.03028,"NZ",125529433
"Gentiana divisa",171.07368,-43.0445,"NZ",125529420
"Gentiana divisa",171.07143,-43.04531,"NZ",125529421
"Gentiana divisa",171.29634,-42.90355,"NZ",125529473
"Gentiana divisa",171.31654,-42.88794,"NZ",125529474
"Gentiana divisa",171.14811,-42.97973,"NZ",125529429
"Gentiana divisa",171.20732,-43.02434,"NZ",125529438
"Gentiana divisa",171.02587,-42.98669,"NZ",125529497
"Gentiana divisa",171.19052,-43.01936,"NZ",125529444
"Gentiana divisa",171.13598,-42.94677,"NZ",125529456
"Gentiana divisa",168.431,-44.6051,"NZ",1091145521
"Gentiana divisa",168.261,-44.8416,"NZ",1091288091
"Gentiana divisa",172.399,-42.3801,"NZ",1091115582
