"species","lon","lat","countryCode","gbifID"
"Grevillea rosmarinifolia",143.575,-35.85333,"AU",1061567120
"Grevillea rosmarinifolia",147.20934,-35.8382600348781,"AU",1071368195
"Grevillea rosmarinifolia",146.69417,-38.2769400375692,"AU",995457946
"Grevillea rosmarinifolia",150.6098,-35.0949000339323,"AU",1070908893
"Grevillea rosmarinifolia",145.30917,-37.8286100371257,"AU",1135303414
"Grevillea rosmarinifolia",150.33252,-34.4861700331196,"AU",1071637410
"Grevillea rosmarinifolia",150.2706,-34.6712500333702,"AU",1071637384
"Grevillea rosmarinifolia",150.271,-34.6712000333701,"AU",1132254560
"Grevillea rosmarinifolia",150.34074,-34.4931900331291,"AU",1071637379
"Grevillea rosmarinifolia",141.79553,-36.48063,"AU",995448211
"Grevillea rosmarinifolia",148.325,-35.58056,"AU",995439617
"Grevillea rosmarinifolia",150.066,-33.6900000320088,"AU",996237793
"Grevillea rosmarinifolia",151.059,-30.9625000278712,"AU",996188447
"Grevillea rosmarinifolia",151.05944,-30.9625,"AU",995543052
"Grevillea rosmarinifolia",151.0594,-30.9625,"AU",993644821
"Grevillea rosmarinifolia",149.03622,-35.4090300343385,"AU",1074064044
"Grevillea rosmarinifolia",149.04138,-35.4098900343396,"AU",1074064832
"Grevillea rosmarinifolia",148.37877,-35.7569600347773,"AU",1074061209
"Grevillea rosmarinifolia",148.33227,-35.5913300345699,"AU",1074061547
"Grevillea rosmarinifolia",148.336,-35.5711,"AU",996213938
"Grevillea rosmarinifolia",148.33024,-35.5893000345673,"AU",1074061638
"Grevillea rosmarinifolia",149.0983,-35.2778,"AU",993698613
"Grevillea rosmarinifolia",142.34,-32.0477800295705,"AU",1135303457
"Grevillea rosmarinifolia",142.34,-37.0477800362963,"AU",1135303448
"Grevillea rosmarinifolia",147.276079932307,-42.8592879551984,"AU",994569448
"Grevillea rosmarinifolia",147.301041550309,-42.9819485434406,"AU",994563328
"Grevillea rosmarinifolia",149.0694,-35.3111,"AU",993694289
"Grevillea rosmarinifolia",148.299,-35.6020000345833,"AU",1069571677
"Grevillea rosmarinifolia",149.1586,-34.9139000336941,"AU",993676145
"Grevillea rosmarinifolia",149.159,-34.9139,"AU",996196865
"Grevillea rosmarinifolia",147.2843731931,-43.065289245431,"AU",994553274
"Grevillea rosmarinifolia",149.1139,-35.2983,"AU",993716486
"Grevillea rosmarinifolia",149.1,-35.2833,"AU",993695804
"Grevillea rosmarinifolia",148.223,-35.3567000342715,"AU",996103962
"Grevillea rosmarinifolia",148.166,-35.8775000349265,"AU",996103928
"Grevillea rosmarinifolia",149.247,-35.2402000341214,"AU",1061572911
"Grevillea rosmarinifolia",144.1167,-37.3,"AU",995405813
"Grevillea rosmarinifolia",146.75876,-34.31124003288,"AU",1070042166
"Grevillea rosmarinifolia",146.72953,-34.306870032874,"AU",1070042228
"Grevillea rosmarinifolia",146.68178,-34.301800032867,"AU",1070042240
"Grevillea rosmarinifolia",147.151013917296,-41.0652778995187,"AU",994557172
"Grevillea rosmarinifolia",149.1,-35.2667,"AU",993598629
"Grevillea rosmarinifolia",149.1,-35.26,"AU",38253478
"Grevillea rosmarinifolia",147.334339923958,-42.9153178076606,"AU",995403449
"Grevillea rosmarinifolia",147.334369922987,-42.915287807197,"AU",994554597
"Grevillea rosmarinifolia",149.1167,-35.2833,"AU",993597731
"Grevillea rosmarinifolia",144.085,-37.36,"AU",996130701
"Grevillea rosmarinifolia",148.042,-35.7118,"AU",996130882
"Grevillea rosmarinifolia",145.1,-37.6,"AU",995350615
"Grevillea rosmarinifolia",145.1178,-37.6278,"AU",995350605
"Grevillea rosmarinifolia",145.145,-37.6653,"AU",995350623
"Grevillea rosmarinifolia",148.48616,-35.7247800347372,"AU",1069822302
"Grevillea rosmarinifolia",146.16195,-33.9131000323252,"AU",1070035805
"Grevillea rosmarinifolia",147.97894,-35.7974800348276,"AU",1071747394
"Grevillea rosmarinifolia",146.46565,-33.9299300323489,"AU",1070036390
"Grevillea rosmarinifolia",141.5394,-36.4975,"AU",993584656
