"species","lon","lat","countryCode","gbifID"
"Greyia sutherlandii",29.12375,-28.61272,"ZA",888313391
"Greyia sutherlandii",28.875,-28.625,"ZA",329092516
"Greyia sutherlandii",28.93,-28.69,"ZA",1007229642
"Greyia sutherlandii",30.875,-25.875,"ZA",453248586
"Greyia sutherlandii",30.625,-27.375,"ZA",685215954
"Greyia sutherlandii",29.375,-29.375,"ZA",616276720
"Greyia sutherlandii",28.125,-25.625,"ZA",453248585
"Greyia sutherlandii",30.125,-27.375,"ZA",453248582
"Greyia sutherlandii",29.125,-28.875,"ZA",453248579
"Greyia sutherlandii",30.375,-29.625,"ZA",616276716
"Greyia sutherlandii",28.73766,-28.49042,"ZA",922012426
"Greyia sutherlandii",29.625,-30.625,"ZA",453248577
"Greyia sutherlandii",29.125,-29.875,"ZA",616276718
"Greyia sutherlandii",28.625,-28.375,"ZA",453248572
"Greyia sutherlandii",31.125,-25.875,"ZA",453248566
"Greyia sutherlandii",28.2,-25.75,"ZA",918846117
"Greyia sutherlandii",30.125,-29.625,"ZA",453248565
"Greyia sutherlandii",28.875,-28.875,"ZA",453248564
"Greyia sutherlandii",30.875,-24.375,"ZA",453248563
"Greyia sutherlandii",30.125,-24.125,"ZA",453248562
"Greyia sutherlandii",29.375,-28.375,"ZA",453248561
"Greyia sutherlandii",30.625,-24.875,"ZA",453248558
"Greyia sutherlandii",31.125,-25.625,"ZA",453248556
"Greyia sutherlandii",29.625,-27.875,"ZA",453248523
"Greyia sutherlandii",29.375,-28.875,"ZA",453248488
"Greyia sutherlandii",29.125,-28.625,"ZA",453248491
"Greyia sutherlandii",29.875,-28.875,"ZA",453248489
"Greyia sutherlandii",30.875,-29.625,"ZA",453248520
"Greyia sutherlandii",30.625,-29.875,"ZA",453248578
"Greyia sutherlandii",29.375,-29.125,"ZA",453248553
"Greyia sutherlandii",29.875,-29.125,"ZA",453248570
"Greyia sutherlandii",30.875,-24.875,"ZA",453248555
"Greyia sutherlandii",30.875,-24.625,"ZA",453248540
"Greyia sutherlandii",31.125,-26.375,"SZ",453248569
"Greyia sutherlandii",28.125,-25.875,"ZA",453248548
"Greyia sutherlandii",29.625,-29.125,"ZA",453248525
"Greyia sutherlandii",30.375,-27.375,"ZA",453248495
"Greyia sutherlandii",31.375,-27.875,"ZA",453248493
"Greyia sutherlandii",30.875,-28.875,"ZA",453248529
"Greyia sutherlandii",31.125,-26.125,"SZ",453248551
"Greyia sutherlandii",29.875,-29.375,"ZA",453248499
"Greyia sutherlandii",30.875,-27.375,"ZA",453248497
"Greyia sutherlandii",30.125,-24.625,"ZA",453248538
"Greyia sutherlandii",31.375,-25.625,"ZA",453248541
"Greyia sutherlandii",31.13333,-26.31667,"SZ",1093027887
"Greyia sutherlandii",30.125,-27.125,"ZA",453248537
"Greyia sutherlandii",29.625,-28.875,"ZA",453248502
"Greyia sutherlandii",30.125,-28.125,"ZA",453248503
"Greyia sutherlandii",30.625,-28.875,"ZA",453248517
"Greyia sutherlandii",30.48333,-30.38333,"ZA",1093027877
"Greyia sutherlandii",30.29,-30.23,"ZA",685934043
"Greyia sutherlandii",30.625,-29.375,"ZA",453248492
"Greyia sutherlandii",29.125,-26.875,"ZA",453248534
"Greyia sutherlandii",29.375,-27.875,"ZA",453248539
"Greyia sutherlandii",30.375,-27.125,"ZA",453248543
"Greyia sutherlandii",30.375,-29.125,"ZA",453248505
"Greyia sutherlandii",24.875,-28.625,"ZA",453248509
"Greyia sutherlandii",28.125,-32.625,"ZA",453248510
"Greyia sutherlandii",29.875,-27.375,"ZA",453248504
"Greyia sutherlandii",27.375,-32.875,"ZA",453248513
"Greyia sutherlandii",29.96667,-28.66667,"ZA",1065947703
"Greyia sutherlandii",31.125,-29.875,"ZA",453248515
"Greyia sutherlandii",31.03333,-29.85,"ZA",1065947702
