"species","lon","lat","countryCode","gbifID"
"Hakea salicifolia",150.93711,-33.5825600318551,"AU",1071370614
"Hakea salicifolia",150.63394,-34.2059900327346,"AU",1071432821
"Hakea salicifolia",151.6272,-32.9167000308833,"AU",1071338434
"Hakea salicifolia",151.56846,-33.1657700312505,"AU",1071390779
"Hakea salicifolia",151.34236,-33.5265300317745,"AU",1071391001
"Hakea salicifolia",150.56981,-34.086900032569,"AU",1071432641
"Hakea salicifolia",151.09875,-34.0376600325002,"AU",1071377952
"Hakea salicifolia",150.75842,-34.3944900329943,"AU",1071443535
"Hakea salicifolia",151.09872,-34.0376800325002,"AU",1071378054
"Hakea salicifolia",151.09884,-34.0377000325002,"AU",1071378085
"Hakea salicifolia",150.75683,-34.3941800329939,"AU",1071443453
"Hakea salicifolia",150.44902,-33.7356500320739,"AU",1074865771
"Hakea salicifolia",151.09809,-34.0376200325001,"AU",1071378056
"Hakea salicifolia",150.4131,-33.7297000320654,"AU",1074859808
"Hakea salicifolia",151.09881,-34.0376700325002,"AU",1071377947
"Hakea salicifolia",150.44229,-33.7243800320578,"AU",1074865812
"Hakea salicifolia",151.09882,-34.0377000325002,"AU",1071378096
"Hakea salicifolia",150.75542,-34.394970032995,"AU",1071442988
"Hakea salicifolia",150.33949,-33.2752700314105,"AU",1071375568
"Hakea salicifolia",150.34134,-33.283850031423,"AU",1071375490
"Hakea salicifolia",150.54782,-35.0336400338521,"AU",1071512231
"Hakea salicifolia",151.06588,-33.7524200320977,"AU",1071412674
"Hakea salicifolia",151.03079,-33.5280900317768,"AU",1074876651
"Hakea salicifolia",151.99486,-32.4415700301713,"AU",1074860397
"Hakea salicifolia",151.06977,-33.7046400320297,"AU",1070814873
"Hakea salicifolia",151.21271,-33.6975000320195,"AU",1071310944
"Hakea salicifolia",151.037,-33.7955000321589,"AU",1070917906
"Hakea salicifolia",152.28733,-31.0163600279569,"AU",1071314128
"Hakea salicifolia",151.07934,-33.7013900320251,"AU",1070905604
"Hakea salicifolia",151.088,-33.663490031971,"AU",1070906664
"Hakea salicifolia",150.262,-33.3597,"AU",1132254475
"Hakea salicifolia",151.08954,-33.6648200319729,"AU",1070906573
"Hakea salicifolia",151.0845,-33.6630200319703,"AU",1070906638
"Hakea salicifolia",151.15866,-33.6243000319149,"AU",1070905189
"Hakea salicifolia",150.97157,-34.1957000327203,"AU",1071371138
"Hakea salicifolia",151.06444,-33.7292100320647,"AU",1071390442
"Hakea salicifolia",150.26836,-33.7330600320702,"AU",1074865969
"Hakea salicifolia",151.11797,-33.6979000320201,"AU",1071361783
"Hakea salicifolia",152.36291,-31.8662100292905,"AU",1070915933
"Hakea salicifolia",150.79836,-34.2038300327316,"AU",1071326681
"Hakea salicifolia",150.26977,-33.7336000320709,"AU",1074865911
"Hakea salicifolia",151.12142,-33.7447700320868,"AU",1069662366
"Hakea salicifolia",151.19377,-33.9370100323589,"AU",1071398144
"Hakea salicifolia",150.60176,-33.5614300318247,"AU",1074281017
"Hakea salicifolia",150.37191,-35.309650034211,"AU",1074282625
"Hakea salicifolia",150.35013,-33.4232500316255,"AU",1074282963
"Hakea salicifolia",150.42545,-33.4620600316816,"AU",1070375939
"Hakea salicifolia",151.1133,-33.6531900319562,"AU",1070813956
"Hakea salicifolia",150.35356,-33.4293900316344,"AU",1074283236
"Hakea salicifolia",150.523,-34.4453000330638,"AU",996240247
"Hakea salicifolia",150.42371,-33.4627600316826,"AU",1074282471
"Hakea salicifolia",151.15722,-33.3364200314995,"AU",1070839170
"Hakea salicifolia",150.52477,-34.5126100331555,"AU",1074286799
"Hakea salicifolia",150.6324,-35.0968000339348,"AU",1070909001
"Hakea salicifolia",150.42881,-33.3129000314653,"AU",1074299864
"Hakea salicifolia",150.41235,-33.391190031579,"AU",1074297950
"Hakea salicifolia",151.06096,-33.0831000311291,"AU",1074294796
"Hakea salicifolia",150.42958,-33.3137500314666,"AU",1074300005
"Hakea salicifolia",150.51706,-34.4600400330839,"AU",1074286105
"Hakea salicifolia",150.49154,-33.3661500315427,"AU",1074300317
"Hakea salicifolia",151.24498,-33.7529700320985,"AU",1070839871
